CodIbge	multas2006	multas2007	multas2008	multas2009	multas2010	multas2011
1502400	NA	NA	NA	NA	NA	3
1502509	NA	NA	NA	NA	NA	1
1502707	6	17	17	9	1	16
1502756	NA	1	1	2	2	NA
1502764	21	8	37	13	17	20
1502772	1	NA	NA	1	NA	1
1502806	NA	NA	NA	24	NA	NA
1502855	NA	NA	1	NA	NA	NA
1502905	NA	NA	NA	NA	NA	3
1502939	36	33	16	29	33	35
1502954	1	NA	12	NA	11	5
1503044	NA	NA	1	NA	NA	4
1503077	NA	NA	NA	4	NA	NA
1503093	10	3	28	17	18	30
1503101	NA	4	1	20	NA	NA
1503200	NA	NA	NA	NA	2	NA
1503309	1	2	7	5	NA	1
1503408	NA	1	NA	NA	NA	NA
1503457	15	NA	3	7	4	2
1503507	NA	1	NA	NA	NA	NA
1503606	2	21	26	5	9	21
1503705	1	10	20	25	8	22
1503754	4	6	4	1	15	19
1503804	1	9	7	14	8	19
1503903	NA	4	5	3	1	4
1504000	NA	NA	NA	NA	1	NA
1504059	5	2	NA	1	2	2
1504208	7	24	25	87	72	106
1504307	NA	NA	1	NA	NA	NA
1504422	NA	2	NA	2	7	3
1504455	4	14	4	5	1	6
1504505	NA	NA	1	10	NA	1
1504604	1	NA	NA	NA	1	NA
1504703	3	4	7	2	34	21
1504802	NA	12	NA	5	NA	4
1504950	NA	NA	NA	8	NA	NA
1504976	1	20	8	9	8	85
1505031	23	48	105	32	33	42
1505064	5	25	23	9	14	51
1505106	4	11	5	5	12	4
1505205	NA	3	6	8	2	NA
1505304	6	6	8	3	10	3
1505403	NA	NA	NA	2	NA	NA
1505437	1	2	6	2	4	3
1505486	6	16	38	17	45	54
1505494	NA	NA	NA	4	4	3
1505502	16	44	72	13	13	11
1505536	11	NA	6	8	1	6
1505551	NA	NA	NA	NA	2	NA
1505650	1	1	NA	1	12	11
1505700	1	NA	NA	NA	NA	NA
1505809	NA	6	11	20	9	4
1505908	3	2	10	8	2	1
1506005	4	2	3	2	NA	1
1506112	NA	NA	NA	NA	NA	1
1506138	11	7	19	1	7	9
1506161	1	NA	2	NA	NA	1
1506187	17	6	15	32	10	18
1506195	NA	12	5	1	NA	1
1506203	NA	NA	NA	NA	NA	2
1506302	NA	NA	NA	NA	NA	1
1506351	NA	NA	NA	NA	16	2
1506401	1	NA	NA	NA	NA	1
1506500	NA	NA	NA	4	NA	2
1506583	7	4	2	7	13	13
1506609	1	NA	NA	1	1	3
1506708	12	18	40	19	12	62
1506807	3	34	14	18	26	22
1507003	NA	NA	NA	3	NA	1
1507102	NA	NA	NA	NA	NA	4
1507151	NA	NA	3	5	3	5
1507201	NA	NA	1	NA	NA	NA
1507300	43	34	20	58	61	193
1507458	NA	NA	1	NA	1	NA
1507474	NA	NA	NA	NA	NA	1
1507508	NA	NA	1	5	3	1
1507607	NA	1	NA	NA	NA	NA
1507706	NA	NA	2	3	NA	NA
1507805	3	7	26	8	16	4
1507904	NA	NA	NA	NA	NA	6
1507953	6	18	64	19	95	18
1507979	1	NA	1	NA	NA	NA
1508001	1	6	9	10	4	NA
1508050	1	3	18	2	5	26
1508084	7	18	4	4	NA	18
1508100	14	8	25	8	17	28
1508126	11	22	14	3	5	12
1508159	5	16	50	20	67	9
1508209	NA	3	1	1	NA	5
1508308	3	NA	1	2	NA	NA
1508357	NA	2	5	1	3	2
1508407	4	2	12	1	4	11
1600055	1	NA	NA	2	6	5
1600105	6	5	20	8	9	3
1600154	1	NA	NA	NA	2	2
1600204	2	4	1	4	2	8
1600212	NA	NA	NA	NA	NA	1
1600238	NA	NA	NA	NA	NA	3
1600253	NA	NA	1	NA	NA	1
1600279	NA	NA	NA	NA	1	4
1600303	5	NA	2	3	10	33
1600402	NA	NA	NA	NA	5	4
1600501	15	13	7	24	6	10
1600535	NA	1	NA	NA	9	21
1600550	NA	4	2	2	3	1
1600600	NA	NA	NA	NA	1	6
1600709	2	5	6	8	6	NA
1600808	1	1	NA	NA	4	NA
1700251	NA	7	1	2	2	NA
1700301	NA	NA	NA	NA	1	NA
1700350	NA	NA	2	NA	6	2
1700400	NA	2	NA	2	7	2
1700707	NA	NA	7	1	1	2
1701002	2	5	4	NA	1	1
1701051	NA	NA	NA	NA	1	3
1701101	NA	NA	NA	NA	12	1
1701309	NA	7	NA	NA	1	NA
1701903	NA	NA	1	NA	7	NA
1702000	4	6	11	9	1	19
1702109	4	11	9	66	24	6
1702158	NA	2	NA	1	1	NA
1702208	1	4	NA	1	5	9
1702307	NA	NA	10	NA	NA	NA
1702406	NA	5	2	3	9	2
1702554	NA	NA	3	NA	4	1
1702703	NA	NA	2	1	2	2
1702901	NA	NA	1	NA	1	NA
1703008	NA	3	2	NA	2	6
1703057	NA	1	2	2	2	1
1703073	NA	NA	NA	NA	3	1
1703107	NA	1	NA	3	2	5
1703206	NA	NA	NA	3	NA	NA
1703305	NA	NA	7	NA	NA	NA
1703602	NA	2	NA	NA	NA	NA
1703701	1	NA	1	NA	NA	1
1703800	NA	NA	NA	NA	3	NA
1703826	NA	NA	NA	NA	NA	NA
1703842	NA	2	11	NA	2	NA
1703867	1	NA	3	1	NA	2
1703909	NA	NA	3	3	2	2
1704105	NA	3	NA	NA	NA	NA
1704600	NA	NA	NA	NA	2	NA
1705102	NA	NA	NA	5	1	1
1705508	NA	1	NA	1	3	5
1705557	NA	NA	NA	4	NA	NA
1705607	NA	NA	NA	1	6	NA
1706001	NA	NA	NA	5	NA	NA
1706100	NA	8	7	5	2	2
1706258	NA	1	NA	NA	3	NA
1706506	NA	NA	NA	2	6	3
1707009	NA	1	5	NA	2	1
1707108	NA	NA	5	12	2	NA
1707207	NA	3	NA	2	2	3
1707306	NA	9	27	3	16	5
1707405	NA	1	NA	NA	1	NA
1707553	1	NA	NA	NA	1	NA
1707652	NA	NA	NA	NA	4	NA
1707702	NA	NA	4	NA	NA	12
1708205	NA	1	34	13	1	4
1708254	NA	NA	3	NA	3	NA
1708304	NA	2	NA	1	NA	NA
1709005	NA	NA	NA	6	5	NA
1709302	NA	8	14	85	2	28
1709500	7	5	15	9	46	47
1709807	NA	3	NA	1	NA	NA
1710508	NA	3	2	6	NA	NA
1710706	NA	4	NA	NA	3	NA
1710904	NA	1	NA	2	2	NA
1711100	NA	NA	NA	3	NA	NA
1711506	NA	1	7	1	2	3
1711803	NA	NA	NA	1	NA	NA
1711902	NA	53	12	8	11	5
1711951	NA	NA	NA	1	NA	1
1712009	NA	2	9	3	1	6
1712405	NA	NA	1	1	2	NA
1712454	NA	NA	1	NA	NA	2
1712504	NA	NA	NA	5	1	NA
1712702	NA	1	3	5	5	1
1712801	NA	NA	NA	1	1	NA
1713205	1	9	9	10	11	5
1713304	NA	6	2	8	6	5
1713601	NA	NA	1	4	1	NA
1713700	NA	1	NA	NA	NA	NA
1713809	1	NA	2	6	2	NA
1713957	NA	4	2	NA	NA	NA
1714203	NA	NA	NA	7	6	NA
1714302	NA	NA	NA	1	1	NA
1714880	NA	1	5	4	1	8
1715002	NA	1	NA	1	NA	2
1715101	NA	NA	2	NA	5	2
1715507	NA	NA	NA	1	NA	NA
1715705	NA	NA	2	1	1	5
1715754	NA	1	3	NA	2	NA
1716109	2	3	8	63	36	26
1716208	2	3	1	3	15	2
1716307	NA	1	2	1	1	5
1716505	NA	NA	13	1	2	3
1716604	NA	4	NA	5	80	17
1716703	NA	2	1	8	NA	1
1717008	NA	2	NA	1	10	2
1717206	NA	NA	NA	1	NA	2
1717503	NA	7	1	8	5	1
1717800	NA	NA	NA	2	3	5
1717909	NA	11	2	1	2	2
1718204	NA	4	50	5	7	28
1718303	NA	NA	4	NA	3	NA
1718402	NA	NA	1	NA	NA	NA
1718451	NA	NA	NA	NA	NA	1
1718501	NA	NA	NA	1	NA	NA
1718659	NA	NA	1	NA	NA	3
1718709	NA	3	1	1	1	1
1718758	NA	NA	NA	NA	6	1
1718808	NA	3	NA	1	NA	NA
1718840	1	NA	4	6	6	3
1718865	NA	9	1	NA	3	2
1718881	NA	NA	6	1	1	NA
1718899	NA	1	1	1	1	NA
1718907	NA	NA	NA	4	NA	1
1719004	NA	NA	1	NA	2	NA
1720101	NA	NA	1	NA	NA	NA
1720150	NA	NA	NA	NA	NA	NA
1720200	NA	NA	1	NA	NA	1
1720259	NA	NA	17	3	3	NA
1720309	NA	1	NA	1	NA	NA
1720499	NA	4	NA	1	4	1
1720655	1	1	NA	4	1	NA
1720853	NA	NA	NA	NA	3	NA
1720903	NA	6	5	8	NA	NA
1720937	NA	NA	NA	NA	1	1
1720978	NA	NA	2	1	NA	NA
1721000	1	9	18	60	26	22
1721109	NA	NA	NA	1	8	1
1721208	NA	NA	1	NA	3	NA
1721257	NA	NA	4	1	NA	1
1721307	NA	1	1	NA	2	NA
1722081	NA	2	NA	3	5	NA
1722107	1	NA	NA	NA	6	NA
2100055	6	61	38	13	63	NA
2100501	NA	NA	1	NA	NA	NA
2100600	1	47	6	9	3	NA
2100873	2	NA	1	NA	NA	NA
2100956	NA	14	NA	NA	NA	NA
2101251	NA	NA	NA	NA	NA	NA
2101400	1	NA	NA	1	NA	1
2101608	NA	14	16	20	3	NA
2101806	NA	NA	NA	NA	1	NA
2102002	NA	1	4	2	3	1
2102036	1	7	2	1	NA	4
2102325	2	42	4	42	4	2
2102358	NA	4	7	NA	NA	NA
2102556	NA	2	NA	1	NA	NA
2102804	NA	5	NA	5	NA	3
2102903	NA	8	1	2	NA	NA
2103158	NA	NA	NA	NA	NA	13
2103174	1	34	10	2	2	6
2103208	NA	1	NA	NA	NA	NA
2103257	NA	31	15	8	4	2
2103505	NA	NA	NA	1	NA	NA
2103752	NA	NA	1	3	2	NA
2104057	NA	NA	1	14	3	5
2104081	NA	NA	NA	NA	1	NA
2104099	NA	NA	NA	NA	NA	2
2104551	2	NA	3	2	3	2
2104552	1	NA	NA	NA	NA	2
2104651	NA	NA	NA	1	NA	NA
2104677	2	4	NA	2	NA	1
2104800	2	53	18	24	3	1
2105302	1	12	7	13	23	29
2105351	NA	NA	NA	NA	1	NA
2105401	NA	NA	1	NA	NA	NA
2105427	NA	10	28	5	2	1
2105500	NA	5	1	2	NA	1
2105708	1	NA	NA	NA	NA	NA
2105989	NA	NA	3	2	NA	NA
2106326	NA	1	NA	NA	NA	NA
2106359	NA	2	NA	NA	NA	NA
2106375	NA	NA	NA	NA	NA	2
2106755	NA	NA	NA	NA	NA	1
2106805	NA	NA	NA	NA	NA	NA
2107001	NA	6	NA	1	NA	NA
