Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Paragominas	1505502	19452	7211.3	12198.6
São Félix do Xingu	1507300	84249	7024.5	72488.3
Marabá	1504208	15127	5777.2	9226.4
Juara	5105101	21430	5425.3	14385.5
Santa Luzia	2110005	6193	5318.2	874.4
Açailândia	2100055	5844	4815.4	1027.3
Santana do Araguaia	1506708	11607	4615	6117.7
Monte Alegre	1504802	21701	4393.8	14271.7
Água Azul do Norte	1500347	7586	4274.2	3182.7
Cumaru do Norte	1502764	17106	4162.5	11500.7
Rondon do Pará	1506187	8286	4157.4	4128.6
Santa Maria das Barreiras	1506583	10350	4013.6	3771.1
Vila Bela da Santíssima Trindade	5105507	13698	3915	3101.3
Porto Velho	1100205	34636	3885.9	29540.8
São José do Xingu	5107354	7467	3849.5	3255.6
Alta Floresta	5100250	8955	3816.2	4840.3
Santarém	1506807	22876	3764	14560.6
São Félix do Araguaia	5107859	16857	3391.9	7216.2
Sorriso	5107925	9350	3347.2	1886.6
Pontes e Lacerda	5106752	8465	3313.8	1822.8
Juína	5105150	26358	3277.5	20394.1
Itaituba	1503606	62096	3210.1	57611.9
Barra do Bugres	5101704	7244	3188.4	2787.8
Itupiranga	1503705	7899	3184.8	4596
Xinguara	1508407	3794	3146.8	628.3
Querência	5107065	17856	3132.4	12375.3
Viseu	1508308	4943	3127.3	1697.9
Novo Repartimento	1505064	15433	3046	11218.1
Vila Rica	5108600	7450	3039.4	4211.4
Rio Maria	1506161	4123	3031.3	953.2
Goianésia do Pará	1503093	7048	2966.1	3600.3
Tapurah	5108006	11610	2839.5	7363.3
Brasnorte	5101902	16001	2718.8	9483.6
Moju	1504703	9131	2681.7	5102.9
Ariquemes	1100023	4480	2664.2	1725.9
Araguaína	1702109	4019	2606.9	488.2
Conceição do Araguaia	1502707	5848	2582	1275.5
Barra do Corda	2101608	8054	2520.6	3027.4
Piçarra	1505635	3324	2514.4	742.1
Redenção	1506138	3830	2513.4	610.9
Dom Eliseu	1502939	5296	2496.7	2798.2
Confresa	5103353	5799	2471.6	3004.8
Ji-Paraná	1100122	6955	2468.4	4384.4
Jaru	1100114	2976	2464.1	467
Nova Canaã do Norte	5106216	5975	2448.9	2428.3
Nova Ubiratã	5106240	12690	2443	7449.9
Tomé-Açu	1508001	5168	2441.6	2573.7
Ulianópolis	1508126	5115	2393.3	2721.5
Colíder	5103205	3038	2392.1	639.8
Comodoro	5103304	21849	2345.8	9698.4
Bom Jardim	2102002	6647	2336.8	4245.5
São Geraldo do Araguaia	1507458	3283	2332.5	604.7
Rio Branco	1200401	9509	2320.6	7188.3
Cacoal	1100049	3820	2312.4	1475.3
Marcelândia	5105580	12294	2273.1	9782.3
Eldorado dos Carajás	1502954	2967	2238.1	728.9
Capitão Poço	1502301	2924	2213.1	0
Bom Jesus do Araguaia	5101852	4282	2201.7	1701.1
