Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	9981.6	69531.2
Paragominas	1505502	19452	7471.9	11937.6
Marabá	1504208	15127	6399.7	8603.9
Juara	5105101	21430	6061	13749.8
Santa Luzia	2110005	6193	5480.2	712.4
Santana do Araguaia	1506708	11607	5341.5	5391.2
Cumaru do Norte	1502764	17106	4968.2	10695
Açailândia	2100055	5844	4933.3	909.4
Santa Maria das Barreiras	1506583	10350	4694.1	3090.6
Água Azul do Norte	1500347	7586	4692.1	2764.8
Rondon do Pará	1506187	8286	4691.8	3594.2
Porto Velho	1100205	34636	4631.3	28795.4
Monte Alegre	1504802	21701	4466.4	14194.3
Vila Bela da Santíssima Trindade	5105507	13698	4282	2734.3
Alta Floresta	5100250	8955	4235.4	4421.1
Santarém	1506807	22876	4153.5	14171
São José do Xingu	5107354	7467	3984.4	3120.7
Tapurah	5108006	11610	3964.9	6237.9
Novo Repartimento	1505064	15433	3918.7	10345.4
Querência	5107065	17856	3750.4	11757.3
Sorriso	5107925	9350	3691.9	1541.9
Juína	5105150	26358	3610.8	20060.8
São Félix do Araguaia	5107859	16857	3570	7038.1
Vila Rica	5108600	7450	3554.2	3696.6
Itaituba	1503606	62096	3511.7	57310.3
Pontes e Lacerda	5106752	8465	3508.6	1628
Itupiranga	1503705	7899	3396.2	4384.6
Barra do Bugres	5101704	7244	3383.9	2592.3
Altamira	1500602	159701	3355.2	150886.1
Moju	1504703	9131	3326.2	4458.4
Goianésia do Pará	1503093	7048	3247.2	3319.2
Viseu	1508308	4943	3227.3	1598.6
Pacajá	1505486	11852	3215.8	8636.1
Xinguara	1508407	3794	3215.8	559.3
Rio Maria	1506161	4123	3164.8	819.7
Bom Jardim	2102002	6647	3102	3480.3
Confresa	5103353	5799	3087.5	2388.9
Brasnorte	5101902	16001	3005.5	9196.9
Nova Ubiratã	5106240	12690	2926	6966.9
Ariquemes	1100023	4480	2867.7	1522.4
Dom Eliseu	1502939	5296	2797.8	2497.1
Conceição do Araguaia	1502707	5848	2773.5	1084
Novo Progresso	1505031	38183	2760.2	31875
Ulianópolis	1508126	5115	2741.4	2373.4
Barra do Corda	2101608	8054	2673.8	2874.2
Tomé-Açu	1508001	5168	2663.4	2351.9
Nova Canaã do Norte	5106216	5975	2631.1	2246.1
Araguaína	1702109	4019	2628.5	466.6
Piçarra	1505635	3324	2621.7	634.8
Redenção	1506138	3830	2600.8	523.5
Jaru	1100114	2976	2542.5	388.6
Rio Branco	1200401	9509	2539.4	6969.5
Ji-Paraná	1100122	6955	2521.3	4331.5
Peixoto de Azevedo	5106422	14402	2513.3	10637.5
Marcelândia	5105580	12294	2498.8	9556.6
Comodoro	5103304	21849	2493.9	9550.3
Colíder	5103205	3038	2442.3	589.6
São Geraldo do Araguaia	1507458	3283	2432	505.2
Aripuanã	5101407	25181	2431.6	22408.3
Eldorado dos Carajás	1502954	2967	2427.6	539.4
Gaúcha do Norte	5103858	16900	2414.6	9840.2
Bom Jesus do Araguaia	5101852	4282	2406.1	1496.7
Capitão Poço	1502301	2924	2387.6	0.9
Cacoal	1100049	3820	2348.6	1439.1
Nova Mutum	5106224	9546	2320.1	3850.1
Breu Branco	1501782	3950	2251.5	1437.9
Chupinguaia	1100924	5163	2223.1	2610.1
Itinga do Maranhão	2105427	3612	2206	1405.9
Tucumã	1508084	2513	2176.1	328.7
Ipixuna do Pará	1503457	5245	2129.8	3079.4
Castanheira	5102850	3963	2091.9	1838.1
Tangará da Serra	5107958	11596	2078.1	726.8
Santa Terezinha	5107776	6463	2044.4	3123.8
Porto dos Gaúchos	5106802	7016	2028.2	4916.3
Curionópolis	1502772	2375	2016.6	352
Corumbiara	1100072	3082	2015.3	969.3
Guarantã do Norte	5104104	4717	2009.4	1982.8
Nova Monte Verde	5108956	6512	1988.1	4365.7
Acará	1500206	4363	1987	0
Alta Floresta d'Oeste	1100015	7138	1941.9	3460.1
Pimenta Bueno	1100189	6284	1935.9	3292.1
Amarante do Maranhão	2100600	7737	1909.9	4136
Centro Novo do Maranhão	2103174	8366	1909.6	6449.9
Cáceres	5102504	24446	1909.6	1917.4
Nova Maringá	5108907	11528	1903.9	8924.2
Machadinho d'Oeste	1100130	8589	1891.3	6260
Zé Doca	2114007	2435	1874.4	556.7
Espigão d'Oeste	1100098	4549	1873.3	2379.3
Turiaçu	2112407	2601	1862.9	610.2
Bom Jesus das Selvas	2102036	2700	1854	846
Alto Alegre do Pindaré	2100477	1951	1852.3	45.6
Poxoréo	5107008	6923	1839.6	113.8
Terra Nova do Norte	5108055	2303	1807.4	492.1
Novo Mundo	5106265	5801	1791.7	3454.8
Sinop	5107909	3193	1780.9	1368.1
Bannach	1501253	2963	1763.1	1137.8
São Miguel do Guaporé	1100320	8102	1744.6	4557.6
Araguatins	1702208	2640	1725.4	308.1
Ouro Preto do Oeste	1100155	1991	1710	262.8
Lábrea	1302405	69669	1690.6	65730.2
