Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Bom Jesus do Tocantins	1501576	2824	1696.3	1011.2
Medicilândia	1504455	8271	1669.3	1885.6
Pedro do Rosário	2108256	1770	1663.1	32.2
Arame	2100956	3075	1662.7	767.3
Óbidos	1505106	28043	1657.7	19145.3
Itacoatiara	1301902	8926	1655.7	4721
Candeias do Jamari	1100809	6933	1655.5	4895.7
Lago da Pedra	2105708	1655	1655	0
Vilhena	1100304	11583	1639.7	8249
Bandeirantes do Tocantins	1703057	1678	1625.6	52.1
Presidente Médici	1100254	1774	1597	149.5
Ribeirão Cascalheira	5107180	11364	1589	1821.7
Almeirim	1500503	72969	1585.9	49032.7
Rurópolis	1506195	7025	1577.7	4645.7
Alto Paraíso	1100403	2681	1573.9	1088.3
Itaúba	5104559	4543	1573	2515.8
CanaBrava do Norte	5102694	3450	1572.1	670.9
Cotriguaçu	5103379	9149	1546.5	7448.1
Cláudia	5103056	3819	1500.3	2310.2
Baião	1501204	3766	1499.3	892.4
Placas	1505650	7174	1497.4	5397.1
Aurora do Pará	1500958	1824	1476.8	0
Plácido de Castro	1200385	2099	1465.1	630.6
Arapoema	1702307	1558	1461.6	73.5
Nova Santa Helena	5106190	2625	1456.4	1166.3
Sena Madureira	1200500	26182	1456.2	24705.5
Apuí	1300144	54481	1453.7	50998.7
Jacundá	1503804	2014	1430.1	318.1
Cacaulândia	1100601	1986	1426.7	518.2
Santa Carmem	5107248	3921	1412	2509
Santa Helena	2109809	2336	1394.1	179.1
Manicoré	1302702	48687	1389.1	42085.6
Garrafão do Norte	1503077	1616	1386.6	216.7
Guajará-Mirim	1100106	25257	1385.8	19528.6
Nova Esperança do Piriá	1504950	2830	1385.8	1189.4
Brasiléia	1200104	4484	1372	3100.7
Oriximiná	1505304	107778	1364.8	95188.2
Alvorada d'Oeste	1100346	3060	1352.4	886.2
Porto Acre	1200807	3071	1330.3	1477.7
Mucajaí	1400308	12878	1327.7	9684
Itaipava do Grajaú	2105351	1558	1323.5	214.6
Santa Cruz do Xingu	5107743	5625	1319.9	2618.7
Governador Jorge Teixeira	1101005	5128	1317.4	3596.1
