Municipio,CodIbge,Estado,AreaKm2,Desmatado2009,Incremento20082009,Floresta2009,Nuvem2009,NaoObservado2009,NaoFloresta2009,Hidrografia2009
São Félix do Xingu,1507300,PA,84249,16636.1,441.6,60987.3,1885.2,8.6,3792.1,939.7
Paragominas,1505502,PA,19452,8533.5,74.6,10696.2,121.8,59.8,7,33.7
Marabá,1504208,PA,15127,8123.7,111.6,6734.9,145.9,1.7,35,85.8
Porto Velho,1100205,RO,34636,7664.1,97.7,25645.4,103.4,35.1,435.2,752.8
Juara,5105101,MT,21430,7551.4,30.7,12136.6,160.7,0.4,1454.3,126.6
Santana do Araguaia,1506708,PA,11607,7028.9,26.6,3679.3,22.8,0.3,808.8,66.9
Cumaru do Norte,1502764,PA,17106,6990.8,36.8,8673.5,0,0.4,1441.3,0
Altamira,1500602,PA,159701,6621.4,390.1,138915.1,8709.7,28.1,3758.4,1668.3
Novo Repartimento,1505064,PA,15433,6449.6,288.2,7372.9,439.8,1.9,1,1167.8
Santa Maria das Barreiras,1506583,PA,10350,5743.7,26,2046.5,1.6,0,2502.7,55.5
Santa Luzia,2110005,MA,6193,5642.3,19.1,548,2.3,0.4,0,0
Tapurah,5108006,MT,11610,5614.4,29.8,4206.6,386.6,0,1384.8,17.6
Rondon do Pará,1506187,PA,8286,5361.7,30.7,2920.8,3.5,0,0,0
Açailândia,2100055,MA,5844,5264,24.6,547,31.8,1.2,0,0
Novo Progresso,1505031,PA,38183,5263.8,316.5,28780.3,595.6,11.1,3457.4,74.8
Querência,5107065,MT,17856,5024.2,7.2,10482.3,0,0.8,2269.2,79.5
Água Azul do Norte,1500347,PA,7586,4960.6,11.1,2496.9,0,0.4,128.1,0
Alta Floresta,5100250,MT,8955,4897.3,7.2,3757.7,0,1.7,262.4,35.9
Monte Alegre,1504802,PA,21701,4751.8,23.8,12996.5,911.8,7.1,1890.3,1143.5
Itaituba,1503606,PA,62096,4703,148.1,55358.3,758.4,4.4,464,807.9
Pacajá,1505486,PA,11852,4702.5,60.7,3819.2,3280.2,50.1,0,0
Vila Bela da Santíssima Trindade,5105507,MT,13698,4681.2,21.7,2325.4,0,40.3,6578.2,72.9
Vila Rica,5108600,MT,7450,4587.9,7.5,2664.4,0,0,187.4,10.3
Santarém,1506807,PA,22876,4554.2,43.2,12009.6,1744.4,18.2,666.1,3883.5
Itupiranga,1503705,PA,7899,4476.6,89.1,3235.9,68.3,1.1,5.6,111.5
São Félix do Araguaia,5107859,MT,16857,4402.4,17.2,6196.7,0.1,0.7,6198.3,58.8
Juína,5105150,MT,26358,4304.9,20.9,19313.8,54.7,3,2641.3,40.3
São José do Xingu,5107354,MT,7467,4287.8,6.1,2791.9,25.7,4.9,301.3,55.4
Brasnorte,5101902,MT,16001,4284.7,15.4,7915.4,0,0,3767.7,33.2
