Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	17129.9	62262.4
Paragominas	1505502	19452	8637.8	10294.4
Marabá	1504208	15127	8267.9	6651.2
Porto Velho	1100205	34636	8124.6	25297.9
Juara	5105101	21430	7623.3	12222.8
Santana do Araguaia	1506708	11607	7102.9	3624.6
Cumaru do Norte	1502764	17106	7092.8	8496.5
Altamira	1500602	159701	7071.6	145537.7
Novo Repartimento	1505064	15433	6856.3	7404.1
Santa Maria das Barreiras	1506583	10350	5825.3	1957.5
Tapurah	5108006	11610	5796.3	4406.2
Santa Luzia	2110005	6193	5656.7	535.6
Rondon do Pará	1506187	8286	5441.8	2829.5
Novo Progresso	1505031	38183	5367.2	29243
Açailândia	2100055	5844	5287.1	547.9
Pacajá	1505486	11852	5174.7	6673.5
Querência	5107065	17856	5061.8	10437.3
Água Azul do Norte	1500347	7586	4975.9	2479.9
Alta Floresta	5100250	8955	4906.1	3747.1
Itaituba	1503606	62096	4884.1	55045.6
Monte Alegre	1504802	21701	4822.5	5636.4
Vila Bela da Santíssima Trindade	5105507	13698	4725.2	2283.9
Santarém	1506807	22876	4608.6	12007.8
Vila Rica	5108600	7450	4606.5	2647
Itupiranga	1503705	7899	4588.6	3149.2
São Félix do Araguaia	5107859	16857	4428	6110.9
Juína	5105150	26358	4322.6	19348.9
Nova Ubiratã	5106240	12690	4312.4	5566.3
Brasnorte	5101902	16001	4309.5	7887.5
São José do Xingu	5107354	7467	4300.1	2803.2
Moju	1504703	9131	4185.5	4486.3
Sorriso	5107925	9350	3977.2	1253.5
Aripuanã	5101407	25181	3876.1	20965
Goianésia do Pará	1503093	7048	3738.2	2824.7
Pontes e Lacerda	5106752	8465	3733	1404.3
Confresa	5103353	5799	3726.5	1748.5
Colniza	5103254	28134	3686.4	24068
Barra do Bugres	5101704	7244	3605.6	2371
Bom Jardim	2102002	6647	3529.7	3049.6
Gaúcha do Norte	5103858	16900	3504.7	8751.8
Viseu	1508308	4943	3449	1119
Marcelândia	5105580	12294	3440	8613.3
Ulianópolis	1508126	5115	3433.2	1649.8
Dom Eliseu	1502939	5296	3419.7	1872.5
Peixoto de Azevedo	5106422	14402	3374.5	9774.5
Xinguara	1508407	3794	3373	401.8
Rio Maria	1506161	4123	3369.6	616.1
Lábrea	1302405	69669	3269.3	64143.7
Barra do Corda	2101608	8054	3201.9	2071.3
Ariquemes	1100023	4480	3180	1205
Nova Bandeirantes	5106158	9561	3079.7	6262
Uruará	1508159	10794	3076.4	7453.4
Nova Maringá	5108907	11528	3069.1	7761.2
Conceição do Araguaia	1502707	5848	3059.9	788.8
Rio Branco	1200401	9509	3034.4	6474.5
Comodoro	5103304	21849	3030.8	9018.2
Nova Canaã do Norte	5106216	5975	2974.5	1899.4
Porto dos Gaúchos	5106802	7016	2969.3	3975.7
Tomé-Açu	1508001	5168	2945.1	2082.3
Nova Mamoré	1100338	10244	2914.4	5926.9
Piçarra	1505635	3324	2903.3	352.3
Machadinho d'Oeste	1100130	8589	2867.9	5283.3
Nova Mutum	5106224	9546	2857.7	3256.8
Breu Branco	1501782	3950	2749.3	939.1
Eldorado dos Carajás	1502954	2967	2722.9	232
Bom Jesus do Araguaia	5101852	4282	2713	1087
Ipixuna do Pará	1503457	5245	2703.3	2272.2
Araguaína	1702109	4019	2680.8	413.8
Redenção	1506138	3830	2659.9	467.7
Chupinguaia	1100924	5163	2639.2	2195
Jaru	1100114	2976	2615.3	311.7
Ji-Paraná	1100122	6955	2609.4	4224.2
Itinga do Maranhão	2105427	3612	2604.5	1006.6
Nova Monte Verde	5108956	6512	2591.5	3761.5
Brasil Novo	1501725	6370	2570.4	3785.3
Capitão Poço	1502301	2924	2566.8	341.5
Santa Terezinha	5107776	6463	2559.1	2611
São Geraldo do Araguaia	1507458	3283	2541.7	394.8
Tabaporã	5107941	8233	2522.9	3470
Castanheira	5102850	3963	2515.2	1414.7
Colíder	5103205	3038	2503.5	528.5
Cacoal	1100049	3820	2493.7	1294.5
Novo Mundo	5106265	5801	2486.4	2762.6
Guarantã do Norte	5104104	4717	2401.9	1590.8
Pimenta Bueno	1100189	6284	2379	2849.3
Centro Novo do Maranhão	2103174	8366	2327	6035.4
Acará	1500206	4363	2321.6	1494
Amarante do Maranhão	2100600	7737	2275.3	3603.5
Tucumã	1508084	2513	2274.8	228.8
Buritis	1100452	3315	2248.3	1061.8
Paranaíta	5106299	4833	2247.4	2496.3
Alta Floresta d'Oeste	1100015	7138	2244.4	3150.6
Anapu	1500859	11909	2239.6	9487.3
Tailândia	1507953	4451	2185.4	2136.6
Costa Marques	1100080	12890	2177.8	7222.1
Cáceres	5102504	24446	2168.5	1656.5
Bom Jesus das Selvas	2102036	2700	2167.6	532.1
Tangará da Serra	5107958	11596	2160.3	646.4
Corumbiara	1100072	3082	2150.6	834.1
São Miguel do Guaporé	1100320	8102	2136.8	4166.5
Bannach	1501253	2963	2136	763.2
Paranatinga	5106307	24185	2097.7	5409.8
Espigão d'Oeste	1100098	4549	2089.6	2162.5
Apiacás	5100805	20402	2080.9	17015.7
Curionópolis	1502772	2375	2057.5	299.7
São Francisco do Guaporé	1101492	4805	2043.1	1888.3
Sinop	5107909	3193	2032.9	1115.3
Feliz Natal	5103700	11448	2027.2	8689.9
Boca do Acre	1300706	23013	2023.8	20778.3
Zé Doca	2114007	2435	2001.9	432.1
Medicilândia	1504455	8271	1970.9	6258.7
Terra Nova do Norte	5108055	2303	1951.9	347.6
Turiaçu	2112407	2601	1933.7	372.2
Vera	5108501	2951	1926.4	1005.2
Buriticupu	2102325	2567	1925	639.6
Matupá	5105606	5153	1919.3	3015.7
Campo Novo de Rondônia	1100700	3491	1898.3	1315.6
Floresta do Araguaia	1503044	3454	1897.6	332
Rondolândia	5107578	12742	1885.5	10772.8
Canarana	5102702	10839	1877.7	2173.5
Alto Alegre do Pindaré	2100477	1951	1866.6	32.6
Poxoréo	5107008	6923	1859	94.3
Óbidos	1505106	28043	1827.6	16873.7
Cotriguaçu	5103379	9149	1821.9	7172.9
Araguatins	1702208	2640	1813.9	217
Arame	2100956	3075	1804.1	903
Rurópolis	1506195	7025	1804.1	4471.1
Candeias do Jamari	1100809	6933	1796.7	4754.5
Nova Lacerda	5106182	4756	1796.3	1462.7
Vitória do Xingu	1508357	2969	1794.5	1013.3
Placas	1505650	7174	1782.7	4126.2
São José do Rio Claro	5107305	5060	1782.4	1872.6
Apuí	1300144	54481	1777.1	51856
Almeirim	1500503	72969	1748.7	47940.5
Theobroma	1101609	2219	1746.5	464
Ouro Preto do Oeste	1100155	1991	1741	228
Vilhena	1100304	11583	1739.1	8151.6
Bom Jesus do Tocantins	1501576	2824	1736.5	934.1
Canaã dos Carajás	1502152	3157	1735.6	1311.8
Itacoatiara	1301902	8926	1735.2	4451.7
Bragança	1501709	2108	1723.4	61.2
Carlinda	5102793	2414	1715.9	665.3
Mucajaí	1400308	12878	1713.1	7116
Alto Paraíso	1100403	2681	1683.9	979.1
Pedro do Rosário	2108256	1770	1674.2	26.6
Lago da Pedra	2105708	1655	1655.1	0
Itaúba	5104559	4543	1650.3	2436.4
CanaBrava do Norte	5102694	3450	1635.4	610.9
Ribeirão Cascalheira	5107180	11364	1628	1781.8
Bandeirantes do Tocantins	1703057	1678	1627.1	50.5
Manicoré	1302702	48687	1618.3	39147.1
Presidente Médici	1100254	1774	1604.4	142.2
Sena Madureira	1200500	26182	1602.7	24531.1
Baião	1501204	3766	1579.3	1475.6
