Municipio,CodIbge,Estado,AreaKm2,Desmatado2000,Incremento19992000,Floresta2000,Nuvem2000,NaoObservado2000,NaoFloresta2000,Hidrografia2000
Paragominas,1505502,PA,19452,7211.3,0,12198.6,0,1.4,7,33.7
São Félix do Xingu,1507300,PA,84249,7024.5,0,72488.3,0,6.5,3790,939.7
Marabá,1504208,PA,15127,5777.2,0,9226.4,0,1.7,35.9,85.8
Juara,5105101,MT,21430,5425.3,0,14385.5,0,29.3,1463.3,126.6
Santa Luzia,2110005,MA,6193,5318.2,0,874.4,0,0.4,0,0
Açailândia,2100055,MA,5844,4815.4,0,1027.3,0,1.3,0,0
Santana do Araguaia,1506708,PA,11607,4615,0,6117.7,0,0.3,807.1,66.9
Monte Alegre,1504802,PA,21701,4393.8,0,14271.7,0,3.8,1888.2,1143.5
Água Azul do Norte,1500347,PA,7586,4274.2,0,3182.7,0,0,129.1,0
Cumaru do Norte,1502764,PA,17106,4162.5,0,11500.7,0,0.3,1442.5,0
Rondon do Pará,1506187,PA,8286,4157.4,0,4128.6,0,0,0,0
Santa Maria das Barreiras,1506583,PA,10350,4013.6,0,3771.1,0,0,2509.8,55.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,3915,0,3101.3,0,19.6,6589.2,72.9
Porto Velho,1100205,RO,34636,3885.9,0,29540.8,0,23.4,433.1,752.8
São José do Xingu,5107354,MT,7467,3849.5,0,3255.6,0,4.6,301.9,55.4
Alta Floresta,5100250,MT,8955,3816.2,0,4840.3,0,1.6,261,35.9
Santarém,1506807,PA,22876,3764,0,14560.6,0,0.4,667.5,3883.5
São Félix do Araguaia,5107859,MT,16857,3391.9,0,7216.2,0,0.7,6189.4,58.8
Sorriso,5107925,MT,9350,3347.2,0,1886.6,0,0.7,4115.5,0
Pontes e Lacerda,5106752,MT,8465,3313.8,0,1822.8,0,3,3325.4,0
Juína,5105150,MT,26358,3277.5,0,20394.1,0,3,2643.1,40.3
Itaituba,1503606,PA,62096,3210.1,0,57611.9,0,3.6,462.5,807.9
Barra do Bugres,5101704,MT,7244,3188.4,0,2787.8,0,0,1264.3,3.5
Itupiranga,1503705,PA,7899,3184.8,0,4596,0,1,5.7,111.5
Xinguara,1508407,PA,3794,3146.8,0,628.3,0,0,0,18.9
Querência,5107065,MT,17856,3132.4,0,12375.3,0,0.8,2268,79.5
Viseu,1508308,PA,4943,3127.3,0,1697.9,0.9,0.7,35.2,81
Novo Repartimento,1505064,PA,15433,3046,0,11218.1,0,0.1,1,1167.8
Vila Rica,5108600,MT,7450,3039.4,0,4211.4,0,0,188.9,10.3
Rio Maria,1506161,PA,4123,3031.3,0,953.2,0,0,130.6,7.9
Goianésia do Pará,1503093,PA,7048,2966.1,0,3600.3,0,0.1,0,481.5
Tapurah,5108006,MT,11610,2839.5,0,7363.3,0,0,1389.6,17.6
Brasnorte,5101902,MT,16001,2718.8,0,9483.6,0,0,3765.4,33.2
Moju,1504703,PA,9131,2681.7,0,5102.9,0,1137.8,181.8,26.8
Ariquemes,1100023,RO,4480,2664.2,0,1725.9,0,0,89.7,0.2
Araguaína,1702109,TO,4019,2606.9,0,488.2,0,0.7,900.3,22.9
Conceição do Araguaia,1502707,PA,5848,2582,0,1275.5,0,0.3,1867.5,122.7
Barra do Corda,2101608,MA,8054,2520.6,0,3027.4,0,1.1,2498.9,6
Piçarra,1505635,PA,3324,2514.4,0,742.1,0,0,0,67.5
Redenção,1506138,PA,3830,2513.4,0,610.9,0,0.1,705.6,0
Dom Eliseu,1502939,PA,5296,2496.7,0,2798.2,0,1.1,0,0
Confresa,5103353,MT,5799,2471.6,0,3004.8,0,0,320.5,2.1
Ji-Paraná,1100122,RO,6955,2468.4,0,4384.4,0,2.2,65.6,34.4
Jaru,1100114,RO,2976,2464.1,0,467,0,0.1,44.8,0
Nova Canaã do Norte,5106216,MT,5975,2448.9,0,2428.3,0,0,1061.2,36.6
Nova Ubiratã,5106240,MT,12690,2443,0,7449.9,0,0.1,2796.5,0.5
Tomé-Açu,1508001,PA,5168,2441.6,0,2573.7,0,152.7,0,0
Ulianópolis,1508126,PA,5115,2393.3,0,2721.5,0,0.2,0,0
Colíder,5103205,MT,3038,2392.1,0,639.8,0,0,2.4,3.7
Comodoro,5103304,MT,21849,2345.8,0,9698.4,0,16.2,9785.7,2.9
Bom Jardim,2102002,MA,6647,2336.8,0,4245.5,0,0.2,57.4,7.1
São Geraldo do Araguaia,1507458,PA,3283,2332.5,0,604.7,0,0,313.9,31.9
Rio Branco,1200401,AC,9509,2320.6,0,7188.3,0,0.1,0,0
Cacoal,1100049,RO,3820,2312.4,0,1475.3,0,0,26.4,5.9
Marcelândia,5105580,MT,12294,2273.1,0,9782.3,0,4.1,218.7,15.8
Eldorado dos Carajás,1502954,PA,2967,2238.1,0,728.9,0,0,0,0
Capitão Poço,1502301,PA,2924,2213.1,0,0,0,812,0,0
Bom Jesus do Araguaia,5101852,MT,4282,2201.7,0,1701.1,0,1.2,376.2,1.8
Nova Mutum,5106224,MT,9546,2163.3,0,4006.9,0,0.6,3368.6,6.6
Chupinguaia,1100924,RO,5163,2128.5,0,2704.7,0,0,329.4,0.4
Peixoto de Azevedo,5106422,MT,14402,2115.5,0,11035.3,0,2.9,1173,75.3
Altamira,1500602,PA,159701,2107,0,152121.5,16.2,22.5,3765.5,1668.3
Breu Branco,1501782,PA,3950,2097.6,0,1591.8,0,0.2,0.9,259.5
Itinga do Maranhão,2105427,MA,3612,2070.8,0,1541.1,0,0,0,0.1
Gaúcha do Norte,5103858,MT,16900,2047.3,0,10207.5,0,0,4614.5,30.7
Tangará da Serra,5107958,MT,11596,2000.1,0,804.8,0,0,8790.1,1
Corumbiara,1100072,RO,3082,1996.3,0,988.3,0,0,97.4,0
Curionópolis,1502772,PA,2375,1992.9,0,375.7,0,1.7,4.7,0
Tucumã,1508084,PA,2513,1974.1,0,530.7,0,0.5,0,7.7
Castanheira,5102850,MT,3963,1962.3,0,1967.7,0,1,3.3,28.7
Aripuanã,5101407,MT,25181,1908.7,0,22931.2,0,4.8,283,53.3
Ipixuna do Pará,1503457,PA,5245,1885.3,0,3323.9,0,1,6.8,28
Acará,1500206,PA,4363,1882.9,0,0,0,2680.6,27.1,9.2
Pimenta Bueno,1100189,RO,6284,1821.1,0,3406.9,0,0,1050.5,5.5
Poxoréo,5107008,MT,6923,1820.5,0,132.9,0,0,4969.6,0
Amarante do Maranhão,2100600,MA,7737,1817.4,0,4228.5,0,6.3,1684.8,0
Espigão d'Oeste,1100098,RO,4549,1809.3,0,2443.3,0,0,295.9,0.5
Novo Progresso,1505031,PA,38183,1785,0,32850.2,0,11,3462,74.8
Cáceres,5102504,MT,24446,1782.4,0,2044.6,0,1331.4,18192,1095.6
Centro Novo do Maranhão,2103174,MA,8366,1767.1,0,6595.9,0.2,0,0,2.8
Bom Jesus das Selvas,2102036,MA,2700,1757.8,0,942.2,0,0,0,0
Guarantã do Norte,5104104,MT,4717,1755,0,2237.2,0,0,724.6,0.2
Alta Floresta d'Oeste,1100015,RO,7138,1754,0,3648,0,6.1,1706.4,23.5
Araguatins,1702208,TO,2640,1692.8,0,340.7,0,0.7,540.4,65.4
Nova Monte Verde,5108956,MT,6512,1690.3,0,4663.5,0,0,150.3,7.9
Ouro Preto do Oeste,1100155,RO,1991,1680.7,0,292.1,0,0.3,15.9,2
Nova Maringá,5108907,MT,11528,1674.8,0,9153.3,0,0.9,690.8,8.2
