Municipio,CodIbge,Estado,AreaKm2,Desmatado2004,Incremento20032004,Floresta2004,Nuvem2004,NaoObservado2004,NaoFloresta2004,Hidrografia2004
Vera,5108501,MT,2951,1837.6,129.1,1094.2,0,1.4,17.7,0.1
Canarana,5102702,MT,10839,1812.2,117.6,2234.8,0,1.7,6784.1,6.2
Tailândia,1507953,PA,4451,1800,91.5,2651,0,0,0,0
Buritis,1100452,RO,3315,1778,236.3,1532.1,0,0,4.8,0.1
Buriticupu,2102325,MA,2567,1773.7,125.4,791.7,0,0.6,0,1
Araguatins,1702208,TO,2640,1759.2,18.1,274.3,0,0.7,540.4,65.4
São Francisco do Guaporé,1101492,RO,4805,1756.8,161,2193.4,0,0,854.8,0
Rondolândia,5107578,MT,12742,1739.4,73.3,10923.9,0,1.2,52.3,25.2
Ouro Preto do Oeste,1100155,RO,1991,1731,2.5,241.8,0,0.3,15.9,2
Apiacás,5100805,MT,20402,1719.4,228.9,17375.4,0,3.9,1053.7,249.6
Canaã dos Carajás,1502152,PA,3157,1704.8,9.6,1347,0,0,105.1,0.1
Bragança,1501709,PA,2108,1702.7,2.4,307.2,5.2,0.3,37.4,55.2
Boca do Acre,1300706,AM,23013,1702.6,124.7,21119.1,0,1.9,58.1,131.3
Costa Marques,1100080,RO,12890,1693.9,225.1,7724.1,0,50.2,3378.8,43
Floresta do Araguaia,1503044,PA,3454,1689.2,51.9,543.7,0,0.2,1172.9,48
Carlinda,5102793,MT,2414,1685.5,41.2,695.7,0,0,0,32.8
Theobroma,1101609,RO,2219,1683.3,17.7,535.2,0,0,0,0.5
Pedro do Rosário,2108256,MA,1770,1661.7,3.1,34.8,3.5,0,70,0
Bom Jesus do Tocantins,1501576,PA,2824,1659.8,42.3,1050.1,0,0.8,71.7,41.6
Arame,2100956,MA,3075,1655.5,5.2,1077.9,2,1.5,338,0.1
Lago da Pedra,2105708,MA,1655,1655,0,0,0,0,0,0
Nova Lacerda,5106182,MT,4756,1654.3,41,1605.8,0,0,1495.9,0
Itacoatiara,1301902,AM,8926,1631,29.8,4801,0,0.5,829.4,1664.1
Vitória do Xingu,1508357,PA,2969,1624.7,53.3,1189.8,1.3,0,0.1,153.1
Bandeirantes do Tocantins,1703057,TO,1678,1623.4,3.4,54.3,0,0,0.3,0
Matupá,5105606,MT,5153,1623.2,63.6,3311.3,0,0,218.5,0
Medicilândia,1504455,PA,8271,1621.1,83.5,6623.2,24.7,1.1,0,0.9
Óbidos,1505106,PA,28043,1598.7,54.4,20487,5.2,2.7,4593.4,1356
Presidente Médici,1100254,RO,1774,1588.5,9,158,0,0,17.6,9.9
São José do Rio Claro,5107305,MT,5060,1571.6,171.1,2081.8,0,0,1403.9,2.7
Vilhena,1100304,RO,11583,1560.6,81.7,8329.4,0,3.9,1687.6,1.5
Campo Novo de Rondônia,1100700,RO,3491,1543.9,129,1671.1,0,0,276,0
Almeirim,1500503,PA,72969,1542.4,26.8,67379.2,239.3,58.6,2712.7,1036.8
Rurópolis,1506195,PA,7025,1533.4,70.4,5440.7,1,0,0,49.9
Feliz Natal,5103700,MT,11448,1510.3,225.6,9206.7,0,4.1,704.6,22.3
Ribeirão Cascalheira,5107180,MT,11364,1496.8,70.6,1913.9,0,0.2,7937.3,15.8
Anapu,1500859,PA,11909,1485,171.8,10245.9,0,0,6.8,171.3
CanaBrava do Norte,5102694,MT,3450,1481.2,18.2,766.2,0,0,1202.4,0.2
Itaúba,5104559,MT,4543,1475.7,119.4,2613.1,0,0,421,33.2
Baião,1501204,PA,3766,1470.6,23.2,1574.7,8.9,0,475.3,236.5
Arapoema,1702307,TO,1558,1460.6,0.4,74.5,0,0,0,22.9
Cláudia,5103056,MT,3819,1443.4,108.2,2367.1,0,0,0,8.5
Aurora do Pará,1500958,PA,1824,1434.8,34,0,0.2,384.2,0,5.5
Alto Paraíso,1100403,RO,2681,1424.8,89.5,1238.3,0,0.1,0.7,17.1
Nova Santa Helena,5106190,MT,2625,1413.5,27,1209.2,0,0.1,2.2,0
Placas,1505650,PA,7174,1398.9,73.5,5774.9,0,0,0.1,0.1
Jacundá,1503804,PA,2014,1395.3,42.3,353.4,0,0,0,265.3
Candeias do Jamari,1100809,RO,6933,1387,123.2,5164.2,0,0.2,0,381.6
Santa Helena,2109809,MA,2336,1383.7,3.1,194.5,19.2,0,632.1,106.5
Plácido de Castro,1200385,AC,2099,1379.1,55.1,716.6,0,3.3,0,0
Cacaulândia,1100601,RO,1986,1364.8,37.4,580.1,0,0,41.1,0
Garrafão do Norte,1503077,PA,1616,1351.4,44.9,263.8,0,0.8,0,0
Sena Madureira,1200500,AC,26182,1340,65.3,24823.3,0,15.8,2.9,0
Nova Esperança do Piriá,1504950,PA,2830,1334.5,109.6,1495,0,0.5,0,0
Oriximiná,1505304,PA,107778,1328.3,26.5,100901,59.3,83.5,3638.4,1767.5
Guajará-Mirim,1100106,RO,25257,1321.6,76.6,19897.9,0,72,3798.4,167.1
Alvorada d'Oeste,1100346,RO,3060,1318.8,15.1,919.8,0,0,821.4,0
Itaipava do Grajaú,2105351,MA,1558,1317,5.6,239.7,0,1.3,0,0
Brasiléia,1200104,AC,4484,1312.1,38.3,3160.6,0,11,0,0.3
Rolim de Moura,1100288,RO,1471,1297.6,11.6,173.4,0,0,0,0
Santa Carmem,5107248,MT,3921,1282.4,229.8,2638.6,0,0,0,0
Mucajaí,1400308,RR,12878,1273.7,79.5,11367.6,1.7,1.3,196.3,37.4
Xambioá,1722107,TO,1641,1273.5,7.7,327.8,0,0.1,11,28.6
Parauapebas,1505536,PA,7019,1269.5,15.3,5663.3,0,0,84.9,1.3
Governador Jorge Teixeira,1101005,RO,5128,1261.2,22.3,3675.7,0,0,191.1,0
Barra do Garças,5101803,MT,9147,1257.3,3.6,244.2,0,4.5,7626.4,14.6
Porto Acre,1200807,AC,3071,1253.5,69.1,1814.7,0,2.8,0,0
São Domingos do Capim,1507201,PA,1687,1252,58.2,0,0,437.1,0,0
Cidelândia,2103257,MA,1473,1230.6,17.1,213.3,0,0.7,21,7.4
Apuí,1300144,AM,54481,1227.7,132.7,52405.5,0,15.2,624.1,208.5
Santa Fé do Araguaia,1718865,TO,1682,1227.2,7.1,398.7,0,0,0,56.1
Cantá,1400175,RR,7714,1227.1,33,5517.6,56.6,1.3,827.6,83.8
Alenquer,1500404,PA,22275,1223.6,32.9,17978.4,3.7,4.5,2474.1,590.7
Araputanga,5101258,MT,1608,1223.1,3.3,349.6,0,0.7,34.6,0
Manaus,1302603,AM,11474,1220.3,11.5,8702.3,0,0.2,2.6,1548.6
Monte Negro,1101401,RO,1956,1219.7,48.3,691.9,0,0,44.4,0
São Domingos do Araguaia,1507151,PA,1396,1218.7,29.6,177.3,0,0,0,0
Maués,1302900,AM,40079,1218.3,15.2,36692.7,0,2.2,873.7,1292.1
Santa Cruz do Xingu,5107743,MT,5625,1213.3,69.9,2725.3,0,0,1622.9,63.5
Cotriguaçu,5103379,MT,9149,1210.1,188.9,7784.5,0,0.1,20.9,133.4
Santa Luzia do Pará,1506559,PA,1361,1209.6,1.9,124.4,0.4,26.6,0,0
Manicoré,1302702,AM,48687,1207.7,61.2,42489.6,0,17.4,4145.8,826.5
Senador Guiomard,1200450,AC,1887,1207,35.2,680,0,0,0,0
Bacabal,2101202,MA,1707,1199.2,0,0,0,145.4,360.9,2.5
Bujari,1200138,AC,3572,1189.5,54.6,2382,0,0.5,0,0
Pimenteiras do Oeste,1101468,RO,6067,1181.4,66.7,2399.1,0,33.9,2428.1,24.5
São José dos Quatro Marcos,5107107,MT,1284,1173.1,1.8,73.1,0,0,37.8,0
Governador Newton Bello,2104651,MA,1177,1168.2,0.8,8.7,0,0.1,0,0
Alto Alegre dos Parecis,1100379,RO,3993,1168.1,75.3,1889.1,0,4,917.8,14
Colorado do Oeste,1100064,RO,1459,1166.3,10.8,239.5,0,0,53.2,0
São Gabriel da Cachoeira,1303809,AM,112501,1162.1,4.3,108370.1,623.9,370.6,489.5,1484.8
Nova Brasilândia,5106208,MT,3269,1156.1,4,202.3,0,0,1883,27.6
Irituia,1503507,PA,1387,1148.5,51.7,0,0,244.3,0,0
Ananás,1701002,TO,1596,1147.9,1.8,202.6,0,1.8,203.6,40.1
Nova Olinda do Maranhão,2107357,MA,2487,1147.1,2,1334.7,4.7,0.5,0,0
Ourilândia do Norte,1505437,PA,13840,1146.7,16.9,9523.6,0,0.4,3165.9,3.4
