Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006
São Félix do Xingu,1507300,PA,84249,14550.5,762.1,64962.1,0.2,6.5,3790,939.7
Paragominas,1505502,PA,19452,8256,92.3,8723.4,2430.5,1.4,7,33.7
Marabá,1504208,PA,15127,7495.8,259.3,7392.4,115.4,1.7,35.9,85.8
Juara,5105101,MT,21430,7290.2,199.4,12515.8,4.8,29.3,1463.3,126.6
Porto Velho,1100205,RO,34636,6909.4,364.7,26503.6,13.7,23.4,433.1,752.8
Santana do Araguaia,1506708,PA,11607,6589,136.6,4143.7,0,0.3,807.1,66.9
Cumaru do Norte,1502764,PA,17106,6475.3,175.8,9031.7,156.2,0.3,1442.5,0
Santa Luzia,2110005,MA,6193,5545.6,8.4,523.8,123.2,0.4,0,0
Altamira,1500602,PA,159701,5517,285.4,144160.4,4567.3,22.5,3765.5,1668.3
Santa Maria das Barreiras,1506583,PA,10350,5491.5,81.3,2287.2,6,0,2509.8,55.5
Novo Repartimento,1505064,PA,15433,5433.8,445.1,8786.8,43.5,0.1,1,1167.8
Tapurah,5108006,MT,11610,5392,49.1,4810.8,0,0,1389.6,17.6
Rondon do Pará,1506187,PA,8286,5191.1,42.5,3059.2,35.7,0,0,0
Açailândia,2100055,MA,5844,5149.3,43.3,667.4,26,1.3,0,0
Querência,5107065,MT,17856,4905.5,85,10587,15.2,0.8,2268,79.5
Água Azul do Norte,1500347,PA,7586,4886.8,22.4,2452.7,117.4,0,129.1,0
Alta Floresta,5100250,MT,8955,4813.2,97.1,3789.9,53.4,1.6,261,35.9
Monte Alegre,1504802,PA,21701,4640.9,34.8,11361.8,2662.8,3.8,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4600,21.5,2416.3,0,19.6,6589.2,72.9
Santarém,1506807,PA,22876,4409.5,57.1,11507.8,2407.3,0.4,667.5,3883.5
Vila Rica,5108600,MT,7450,4400.3,66.3,2850.5,0,0,188.9,10.3
Novo Progresso,1505031,PA,38183,4362.2,254,30225.9,47.1,11,3462,74.8
Itaituba,1503606,PA,62096,4262.5,105.5,54709.6,1849.9,3.6,462.5,807.9
Juína,5105150,MT,26358,4185.7,39.6,19485.9,0,3,2643.1,40.3
Pacajá,1505486,PA,11852,4172.5,213.7,6448.1,1231.3,0.1,0,0
São José do Xingu,5107354,MT,7467,4161.4,29.8,2943.7,0,4.6,301.9,55.4
São Félix do Araguaia,5107859,MT,16857,4133.3,51.3,6471.7,3.1,0.7,6189.4,58.8
Brasnorte,5101902,MT,16001,4100.7,64.6,8093.4,8.3,0,3765.4,33.2
Itupiranga,1503705,PA,7899,4028.7,237.4,3744.1,8,1,5.7,111.5
Nova Ubiratã,5106240,MT,12690,4004.1,71.9,5888.8,0,0.1,2796.5,0.5
Sorriso,5107925,MT,9350,3969.2,5.3,1264.6,0,0.7,4115.5,0
Moju,1504703,PA,9131,3763,109.3,2746.2,1275.4,1137.8,181.8,26.8
Pontes e Lacerda,5106752,MT,8465,3671.9,15.6,1463.6,1.1,3,3325.4,0
