Municipio,CodIbge,Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,Nuvem2008,NaoObservado2008,NaoFloresta2008,Hidrografia2008
São Félix do Xingu,1507300,PA,84249,16190.8,761,63188.3,133.7,6.5,3790,939.7
Paragominas,1505502,PA,19452,8412.7,64.1,9087,1904.5,7.1,7,33.7
Marabá,1504208,PA,15127,8012.4,353,6990.5,0,2.4,35.9,85.8
Porto Velho,1100205,RO,34636,7557.7,212.6,24926,938.4,28,433.1,752.8
Juara,5105101,MT,21430,7520.8,120.8,12318.9,0,0.4,1463.3,126.6
Santana do Araguaia,1506708,PA,11607,7001.6,191.4,3731.1,0,0.3,807.1,66.9
Cumaru do Norte,1502764,PA,17106,6953.9,186.5,8699.4,9.9,0.3,1442.5,0
Altamira,1500602,PA,159701,6229.4,341.4,145034.4,2977.7,25.7,3765.5,1668.3
Novo Repartimento,1505064,PA,15433,6203.9,483,7967.5,92.6,0.2,1,1167.8
Santa Maria das Barreiras,1506583,PA,10350,5718.1,106.7,2066.6,0,0,2509.8,55.5
Santa Luzia,2110005,MA,6193,5623.2,50.6,568.8,0.7,0.3,0,0
Tapurah,5108006,MT,11610,5585.1,146.7,4617.7,0,0,1389.6,17.6
Rondon do Pará,1506187,PA,8286,5331,54.1,2955,0,0,0,0
Açailândia,2100055,MA,5844,5239.3,56.1,603.5,0,1.2,0,0
Querência,5107065,MT,17856,5016.8,71.8,10490.9,0,0.8,2268,79.5
Água Azul do Norte,1500347,PA,7586,4948.7,26.9,2496.3,11.9,0,129.1,0
Novo Progresso,1505031,PA,38183,4947.4,237.9,29659.1,28.6,11.1,3462,74.8
Alta Floresta,5100250,MT,8955,4890.2,15.3,3766.2,0,1.7,261,35.9
Monte Alegre,1504802,PA,21701,4727.3,59.8,12053.1,1882.3,6.6,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4656.6,37.9,2243.5,100.9,34.9,6589.2,72.9
Pacajá,1505486,PA,11852,4601.4,260.1,5705.6,1536.3,8.7,0,0
Vila Rica,5108600,MT,7450,4580.3,79.5,2634.1,0,36.4,188.9,10.3
Itaituba,1503606,PA,62096,4554.4,170.6,56261.7,5.2,4.3,462.5,807.9
Santarém,1506807,PA,22876,4505.3,56.1,12767.5,1040,12.2,667.5,3883.5
Itupiranga,1503705,PA,7899,4387.3,227.5,3393.4,0,1.1,5.7,111.5
São Félix do Araguaia,5107859,MT,16857,4384.9,209.9,6223.2,0,0.7,6189.4,58.8
Juína,5105150,MT,26358,4284.1,54,19329.3,58.1,3.1,2643.1,40.3
São José do Xingu,5107354,MT,7467,4282.2,94.8,2822.6,0,4.9,301.9,55.4
Brasnorte,5101902,MT,16001,4269.1,116.9,7933.3,0,0,3765.4,33.2
Nova Ubiratã,5106240,MT,12690,4165.5,142.6,5727.4,0,0.1,2796.5,0.5
Sorriso,5107925,MT,9350,3974.5,2.9,1259.3,0,0.7,4115.5,0
Moju,1504703,PA,9131,3958.7,115.5,4924.1,31.6,8,181.8,26.8
Aripuanã,5101407,MT,25181,3767.7,81.8,20862.4,209.8,4.8,283,53.3
Pontes e Lacerda,5106752,MT,8465,3716,30.3,1418,2.6,3,3325.4,0
Confresa,5103353,MT,5799,3680.7,64.9,1598.3,0,197.4,320.5,2.1
Goianésia do Pará,1503093,PA,7048,3640,35.6,2923.9,0.8,1.8,0,481.5
Barra do Bugres,5101704,MT,7244,3583.1,8.9,2393.1,0,0,1264.3,3.5
Gaúcha do Norte,5103858,MT,16900,3482.8,197.3,8772,0,0,4614.5,30.7
Bom Jardim,2102002,MA,6647,3475.7,96.6,2509.3,596.1,1.4,57.4,7.1
Colniza,5103254,MT,28134,3444.9,124.7,24307.1,8.5,6.9,310.6,56
Marcelândia,5105580,MT,12294,3409.3,177.4,8646.1,0,4.1,218.7,15.8
Viseu,1508308,PA,4943,3390.5,15.7,1081.4,353,1.9,35.2,81
Xinguara,1508407,PA,3794,3364,4.7,411.1,0,0,0,18.9
Rio Maria,1506161,PA,4123,3356,15.6,628.5,0,0,130.6,7.9
Ulianópolis,1508126,PA,5115,3346.6,136.4,1757.6,7.9,2.9,0,0
Dom Eliseu,1502939,PA,5296,3316.1,55.1,1978.3,0,1.6,0,0
Peixoto de Azevedo,5106422,MT,14402,3269.9,72.1,9880.9,0,2.9,1173,75.3
Ariquemes,1100023,RO,4480,3163,8.3,1227.1,0,0,89.7,0.2
Lábrea,1302405,AM,69669,3106.8,68.1,63516.7,798.1,8.8,1792.2,446.4
Nova Maringá,5108907,MT,11528,3043.4,18.1,7783,1.7,0.9,690.8,8.2
Conceição do Araguaia,1502707,PA,5848,3029.3,47.9,828.3,0,0.2,1867.5,122.7
Barra do Corda,2101608,MA,8054,3019.7,68.6,2528.4,0,1,2498.9,6
Comodoro,5103304,MT,21849,2979.6,46.1,9059.6,0,21.2,9785.7,2.9
Nova Canaã do Norte,5106216,MT,5975,2962,21.4,1915.2,0,0,1061.2,36.6
Nova Bandeirantes,5106158,MT,9561,2960.4,124.7,6381.2,0,1.1,91.1,127.2
Rio Branco,1200401,AC,9509,2944,29.8,6564.9,0,0.1,0,0
Porto dos Gaúchos,5106802,MT,7016,2918.2,29.7,4026.4,0,0,48.5,22.9
Tomé-Açu,1508001,PA,5168,2888,36.2,2278,0,2,0,0
Piçarra,1505635,PA,3324,2875.4,17.4,381.1,0,0,0,67.5
Uruará,1508159,PA,10794,2869.1,91.5,6244,1671,9.7,0,0.2
Nova Mutum,5106224,MT,9546,2831.6,9.8,3338.6,0,0.6,3368.6,6.6
Machadinho d'Oeste,1100130,RO,8589,2766,53.4,5385.3,0,0,380.3,57.4
Nova Mamoré,1100338,RO,10244,2746.9,66.6,6093.1,0,4.6,1356.6,42.8
Bom Jesus do Araguaia,5101852,MT,4282,2687.2,14.3,1216.8,0,0,376.2,1.8
Araguaína,1702109,TO,4019,2675.5,2.4,419.5,0,0.8,900.3,22.9
Eldorado dos Carajás,1502954,PA,2967,2670.8,30.3,296.2,0,0,0,0
Breu Branco,1501782,PA,3950,2662.5,68.4,1024.5,0,2.6,0.9,259.5
Redenção,1506138,PA,3830,2654.8,8.4,469.5,0,0.1,705.6,0
Chupinguaia,1100924,RO,5163,2625.8,18,2207.4,0,0,329.4,0.4
Jaru,1100114,RO,2976,2612.5,2.4,318.6,0,0.1,44.8,0
Ipixuna do Pará,1503457,PA,5245,2610.4,47.3,2591.9,5,2.9,6.8,28
Ji-Paraná,1100122,RO,6955,2602,5.8,4251,0,2,65.6,34.4
Nova Monte Verde,5108956,MT,6512,2577,27.1,3776.8,0,0,150.3,7.9
Itinga do Maranhão,2105427,MA,3612,2550.1,75.1,1060.7,0.1,1,0,0.1
Capitão Poço,1502301,PA,2924,2543.8,7.4,354.7,22.1,3.4,0,0
Santa Terezinha,5107776,MT,6463,2534.2,43,2289.7,0,344.5,1245.9,48.7
São Geraldo do Araguaia,1507458,PA,3283,2533.4,8.2,403.8,0,0,313.9,31.9
Colíder,5103205,MT,3038,2499.9,8.5,532,0,0,2.4,3.7
Tabaporã,5107941,MT,8233,2491.2,65,3495,0,0.7,2239.6,6.5
Cacoal,1100049,RO,3820,2486.6,4.9,1301.1,0,0,26.4,5.9
Castanheira,5102850,MT,3963,2482.8,27.9,1447.2,0,1,3.3,28.7
Novo Mundo,5106265,MT,5801,2444.8,42.9,2801.8,0,0.2,536,18.2
Brasil Novo,1501725,PA,6370,2422.4,18,3208.8,730.5,2.1,0.1,6.1
Guarantã do Norte,5104104,MT,4717,2378.4,39.5,1613.8,0,0,724.6,0.2
Pimenta Bueno,1100189,RO,6284,2355.9,44.6,2872.1,0,0,1050.5,5.5
Tucumã,1508084,PA,2513,2267.9,9.9,237,0,0.4,0,7.7
Acará,1500206,PA,4363,2263.3,48.4,2051.2,6.7,5.5,27.1,9.2
Alta Floresta d'Oeste,1100015,RO,7138,2230.7,26.4,3001.9,166.1,9.4,1706.4,23.5
Paranaíta,5106299,MT,4833,2213.6,42.3,2530,0,1.5,31.6,56.3
Centro Novo do Maranhão,2103174,MA,8366,2207.4,15.8,1628.4,4523.1,4.3,0,2.8
Amarante do Maranhão,2100600,MA,7737,2186.2,60.9,3778.8,81.1,6.1,1684.8,0
Cáceres,5102504,MT,24446,2163.4,14.4,1628.5,28.3,1338.2,18192,1095.6
Tangará da Serra,5107958,MT,11596,2156.7,4,648.2,0,0,8790.1,1
Buritis,1100452,RO,3315,2154.1,20.7,1156,0,0,4.8,0.1
Corumbiara,1100072,RO,3082,2145.2,4.6,839.4,0,0,97.4,0
Bom Jesus das Selvas,2102036,MA,2700,2121.3,55,578.7,0,0,0,0
São Miguel do Guaporé,1100320,RO,8102,2121.2,49,4181,0,0.1,1799.7,0
Costa Marques,1100080,RO,12890,2109.6,119.1,6916.1,376.3,66.2,3378.8,43
Bannach,1501253,PA,2963,2109.1,48.2,791.8,0,0,62.1,0
Tailândia,1507953,PA,4451,2100,73.5,2347.4,1,2.6,0,0
Espigão d'Oeste,1100098,RO,4549,2080.3,10.4,2172.3,0,0,295.9,0.5
Paranatinga,5106307,MT,24185,2070.5,91.9,5441.1,0,5.5,16659.9,8
Curionópolis,1502772,PA,2375,2052.7,5.1,316,0,1.6,4.7,0
Apiacás,5100805,MT,20402,2038,46.5,17053.7,3.2,3.8,1053.7,249.6
Sinop,5107909,MT,3193,2030.6,7.2,1118.4,0,0,29.2,14.8
São Francisco do Guaporé,1101492,RO,4805,2009.4,36.7,1940.8,0,0,854.8,0
Feliz Natal,5103700,MT,11448,1968.9,223.9,8748.1,0,4.1,704.6,22.3
Zé Doca,2114007,MA,2435,1952.8,3.6,113,368.3,0.9,0,0
Terra Nova do Norte,5108055,MT,2303,1943.6,13.1,355.9,0,0,3.5,0
Vera,5108501,MT,2951,1920.4,6,1011.3,0,1.5,17.7,0.1
Anapu,1500859,PA,11909,1911,74.1,8098.9,1715,6,6.8,171.3
Turiaçu,2112407,MA,2601,1910.1,7.7,411.4,164.4,1,48.2,65.9
Boca do Acre,1300706,AM,23013,1898.3,35.5,20922,1.4,1.9,58.1,131.3
Buriticupu,2102325,MA,2567,1883,58.2,676.9,5.4,0.7,0,1
Canarana,5102702,MT,10839,1875.1,5.5,2171.8,0,1.8,6784.1,6.2
Matupá,5105606,MT,5153,1871.3,75.5,3063.2,0,0,218.5,0
Floresta do Araguaia,1503044,PA,3454,1868.9,21.4,364,0,0.2,1172.9,48
Alto Alegre do Pindaré,2100477,MA,1951,1864.5,4.9,33.2,0,0.6,52.7,0
Poxoréo,5107008,MT,6923,1857.9,5,95.5,0,0,4969.6,0
Rondolândia,5107578,MT,12742,1856,18.5,10807.1,0,1.4,52.3,25.2
Medicilândia,1504455,PA,8271,1840.1,27.5,6402.4,24.9,2.7,0,0.9
Campo Novo de Rondônia,1100700,RO,3491,1826,19.7,1389,0,0,276,0
Araguatins,1702208,TO,2640,1796.4,14.8,237.2,0,0.6,540.4,65.4
Nova Lacerda,5106182,MT,4756,1765.1,19.8,1461.6,33.4,0,1495.9,0
São José do Rio Claro,5107305,MT,5060,1755.3,21.7,1898.1,0,0,1403.9,2.7
Candeias do Jamari,1100809,RO,6933,1753.2,49,4798,0,0.2,0,381.6
Cotriguaçu,5103379,MT,9149,1743.4,74.9,7251.2,0,0.1,20.9,133.4
Ouro Preto do Oeste,1100155,RO,1991,1740.4,1.5,232.4,0,0.3,15.9,2
Óbidos,1505106,PA,28043,1739.1,41.5,19654.6,693.4,6.5,4593.4,1356
Arame,2100956,MA,3075,1738.5,32.4,992.1,4.8,1.5,338,0.1
Theobroma,1101609,RO,2219,1736,7.3,482.5,0,0,0,0.5
Canaã dos Carajás,1502152,PA,3157,1732.1,8.7,1319.7,0,0,105.1,0.1
Vitória do Xingu,1508357,PA,2969,1731.6,10.4,642.7,438.7,2.8,0.1,153.1
Bom Jesus do Tocantins,1501576,PA,2824,1721.3,10.6,988.6,0,0.8,71.7,41.6
Vilhena,1100304,RO,11583,1716.3,59.9,8173.7,0,3.9,1687.6,1.5
Carlinda,5102793,MT,2414,1714.7,3.9,666.5,0,0,0,32.8
Bragança,1501709,PA,2108,1713.8,1.2,186.7,114.4,0.5,37.4,55.2
Rurópolis,1506195,PA,7025,1699.8,49.9,5233.6,41.5,0.2,0,49.9
Itacoatiara,1301902,AM,8926,1692.7,27.5,4718.2,18.2,3.4,829.4,1664.1
Almeirim,1500503,PA,72969,1679.9,59.5,56406.9,11071.2,61.5,2712.7,1036.8
Pedro do Rosário,2108256,MA,1770,1671.2,3.7,23.6,4.8,0.4,70,0
Lago da Pedra,2105708,MA,1655,1655,0,0,0,0,0,0
Alto Paraíso,1100403,RO,2681,1647.9,14.8,1015.2,0,0.1,0.7,17.1
Placas,1505650,PA,7174,1646.6,86.1,4919.5,604.2,3.5,0.1,0.1
Itaúba,5104559,MT,4543,1636.9,43,2451.9,0,0,421,33.2
Bandeirantes do Tocantins,1703057,TO,1678,1626.7,0.6,51,0,0,0.3,0
