Municipio,CodIbge,Estado,AreaKm2,Desmatado2002,Incremento20012002,Floresta2002,Nuvem2002,NaoObservado2002,NaoFloresta2002,Hidrografia2002
São Félix do Xingu,1507300,PA,84249,9981.6,1264,69531.2,0,6.5,3790,939.7
Paragominas,1505502,PA,19452,7471.9,149.3,11937.6,0.4,1.4,7,33.7
Marabá,1504208,PA,15127,6399.7,255.1,8603.9,0,1.7,35.9,85.8
Juara,5105101,MT,21430,6061,412.7,13749.8,0,29.3,1463.3,126.6
Santa Luzia,2110005,MA,6193,5480.2,124.9,712.4,0,0.4,0,0
Santana do Araguaia,1506708,PA,11607,5341.5,369.6,5391.2,0,0.3,807.1,66.9
Cumaru do Norte,1502764,PA,17106,4968.2,367.4,10695,0,0.3,1442.5,0
Açailândia,2100055,MA,5844,4933.3,35,909.4,0,1.3,0,0
Santa Maria das Barreiras,1506583,PA,10350,4694.1,247.6,3090.6,0,0,2509.8,55.5
Água Azul do Norte,1500347,PA,7586,4692.1,141.8,2764.8,0,0,129.1,0
Rondon do Pará,1506187,PA,8286,4691.8,467.9,3594.2,0,0,0,0
Porto Velho,1100205,RO,34636,4631.3,411.4,28795.4,0,23.4,433.1,752.8
Monte Alegre,1504802,PA,21701,4466.4,25.7,14194.3,4.8,3.8,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4282,168.2,2734.3,0,19.6,6589.2,72.9
Alta Floresta,5100250,MT,8955,4235.4,132.6,4421.1,0,1.6,261,35.9
Santarém,1506807,PA,22876,4153.5,180.2,14171,0.1,0.4,667.5,3883.5
São José do Xingu,5107354,MT,7467,3984.4,102.1,3120.7,0,4.6,301.9,55.4
Tapurah,5108006,MT,11610,3964.9,601.4,6237.9,0,0,1389.6,17.6
Novo Repartimento,1505064,PA,15433,3918.7,227.8,10345.4,0,0.1,1,1167.8
Querência,5107065,MT,17856,3750.4,406.6,11757.3,0,0.8,2268,79.5
Sorriso,5107925,MT,9350,3691.9,182.1,1541.9,0,0.7,4115.5,0
Juína,5105150,MT,26358,3610.8,234.3,20060.8,0,3,2643.1,40.3
São Félix do Araguaia,5107859,MT,16857,3570,72.2,7038.1,0,0.7,6189.4,58.8
Vila Rica,5108600,MT,7450,3554.2,317.4,3696.6,0,0,188.9,10.3
Itaituba,1503606,PA,62096,3511.7,178.3,57310.3,0,3.6,462.5,807.9
Pontes e Lacerda,5106752,MT,8465,3508.6,72.5,1628,0,3,3325.4,0
Itupiranga,1503705,PA,7899,3396.2,62.3,4384.6,0,1,5.7,111.5
Barra do Bugres,5101704,MT,7244,3383.9,89.5,2592.3,0,0,1264.3,3.5
Altamira,1500602,PA,159701,3355.2,672.2,150886.1,3.4,22.5,3765.5,1668.3
