Municipio,CodIbge,Estado,AreaKm2,Desmatado2003,Incremento20022003,Floresta2003,Nuvem2003,NaoObservado2003,NaoFloresta2003,Hidrografia2003
São Félix do Xingu,1507300,PA,84249,11297.7,1320.1,68215.1,0,6.5,3790,939.7
Paragominas,1505502,PA,19452,7565.5,93.6,11844.4,0,1.4,7,33.7
Marabá,1504208,PA,15127,6864.8,465.9,8138.8,0,1.7,35.9,85.8
Juara,5105101,MT,21430,6372.1,310,13438.7,0,29.3,1463.3,126.6
Santana do Araguaia,1506708,PA,11607,5683.3,342.5,5049.4,0,0.3,807.1,66.9
Santa Luzia,2110005,MA,6193,5505.2,24.9,686.1,1.3,0.4,0,0
Cumaru do Norte,1502764,PA,17106,5315.9,347.8,10347.3,0,0.3,1442.5,0
Porto Velho,1100205,RO,34636,5122.4,492.9,28304.3,0,23.4,433.1,752.8
Açailândia,2100055,MA,5844,4988.1,55.4,854.6,0,1.3,0,0
Santa Maria das Barreiras,1506583,PA,10350,4893.3,199.3,2891.4,0,0,2509.8,55.5
Rondon do Pará,1506187,PA,8286,4749.2,57.2,3536.8,0,0,0,0
Água Azul do Norte,1500347,PA,7586,4745.6,54.2,2711.3,0,0,129.1,0
Monte Alegre,1504802,PA,21701,4511.4,44.7,14140.3,13.8,3.8,1888.2,1143.5
Tapurah,5108006,MT,11610,4478.2,515.5,5724.6,0,0,1389.6,17.6
Vila Bela da Santíssima Trindade,5105507,MT,13698,4432.3,149.5,2584,0,19.6,6589.2,72.9
Novo Repartimento,1505064,PA,15433,4382.5,522,9881.6,0,0.1,1,1167.8
Alta Floresta,5100250,MT,8955,4361.7,126.2,4294.8,0,1.6,261,35.9
Querência,5107065,MT,17856,4256.5,508.2,11251.2,0,0.8,2268,79.5
Santarém,1506807,PA,22876,4233.1,78.4,14087.8,3.7,0.4,667.5,3883.5
São José do Xingu,5107354,MT,7467,4019.6,34.9,3085.5,0,4.6,301.9,55.4
Altamira,1500602,PA,159701,4008.3,653.7,150236.4,0,22.5,3765.5,1668.3
Vila Rica,5108600,MT,7450,3871.7,319,3379.1,0,0,188.9,10.3
Sorriso,5107925,MT,9350,3824.2,131.7,1409.6,0,0.7,4115.5,0
Itaituba,1503606,PA,62096,3768.3,256.8,57053.7,0,3.6,462.5,807.9
Juína,5105150,MT,26358,3757.9,149.1,19913.7,0,3,2643.1,40.3
São Félix do Araguaia,5107859,MT,16857,3729.4,158.4,6878.7,0,0.7,6189.4,58.8
