Municipio,CodIbge,Estado,AreaKm2,Desmatado2001,Incremento20002001,Floresta2001,Nuvem2001,NaoObservado2001,NaoFloresta2001,Hidrografia2001
São Félix do Xingu,1507300,PA,84249,8716.1,1693.3,70796.7,0,6.5,3790,939.7
Paragominas,1505502,PA,19452,7321.1,109,12088.8,0,1.4,7,33.7
Marabá,1504208,PA,15127,6144.3,367.5,8859.3,0,1.7,35.9,85.8
Juara,5105101,MT,21430,5650.1,224.8,14160.7,0,29.3,1463.3,126.6
Santa Luzia,2110005,MA,6193,5355.9,38.5,836.7,0,0.4,0,0
Santana do Araguaia,1506708,PA,11607,4971,355.7,5761.7,0,0.3,807.1,66.9
Açailândia,2100055,MA,5844,4898.4,83.7,944.3,0,1.3,0,0
Cumaru do Norte,1502764,PA,17106,4601.1,438.5,11062.1,0,0.3,1442.5,0
Água Azul do Norte,1500347,PA,7586,4550.8,276.1,2906.1,0,0,129.1,0
Santa Maria das Barreiras,1506583,PA,10350,4446,430.8,3338.7,0,0,2509.8,55.5
Monte Alegre,1504802,PA,21701,4440.1,45.3,14225.4,0,3.8,1888.2,1143.5
Rondon do Pará,1506187,PA,8286,4224.6,67.2,4061.4,0,0,0,0
Porto Velho,1100205,RO,34636,4218.4,331.9,29208.3,0,23.4,433.1,752.8
Vila Bela da Santíssima Trindade,5105507,MT,13698,4113,199.2,2903.3,0,19.6,6589.2,72.9
Alta Floresta,5100250,MT,8955,4102,287.3,4554.5,0,1.6,261,35.9
Santarém,1506807,PA,22876,3971.2,206.6,14353.4,0,0.4,667.5,3883.5
São José do Xingu,5107354,MT,7467,3883.2,33.5,3221.9,0,4.6,301.9,55.4
Novo Repartimento,1505064,PA,15433,3692.6,672,10571.5,0,0.1,1,1167.8
Sorriso,5107925,MT,9350,3508.8,161,1725,0,0.7,4115.5,0
São Félix do Araguaia,5107859,MT,16857,3496.9,104.3,7111.2,0,0.7,6189.4,58.8
Pontes e Lacerda,5106752,MT,8465,3436.3,122.5,1700.3,0,3,3325.4,0
Juína,5105150,MT,26358,3375.6,98.9,20296,0,3,2643.1,40.3
Tapurah,5108006,MT,11610,3362.5,520.9,6840.3,0,0,1389.6,17.6
Querência,5107065,MT,17856,3339.7,206.4,12168,0,0.8,2268,79.5
Itupiranga,1503705,PA,7899,3334.4,150.6,4446.4,0,1,5.7,111.5
Itaituba,1503606,PA,62096,3333.1,124.1,57488.9,0,3.6,462.5,807.9
Barra do Bugres,5101704,MT,7244,3296.5,108.9,2679.7,0,0,1264.3,3.5
Moju,1504703,PA,9131,3250.9,570.4,4533.7,0,1137.8,181.8,26.8
Vila Rica,5108600,MT,7450,3238.1,197.6,4012.7,0,0,188.9,10.3
Viseu,1508308,PA,4943,3226.7,98.7,1599.3,0.1,0.7,35.2,81
Xinguara,1508407,PA,3794,3172.6,25.4,602.5,0,0,0,18.9
Pacajá,1505486,PA,11852,3160.8,1602.4,8691.1,0,0.1,0,0
Rio Maria,1506161,PA,4123,3097,65,887.5,0,0,130.6,7.9
Bom Jardim,2102002,MA,6647,3068.5,735.3,3513.8,0,0.2,57.4,7.1
Goianésia do Pará,1503093,PA,7048,3006,40.6,3560.4,0,0.1,0,481.5
Brasnorte,5101902,MT,16001,2751.9,33.1,9450.5,0,0,3765.4,33.2
Ariquemes,1100023,RO,4480,2742.8,78.6,1647.3,0,0,89.7,0.2
Confresa,5103353,MT,5799,2736.8,267.1,2739.6,0,0,320.5,2.1
Conceição do Araguaia,1502707,PA,5848,2689.6,108.5,1167.9,0,0.3,1867.5,122.7
Altamira,1500602,PA,159701,2682.8,572.8,151561.9,0,22.5,3765.5,1668.3
Araguaína,1702109,TO,4019,2619.2,12.6,475.9,0,0.7,900.3,22.9
Nova Ubiratã,5106240,MT,12690,2602.2,157.7,7290.7,0,0.1,2796.5,0.5
Tomé-Açu,1508001,PA,5168,2579.5,138.5,2435.8,0,152.7,0,0
Redenção,1506138,PA,3830,2566.3,52.9,558,0,0.1,705.6,0
Piçarra,1505635,PA,3324,2566.1,52.1,690.4,0,0,0,67.5
Nova Canaã do Norte,5106216,MT,5975,2562,113.6,2315.2,0,0,1061.2,36.6
Dom Eliseu,1502939,PA,5296,2549,52.7,2745.9,0,1.1,0,0
Barra do Corda,2101608,MA,8054,2544.7,24.2,3003.3,0,1.1,2498.9,6
Jaru,1100114,RO,2976,2509.4,44.8,421.7,0,0.1,44.8,0
Ji-Paraná,1100122,RO,6955,2498.2,29.7,4354.6,0,2.2,65.6,34.4
Ulianópolis,1508126,PA,5115,2469.2,76.2,2645.6,0,0.2,0,0
Rio Branco,1200401,AC,9509,2434.7,115,7074.2,0,0.1,0,0
Comodoro,5103304,MT,21849,2432.9,87.8,9611.3,0,16.2,9785.7,2.9
Colíder,5103205,MT,3038,2414,21.3,617.9,0,0,2.4,3.7
São Geraldo do Araguaia,1507458,PA,3283,2399.7,67.9,537.5,0,0,313.9,31.9
Capitão Poço,1502301,PA,2924,2378,164.7,1,0,545,0,0
Eldorado dos Carajás,1502954,PA,2967,2362.2,123.3,604.8,0,0,0,0
Marcelândia,5105580,MT,12294,2339.5,66.3,9715.9,0,4.1,218.7,15.8
Cacoal,1100049,RO,3820,2331.5,19.5,1456.2,0,0,26.4,5.9
Bom Jesus do Araguaia,5101852,MT,4282,2312.8,111.5,1590,0,1.2,376.2,1.8
Nova Mutum,5106224,MT,9546,2251.2,87.3,3919,0,0.6,3368.6,6.6
Peixoto de Azevedo,5106422,MT,14402,2215.5,101,10935.3,0,2.9,1173,75.3
Breu Branco,1501782,PA,3950,2194.3,96.3,1495.1,0,0.2,0.9,259.5
Chupinguaia,1100924,RO,5163,2175.1,46.7,2658.1,0,0,329.4,0.4
Gaúcha do Norte,5103858,MT,16900,2153.6,106.7,10101.2,0,0,4614.5,30.7
Itinga do Maranhão,2105427,MA,3612,2150.8,79.9,1461.1,0,0,0,0.1
Novo Progresso,1505031,PA,38183,2110,324.3,32525.2,0,11,3462,74.8
Tucumã,1508084,PA,2513,2102.8,128.2,402,0,0.5,0,7.7
Aripuanã,5101407,MT,25181,2082.3,175.7,22757.6,0,4.8,283,53.3
Ipixuna do Pará,1503457,PA,5245,2064.6,180.1,3144.6,0,1,6.8,28
Tangará da Serra,5107958,MT,11596,2031.5,31.7,773.4,0,0,8790.1,1
Corumbiara,1100072,RO,3082,2008.1,12.2,976.5,0,0,97.4,0
Curionópolis,1502772,PA,2375,2002.8,10.1,365.8,0,1.7,4.7,0
Castanheira,5102850,MT,3963,1997.6,34.8,1932.4,0,1,3.3,28.7
Acará,1500206,PA,4363,1944.7,61.4,0,0,2383.9,27.1,9.2
Pimenta Bueno,1100189,RO,6284,1892.3,71.1,3335.7,0,0,1050.5,5.5
Amarante do Maranhão,2100600,MA,7737,1864.5,47.7,4181.4,0,6.3,1684.8,0
Turiaçu,2112407,MA,2601,1852.3,1808.3,633.1,0.2,1.3,48.2,65.9
Zé Doca,2114007,MA,2435,1851.2,1021.3,580.7,2.8,0.3,0,0
Centro Novo do Maranhão,2103174,MA,8366,1850.3,83.9,6508.5,4.4,0,0,2.8
Alto Alegre do Pindaré,2100477,MA,1951,1850.1,201.4,47.8,0,0.4,52.7,0
Espigão d'Oeste,1100098,RO,4549,1849.8,40.5,2402.8,0,0,295.9,0.5
Cáceres,5102504,MT,24446,1843.9,61.6,1983.1,0,1331.4,18192,1095.6
Guarantã do Norte,5104104,MT,4717,1839.4,84.5,2152.8,0,0,724.6,0.2
Alta Floresta d'Oeste,1100015,RO,7138,1827,73.1,3575,0,6.1,1706.4,23.5
Poxoréo,5107008,MT,6923,1826.2,5.4,127.2,0,0,4969.6,0
Santa Terezinha,5107776,MT,6463,1825.2,189.8,3343,0,0.2,1245.9,48.7
Bom Jesus das Selvas,2102036,MA,2700,1816.6,57.9,883.4,0,0,0,0
Nova Monte Verde,5108956,MT,6512,1814.8,124.1,4539,0,0,150.3,7.9
Porto dos Gaúchos,5106802,MT,7016,1721.6,183.8,5222.9,0,0.1,48.5,22.9
Sinop,5107909,MT,3193,1720.6,98.4,1428.4,0,0,29.2,14.8
Machadinho d'Oeste,1100130,RO,8589,1717.8,160.6,6433.5,0,0,380.3,57.4
Araguatins,1702208,TO,2640,1716.2,24,317.3,0,0.7,540.4,65.4
Nova Maringá,5108907,MT,11528,1711,35.9,9117.1,0,0.9,690.8,8.2
Terra Nova do Norte,5108055,MT,2303,1707.3,46.7,592.2,0,0,3.5,0
Ouro Preto do Oeste,1100155,RO,1991,1698.4,17.2,274.4,0,0.3,15.9,2
Bragança,1501709,PA,2108,1677.8,4.6,337.3,0,0.3,37.4,55.2
Canaã dos Carajás,1502152,PA,3157,1662.2,11.4,1389.6,0,0,105.1,0.1
São Miguel do Guaporé,1100320,RO,8102,1657.2,120.3,4645,0,0.1,1799.7,0
Lago da Pedra,2105708,MA,1655,1653.1,0.2,1.9,0,0,0,0
Bannach,1501253,PA,2963,1648.7,95.9,1252.2,0,0,62.1,0
Pedro do Rosário,2108256,MA,1770,1647.2,1634.9,52.8,0,0,70,0
Floresta do Araguaia,1503044,PA,3454,1624.4,9.7,608.5,0,0.2,1172.9,48
Carlinda,5102793,MT,2414,1620.6,62.3,760.6,0,0,0,32.8
Bandeirantes do Tocantins,1703057,TO,1678,1616,3.8,61.7,0,0,0.3,0
Novo Mundo,5106265,MT,5801,1612.4,260.2,3634.1,0,0.3,536,18.2
Arame,2100956,MA,3075,1589.9,10.7,1145.5,0,1.5,338,0.1
Canarana,5102702,MT,10839,1579,42.3,2468,0,1.7,6784.1,6.2
Buriticupu,2102325,MA,2567,1564.1,224.8,1001.3,0,0.6,0,1
Bom Jesus do Tocantins,1501576,PA,2824,1560.1,39.2,1149.8,0,0.8,71.7,41.6
Presidente Médici,1100254,RO,1774,1546.5,14.5,200,0,0,17.6,9.9
Theobroma,1101609,RO,2219,1543.5,72.4,675,0,0,0,0.5
Itacoatiara,1301902,AM,8926,1521.4,75.8,4910.6,0,0.5,829.4,1664.1
Rondolândia,5107578,MT,12742,1505.4,96.2,11157.9,0,1.2,52.3,25.2
Tailândia,1507953,PA,4451,1496.5,51.1,2954.5,0,0,0,0
Almeirim,1500503,PA,72969,1481.5,84.5,67679.4,0,58.6,2712.7,1036.8
Lábrea,1302405,AM,69669,1479.3,185.1,65941.5,0,9.6,1792.2,446.4
Nova Lacerda,5106182,MT,4756,1477.1,48.4,1783,0,0,1495.9,0
Nova Bandeirantes,5106158,MT,9561,1476.8,75,7864.8,0,1.1,91.1,127.2
Paranatinga,5106307,MT,24185,1474.8,41.2,6036.8,0,5.5,16659.9,8
Uruará,1508159,PA,10794,1472.2,463.7,9317.8,0,3.8,0,0.2
Óbidos,1505106,PA,28043,1469.1,17.4,20621.8,0,2.7,4593.4,1356
Nova Mamoré,1100338,RO,10244,1460.5,151.3,7380.7,0,3.4,1356.6,42.8
Arapoema,1702307,TO,1558,1460.1,0.8,75,0,0,0,22.9
Paranaíta,5106299,MT,4833,1438,115.3,3305.5,0,1.6,31.6,56.3
Vitória do Xingu,1508357,PA,2969,1432.1,546.1,1383.7,0,0,0.1,153.1
Tabaporã,5107941,MT,8233,1430.8,177,4555.4,0,0.7,2239.6,6.5
CanaBrava do Norte,5102694,MT,3450,1408.2,92.3,839.2,0,0,1202.4,0.2
Rurópolis,1506195,PA,7025,1403.8,27.4,5571.3,0,0,0,49.9
Baião,1501204,PA,3766,1391.5,67.9,1662.7,0,0,475.3,236.5
Santa Helena,2109809,MA,2336,1372.6,1329.2,224.5,0.3,0,632.1,106.5
Aurora do Pará,1500958,PA,1824,1372.5,196.5,0,0,448.1,0,5.5
Vilhena,1100304,RO,11583,1357.5,38.2,8532.5,0,3.9,1687.6,1.5
Vera,5108501,MT,2951,1347.3,114.9,1584.5,0,1.4,17.7,0.1
São Francisco do Guaporé,1101492,RO,4805,1338.8,213.4,2611.4,0,0,854.8,0
Jacundá,1503804,PA,2014,1336.3,3.9,412.4,0,0,0,265.3
Ribeirão Cascalheira,5107180,MT,11364,1318.9,63.3,2091.8,0,0.2,7937.3,15.8
Garrafão do Norte,1503077,PA,1616,1300.2,45.4,314.9,0.1,0.8,0,0
Buritis,1100452,RO,3315,1286.2,119.4,2023.9,0,0,4.8,0.1
Matupá,5105606,MT,5153,1273.3,90.1,3661.2,0,0,218.5,0
Placas,1505650,PA,7174,1269.2,46,5904.6,0,0,0.1,0.1
Rolim de Moura,1100288,RO,1471,1262.7,8.3,208.3,0,0,0,0
Itaipava do Grajaú,2105351,MA,1558,1256.2,2.3,300.5,0,1.3,0,0
Nova Santa Helena,5106190,MT,2625,1249.8,32.3,1372.9,0,0.1,2.2,0
Barra do Garças,5101803,MT,9147,1243.4,26.1,258.1,0,4.5,7626.4,14.6
Xambioá,1722107,TO,1641,1239.4,11.6,361.9,0,0.1,11,28.6
