Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	16190.8	63188.3
Paragominas	1505502	19452	8412.7	9087
Marabá	1504208	15127	8012.4	6990.5
Porto Velho	1100205	34636	7557.7	24926
Juara	5105101	21430	7520.8	12318.9
Santana do Araguaia	1506708	11607	7001.6	3731.1
Cumaru do Norte	1502764	17106	6953.9	8699.4
Altamira	1500602	159701	6229.4	145034.4
Novo Repartimento	1505064	15433	6203.9	7967.5
Santa Maria das Barreiras	1506583	10350	5718.1	2066.6
Santa Luzia	2110005	6193	5623.2	568.8
Tapurah	5108006	11610	5585.1	4617.7
Rondon do Pará	1506187	8286	5331	2955
Açailândia	2100055	5844	5239.3	603.5
Querência	5107065	17856	5016.8	10490.9
Água Azul do Norte	1500347	7586	4948.7	2496.3
Novo Progresso	1505031	38183	4947.4	29659.1
Alta Floresta	5100250	8955	4890.2	3766.2
Monte Alegre	1504802	21701	4727.3	12053.1
Vila Bela da Santíssima Trindade	5105507	13698	4656.6	2243.5
Pacajá	1505486	11852	4601.4	5705.6
Vila Rica	5108600	7450	4580.3	2634.1
Itaituba	1503606	62096	4554.4	56261.7
Santarém	1506807	22876	4505.3	12767.5
Itupiranga	1503705	7899	4387.3	3393.4
São Félix do Araguaia	5107859	16857	4384.9	6223.2
Juína	5105150	26358	4284.1	19329.3
São José do Xingu	5107354	7467	4282.2	2822.6
Brasnorte	5101902	16001	4269.1	7933.3
Nova Ubiratã	5106240	12690	4165.5	5727.4
Sorriso	5107925	9350	3974.5	1259.3
Moju	1504703	9131	3958.7	4924.1
Aripuanã	5101407	25181	3767.7	20862.4
Pontes e Lacerda	5106752	8465	3716	1418
Confresa	5103353	5799	3680.7	1598.3
Goianésia do Pará	1503093	7048	3640	2923.9
Barra do Bugres	5101704	7244	3583.1	2393.1
Gaúcha do Norte	5103858	16900	3482.8	8772
Bom Jardim	2102002	6647	3475.7	2509.3
Colniza	5103254	28134	3444.9	24307.1
Marcelândia	5105580	12294	3409.3	8646.1
Viseu	1508308	4943	3390.5	1081.4
Xinguara	1508407	3794	3364	411.1
Rio Maria	1506161	4123	3356	628.5
Ulianópolis	1508126	5115	3346.6	1757.6
Dom Eliseu	1502939	5296	3316.1	1978.3
Peixoto de Azevedo	5106422	14402	3269.9	9880.9
Ariquemes	1100023	4480	3163	1227.1
Lábrea	1302405	69669	3106.8	63516.7
Nova Maringá	5108907	11528	3043.4	7783
Conceição do Araguaia	1502707	5848	3029.3	828.3
Barra do Corda	2101608	8054	3019.7	2528.4
Comodoro	5103304	21849	2979.6	9059.6
Nova Canaã do Norte	5106216	5975	2962	1915.2
Nova Bandeirantes	5106158	9561	2960.4	6381.2
Rio Branco	1200401	9509	2944	6564.9
Porto dos Gaúchos	5106802	7016	2918.2	4026.4
Tomé-Açu	1508001	5168	2888	2278
Piçarra	1505635	3324	2875.4	381.1
