Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
Carutapera,2102903,MA,659.2,3.1,156.9,243,0.1,123.8,84
São Luís Gonzaga do Maranhão,2111409,MA,652.9,0,0,327.4,0,1.7,0
Bujaru,1501907,PA,652.5,1.2,128.5,217.1,0.1,11.8,0
Tefé,1304203,AM,634.2,9,20775.5,1886.1,2.4,168.1,720.7
Mirante da Serra,1101302,RO,629.7,0.3,360.7,0,0,215.6,0
Conceição do Lago-Açu,2103554,MA,625.3,0,0,0,0,97.8,114.2
Concórdia do Pará,1502756,PA,606.8,0.3,32.6,54.6,0,0,0
Poção de Pedras,2108900,MA,589.9,0,0,73.6,0,0.2,0
Conquista D'oeste,5103361,MT,583.2,1.3,808.6,0,2,1314.2,0
Diamantino,5103502,MT,583,0.8,1628.4,0,1,5427.6,0
Cururupu,2103703,MA,570.6,0,98.3,186.6,0,6.4,78.1
Abel Figueiredo,1500131,PA,565.5,1.8,51.3,0,0.2,0,0
Rio Preto da Eva,1303569,AM,564.9,4,3983.4,1278.8,1.4,0,10.5
Indiavaí,5104500,MT,563.5,0.2,37.4,0,0.1,0,0
Olho d'Água das Cunhãs,2107407,MA,562,0,0,0,0,0,0
Presidente Sarney,2109270,MA,561.9,0.5,54.5,29.1,0.1,83.8,2.6
Porto Franco,2109007,MA,561.6,0.8,89.6,0,0.3,760.5,15
Planalto da Serra,5106455,MT,554.6,0,44.5,0,0.2,1851.7,0
São Luiz,1400605,RR,550.3,5,901.4,83.2,0,0,2.1
Maracaçumé,2106326,MA,542.1,1.7,87.3,5.6,0,0,0
Bonito,1501600,PA,539.1,1.4,28.2,22.6,0.1,0,0
Breves,1501808,PA,536.8,2.1,4215.5,3710.5,0.8,85.7,1020.7
Santa Isabel do Pará,1506500,PA,531.9,0.3,47.6,135.3,0.1,4.1,0
Junco do Maranhão,2105658,MA,531.3,0.8,10.9,0.3,0,0,0.5
Gonçalves Dias,2104404,MA,530.5,10,247.1,74.1,36.3,0,0
Lucas do Rio Verde,5105259,MT,525.4,4.4,645.2,0,0,2492.4,0
Satubinha,2111722,MA,523.5,0,0,0,0,85.6,4.3
Borba,1300805,AM,523.3,9.2,33502.1,7990.2,13.7,586.7,1837
Careiro da Várzea,1301159,AM,515,20,518.6,270.9,0.7,706.9,628.9
Capanema,1502202,PA,514.4,0.6,55.4,19.2,0.1,28.9,0
São João da Baliza,1400506,RR,512.4,7.5,3652.5,134.6,0.1,0.4,5
Riachinho,1718550,TO,503.7,0.3,76.3,0,0.6,34.4,0
Viana,2112803,MA,501.3,0.3,79.9,14.8,0.1,382,195.9
Bacuri,2101301,MA,501,0,128.3,71.3,0,5.5,87.9
Ourém,1505403,PA,495,0.2,25.2,44.3,0.1,1.4,0
Joselândia,2105609,MA,495,1.7,100.6,82,0.3,0.2,13.9
Manaquiri,1302553,AM,493.5,2.1,3115.5,0.3,0.1,105.9,287.7
Mocajuba,1504604,PA,493,2,137.2,0,0,168.7,75.1
Brejo de Areia,2102150,MA,487.5,0,0,0,0,0,0
Penalva,2108306,MA,485.9,0.1,19.3,11.1,0.1,154.4,123.2
São Felipe d'Oeste,1101484,RO,484.7,0,61.3,0,0,0,0
Ribamar Fiquene,2109551,MA,480.1,0.9,71.8,0,0.1,339.8,15.2
Iranduba,1301852,AM,477.6,6.1,1306,7.5,0.4,133.4,303.1
Nhamundá,1303007,AM,476.6,13.5,11688.5,517.7,1.7,342.7,1107.8
Igarapé-Miri,1503309,PA,474.7,18.1,1005.5,0,0,203.5,319.3
Bequimão,2101905,MA,469.3,0,39.1,36,0,195.4,39.2
Tracuateua,1508035,PA,467.7,0.1,159.6,20.7,0,188.4,19.6
Rodrigues Alves,1200427,AC,462.7,11.5,2713.7,259.1,54.8,0.7,0
São Mateus do Maranhão,2111508,MA,460.9,0,0,217.3,0,106,8.9
Bom Lugar,2102077,MA,452.1,0,0,0,0,0,0
Esperantinópolis,2104008,MA,449.7,0,0,36.5,0,0.5,0
Mãe do Rio,1504059,PA,449.5,0,2.5,18.9,0.1,0,0
São Pedro da Água Branca,2111532,MA,449.1,0.1,41.2,0,0.9,208.3,26.5
Teixeirópolis,1101559,RO,443.9,0,23.1,0,0,0,0
Codó,2103307,MA,443,0,0,955.8,3035.2,0.1,0
Palmeirândia,2107605,MA,441.4,0.1,6.7,5.4,0,58.4,22.1
Presidente Médici,2109239,MA,439.5,0,0.5,0.7,0.3,0,0
Silves,1304005,AM,427.9,2.4,1957.4,643.8,0.3,129.4,599.2
Primavera de Rondônia,1101476,RO,423.1,0,94.6,0,0,92.1,0.2
Alto Paraguai,5100508,MT,423,0,124.7,0,0,1506.3,0
Matões do Norte,2106631,MA,420.1,2.5,20.2,347.4,0.2,4.4,0.7
São Francisco do Pará,1507409,PA,418.9,0.9,44.4,15.5,0,1.2,0
Rio Branco,5107206,MT,417.9,0,10,0,0.4,72.7,0
Santa Maria do Pará,1506609,PA,415.2,0.3,6.6,38.1,0.1,0,0
Anajatuba,2100709,MA,415.1,1,35.6,17.6,0.1,551.9,111.7
Nova Olinda do Norte,1303106,AM,415,2.5,2657,1838.5,0.9,278.5,434.1
São João do Carú,2111029,MA,410.3,0.2,139.5,72.1,0.1,0,0
Arari,2101004,MA,408.4,0.5,37.3,7.4,0.2,584.6,78.1
Santa Inês,2109908,MA,407.8,0,0,0,0,0,4
Campestre do Maranhão,2102556,MA,407.2,0.3,46.7,0,0.1,154.3,9.7
Fortaleza do Tabocão,1708254,TO,401.1,0,1.6,0,0,219.3,0
Augustinópolis,1702554,TO,400.6,0.5,15.7,0,0.1,0.6,0
Marapanim,1504406,PA,400.3,1,222.9,100.1,0.1,41.5,31.1
Macapá,1600303,AP,398.5,9.3,1228.1,713.5,0.6,3128.5,950.8
Itapecuru Mirim,2105401,MA,385.3,19.2,505.4,5.7,0.6,282.5,2.5
Chapada dos Guimarães,5103007,MT,382.5,0.3,135.2,0,1.7,5485.7,198.9
Porto Estrela,5106851,MT,380.3,0.1,230,0,0,1455.7,0
Igarapé Grande,2105203,MA,379.9,0,0.1,0,0,0,0
Eirunepé,1301407,AM,377.4,6,15550.6,180.4,5.9,174.7,182
Bonfim,1400159,RR,376.7,7.6,1261.6,317.7,9.5,6131.2,44.3
Lago Verde,2105906,MA,376.4,0,0,0,0,84.9,5.1
Porto Esperidião,5106828,MT,375.7,5.8,210.7,0,8.9,5238.7,0
Nova Timboteua,1505007,PA,374.5,0.2,46.7,50.8,0,20,0
Guimarães,2104909,MA,369,0,55.9,41.7,0,8,134.4
São Luís,2111300,MA,367.9,1.3,162.6,17.3,0.5,0,291.7
Arenápolis,5101308,MT,367.6,0.1,45.4,0,0,0,0
Barão de Melgaço,5101605,MT,364.9,3.6,2212.2,0,11.1,8482.3,109.5
São Bento,2110500,MA,360.1,0,0.9,0.3,0,100.2,0.5
Itaguatins,1710706,TO,359.5,0.5,63.4,0,0.1,310.2,11.8
Peixe-Boi,1505601,PA,358.8,0.5,45.8,32.3,0.1,17,0
Amapá do Maranhão,2100550,MA,355,7.2,84.9,6.1,0,0,0
Porto Grande,1600535,AP,350.4,1.7,2072.8,1305.9,18.5,636.9,20.5
São Bento do Tocantins,1720101,TO,349.1,0.4,77.3,0,1.4,685.2,0
Mâncio Lima,1200336,AC,349.1,3.9,4223.6,225.9,148.4,0,0
Terra Santa,1507979,PA,341.2,4.3,769.6,9.1,0.3,389.1,390.7
São Miguel do Tocantins,1720200,TO,339.9,1.3,42.8,0,0,4.2,13.1
Presidente Kennedy,1718402,TO,339.5,0,102.4,0,0.6,331.5,0
Urucará,1304302,AM,335.5,4.2,23049.6,3558.1,1.1,423.3,646.4
Nobres,5105903,MT,334.2,0.7,250.8,0,0,3272,0
Godofredo Viana,2104305,MA,332.1,2.7,116.8,138.3,0,25,35.8
Inhangapi,1503408,PA,326.5,0,29,112.7,0.1,6.7,0
Boa Vista do Gurupi,2101970,MA,325.6,5.9,74.2,0.3,0,0,4.9
Maracanã,1504307,PA,324,2.1,239.7,163.3,0.2,33.2,25.6
Barcarena,1501303,PA,324,1.8,542.9,159.8,0.1,1.9,286.3
Santo Antônio do Tauá,1507003,PA,322.9,0.1,176.3,34,0.1,6.7,0
Curuá,1502855,PA,322.8,8.1,364.2,0.3,0.4,272.5,469.8
Miranorte,1713304,TO,318.9,0,9.8,0,0,708.3,0
Alvarães,1300029,AM,318.4,6.8,5543.8,1.2,0.3,37.5,127.8
Curvelândia,5103437,MT,314.4,0,108.6,0,0.2,323.9,1.9
Wanderlândia,1722081,TO,313.5,0.4,144.3,0,0.1,924.1,0
Luís Domingues,2106201,MA,313.1,2.3,58.9,70.5,0,4.2,21.3
Lago do Junco,2105807,MA,312.9,0,0,0,0,0,0
Tartarugalzinho,1600709,AP,309,11.5,1708.1,1272.8,14.5,3223.7,187.9
Governador Eugênio Barros,2104602,MA,308,7.1,232.9,0,288.1,0,0
Carmolândia,1703883,TO,306.8,0,33,0,0.2,0,0
São Pedro da Cipa,5107404,MT,306.3,0,7,0,0,30.7,0
Tapauá,1304104,AM,306.1,5.6,86730.7,256.9,2.6,2162,1500.7
Amajari,1400027,RR,306.1,8.6,7922.2,14720.8,473.5,5285.4,80
Tocantinópolis,1721208,TO,302.5,0.2,131.6,0,0.1,624.3,25.5
Serra Nova Dourada,5107883,MT,300.6,0.6,229.9,0,0,950.5,0
São Vicente Ferrer,2111706,MA,297.6,0,0,0,0,97.2,0
Sítio Novo do Tocantins,1720804,TO,295.3,0.2,29.7,0,0,0,0
Glória d'Oeste,5103957,MT,292.1,0,46.1,0,0,509.8,0
Carauari,1301001,AM,291.7,1.3,23284.8,2476.3,8.4,12.5,398.3
Santa Rita,2110203,MA,289.8,10,309.2,2,0.2,177,21.8
Matinha,2106508,MA,289.7,0.1,2.1,0.4,0,49.7,72.1
Santo Antônio dos Lopes,2110302,MA,289.5,0,0,492.3,0,0,0
Davinópolis,2103752,MA,287.1,0.6,52.9,0,0,0,0
Pirapemas,2108801,MA,285.4,0,0,411,0.5,0,0
Governador Edison Lobão,2104552,MA,283.7,0.2,20.1,0,0,300.9,13.3
Nazaré,1714302,TO,282.4,0.3,32.1,0,0,83.5,0
São Raimundo do Doca Bezerra,2111631,MA,280.5,0.2,3.2,0,0.3,0,0
Fortuna,2104206,MA,273.3,4.3,150,0,276.4,5.3,0
Reserva do Cabaçal,5107156,MT,273.2,0.6,97.8,0,0,0,0
São José dos Basílios,2111250,MA,272.2,1.2,44.6,36.2,0.3,0,11.7
Caseara,1703909,TO,269.6,0.6,319.2,0,0.1,1077.8,31.3
Curuçá,1502905,PA,269.1,1.6,280,76.6,0.2,0.9,47.2
Campo Novo do Parecis,5102637,MT,262.8,0,1570.2,0,0,7634,0
Codajás,1301308,AM,260.9,1.1,10509.2,6002,1.3,729.1,1437.5
Central do Maranhão,2103125,MA,257.3,0,5.8,5.5,0,99,2.4
Tufilândia,2112274,MA,255.9,0,0.1,0,0,24,0
Lajeado Novo,2105989,MA,255,0.4,19.1,0,0,780.9,0
São João do Paraíso,2111052,MA,253.3,0.5,19.8,0,1,1794.9,0
Cantanhede,2102705,MA,251.8,1.2,30.7,515.2,0,11.3,0
Miranda do Norte,2106755,MA,249.5,3.2,60.6,32.2,0.1,13.3,0.3
Belém,1501402,PA,247.5,0.9,747.2,69.1,0.1,7.1,0
Peri Mirim,2108405,MA,245.4,0,20.7,15.8,0,126.2,0.9
Manoel Urbano,1200344,AC,245.3,6.6,9441.1,0,11.7,0,42.9
Uarini,1304260,AM,243.2,3.7,9638.4,31.6,0.6,100.7,434.5
Vitória do Mearim,2112902,MA,239.4,0.9,17.7,3.9,0.3,464.4,10.3
Caapiranga,1300839,AM,238.8,5.3,5394,3307.4,0.9,181.8,428.1
Lagoa da Confusão,1711902,TO,237.6,2.8,2002.6,0,0.3,8226.8,110.7
Atalaia do Norte,1300201,AM,235.5,2.5,76034.9,3036.9,317.8,16.7,402.2
Jutaí,1302306,AM,235.4,5.1,62995.9,7271.4,10.5,97.1,1160.7
Peritoró,2108454,MA,235.2,0,0,522.7,0,0,0
Faro,1503002,PA,234.7,5.3,10935.2,350.8,0.4,90.4,182.5
Cocalinho,5103106,MT,234.5,2.2,1735.8,0,23.4,14458.4,109.9
Capinzal do Norte,2102754,MA,231.8,0,0,403.7,0,0,0
Couto de Magalhães,1706001,TO,231.5,1.3,93.1,0,0,1227.7,38.7
São Caetano de Odivelas,1507102,PA,230.9,0.5,327.5,49.5,0.1,8.7,135.3
São Roberto,2111672,MA,230.3,0,0,0,0,0,0
Pedra Branca do Amaparí,1600154,AP,230.1,1.7,6165.1,3064.2,32.3,0,4.3
Marechal Thaumaturgo,1200351,AC,227.1,23.1,7826.2,0,91,0.2,0.5
Ipixuna,1301803,AM,226.7,4.9,13831,0.3,1,65.8,70.2
Bela Vista do Maranhão,2101772,MA,225.5,0,0,0,0,30.4,0
Dom Pedro,2103802,MA,225,3.8,45.9,102.9,0.2,0,0
Praia Norte,1718303,TO,223.5,0.9,28.4,0,0.1,29.4,8.6
Pauini,1303502,AM,221.5,5.7,44046.4,38.5,2.6,23.8,261.2
Brasilândia do Tocantins,1703602,TO,218.8,0,5,0,0.2,419,0
Esperantina,1707405,TO,218.1,0.8,11.6,0,0.1,224.6,49.6
Vigia,1508209,PA,216.9,0.2,273.5,29.2,0,16.4,0
Buriti do Tocantins,1703800,TO,215.2,0,0.6,0,0,29,5.2
Igarapé do Meio,2105153,MA,214.8,0.1,5.9,1.4,0.2,174.2,0.5
Santa Isabel do Rio Negro,1303601,AM,213.6,6,35257.2,27010.8,69.5,948.9,632
Juarina,1711803,TO,210.3,0,13.4,0,0,237.1,21.2
Beruri,1300631,AM,210.1,4.4,15708.2,33.9,2.5,885.1,572.2
Apicum-Açu,2100832,MA,206.4,0,210.6,70.4,0,9.1,158.5
Graça Aranha,2104701,MA,205.2,4.4,68.5,0,0.3,0,0
Boa Vista do Ramos,1300680,AM,202.9,2.7,1125,0.3,0.3,853,406.5
São Sebastião do Uatumã,1303957,AM,202.4,4.8,8608.9,1270.8,0.6,65.6,626.7
Vitória do Jari,1600808,AP,202.3,6.1,1448.6,319.7,0.1,382.8,129.5
Cedral,2103109,MA,201.3,0,18.6,35.2,0,0.2,7.7
São João de Pirabas,1507474,PA,199.9,1.3,272,140.5,0.2,13,77.4
Barcelos,1300409,AM,199.9,3.5,59880.9,42490.6,53.5,17040.1,4501
Nova Nazaré,5106174,MT,199.8,0.3,1059.7,0,0.8,2769.4,9.3
Curralinho,1502806,PA,199.2,8.5,2632.3,179.5,0.1,241.4,373.5
Colinas,2103505,MA,199.2,5.2,139.7,4.7,254.6,1466.8,0
Bagre,1501105,PA,199.1,17.4,3503.7,382.4,0.1,63.9,252.8
Oiapoque,1600501,AP,199,4.9,8913.4,9422.7,196.3,3897.4,14.2
Novo Santo Antônio,5106315,MT,198.6,2.3,483.5,0,0.2,3597.3,95.4
Campo Verde,5102678,MT,198,0.2,52.2,0,0.9,4542.9,0
Angico,1701051,TO,198,0.3,30.8,0,0.7,211.5,0
Lago dos Rodrigues,2105948,MA,197,0,0,0,0,0,0
Anamã,1300086,AM,196.4,2.6,694.6,1327.2,0.3,34.9,220.6
Alto Alegre do Maranhão,2100436,MA,193.4,0,0,231.4,0,0,0
Bernardo do Mearim,2101939,MA,192.5,0,0,71.9,0,0,0
Benjamin Constant,1300607,AM,188.1,0.5,8725.6,14.1,16.7,0,206.5
Formoso do Araguaia,1708205,TO,186.3,1.3,844.5,0,4.1,12254.3,169.8
Laranjal do Jari,1600279,AP,185,5.5,24123.5,6189.1,266.1,143.9,63.4
Sapezal,5107875,MT,184.3,0.1,2774.8,80,5.6,10594.9,0.4
Cutias,1600212,AP,183.8,4.5,233.5,181.7,0.1,1453,65.9
Olinda Nova do Maranhão,2107456,MA,183.7,0,0.7,0,0,1.4,14.2
Governador Archer,2104503,MA,183.5,2,35.7,222.6,0.2,0,0
Calçoene,1600204,AP,180.3,12.2,6682.7,5367.1,0.9,1958,95
Pedreiras,2108207,MA,180,0,0,111.4,0,0,0
Primavera,1506104,PA,177.2,0.3,51,23.3,0.1,9.4,0
São Paulo de Olivença,1303908,AM,176.1,1,17020.3,2595.7,2,85.3,590.6
Porto Walter,1200393,AC,176,13.8,6280.2,0.2,1.6,3,0
Anajás,1500701,PA,175.5,11.9,4775.6,1642.3,0.4,209.7,135.5
Cuiabá,5103403,MT,174.4,0,172.2,0,0.4,3192,0
Terra Alta,1507961,PA,170.5,0.4,30.5,7.9,0.1,0,0
Pindaré-Mirim,2108504,MA,168.7,0,0,0,0.1,51.5,20.3
Guiratinga,5104203,MT,167.6,0,0.2,0,1.6,5191.6,0
Governador Luiz Rocha,2104628,MA,167.5,8.8,152.4,2.6,28.6,25.9,0
Magalhães Barata,1504109,PA,162.2,0.5,74.6,74.7,0.1,2.3,12.1
Santa Bárbara do Pará,1506351,PA,160.1,0.4,100,18.9,0,0,0
Itiquira,5104609,MT,159.8,0,225.2,0,83.3,8162.7,7
Tabatinga,1304062,AM,156.6,1.1,3107.1,0.1,30,1.2,51
Luzinópolis,1712454,TO,156,0.1,21.5,0,0,103.5,0
Melgaço,1504505,PA,155.9,0.9,1928.1,3999.7,0.4,166.9,531
Trizidela do Vale,2112233,MA,153.5,0,0,72.3,0,0,0
Juruá,1302207,AM,148.6,3,18197.9,614.6,10.2,142.3,734.4
São João Batista,2111003,MA,148.1,0,52.3,4,0,358.2,136.4
Santarém Novo,1506906,PA,147.8,0.2,49.7,31.7,0,1.8,0
Jatobá,2105450,MA,146.5,3.1,102.7,0.1,0.1,143.6,0
Porto Rico do Maranhão,2109056,MA,146.3,0,22.4,51.3,0,0.4,6.6
Assis Brasil,1200054,AC,144.1,1.7,2809.5,0,32.4,0,0
Maurilândia do Tocantins,1712801,TO,143.6,0.1,62.3,0,0,523.2,11.9
Marianópolis do Tocantins,1712504,TO,142.9,2.9,196.7,0,0,1755.2,1.2
Axixá do Tocantins,1702901,TO,139.7,0.1,11.3,0,0,0,0
São Sebastião do Tocantins,1720309,TO,139.2,0,0,0,0,133.3,16.8
Ferreira Gomes,1600238,AP,136.9,2.5,2274.1,921.6,6,1644.6,64.8
Itapiranga,1302009,AM,134.8,1.1,2877.6,906.8,0.2,156.2,169.4
Santo Antônio do Içá,1303700,AM,134.5,0.9,10589.2,1404.2,72.6,90.8,454.7
Montes Altos,2107001,MA,132.1,0.8,52.5,0,0,1163.4,0
Jordão,1200328,AC,131.1,6.9,5547.3,0,13.1,0.1,0.4
Benevides,1501501,PA,125,0,34.7,29.3,0,0,0
Itamarati,1301951,AM,124.2,3.3,25485.1,143.2,1.7,3.3,290.5
São Sebastião da Boa Vista,1507706,PA,122.7,2.2,1220.9,0.2,0,175.2,117
Lima Campos,2106003,MA,120.8,0,0,205.2,0,0,0
Senador Alexandre Costa,2111748,MA,119.6,5.4,80,0,232.4,0,0
Novo Airão,1303205,AM,116.4,2.6,20344.3,16091.4,1.3,211.2,1347.4
Maraã,1302801,AM,114.2,5.7,12255.8,2390.9,5.4,605.1,1849.6
Amaturá,1300060,AM,112.6,1,4206.3,152.6,0.3,222.2,210
Salvaterra,1506302,PA,111.1,5.1,484.1,1.3,0.1,432.8,18.6
Nossa Senhora do Livramento,5106109,MT,109.6,0.2,80.1,0,3.8,5004.2,2.3
Mazagão,1600402,AP,109.2,1.2,6287.8,5146.2,3.3,1348.4,246.1
Cachoeirinha,1703826,TO,108.3,0,37.5,0,0,208.2,0
Amapá,1600105,AP,108.2,1.7,1981,1205.7,1.3,4910.3,978.5
Aguiarnópolis,1700301,TO,106.9,0.3,22.2,0,0.2,102.3,5.4
Carrasco Bonito,1703891,TO,106.8,0,0,0,0.2,82.7,5.8
Campos de Júlio,5102686,MT,106.4,0.2,469,0,4.5,6252.1,0
São João da Ponta,1507466,PA,105.6,2.3,65.5,23.3,0,1.6,0
Gurupá,1503101,PA,104.8,6.3,3807.8,2826.3,0.4,516.2,1294.5
Goianorte,1708304,TO,102.5,2,50.6,0,0.1,1652.8,0
Muaná,1504901,PA,101.4,1.8,1825,0.1,0,1361.8,487.7
São José de Ribamar,2111201,MA,100.5,0.2,80.5,2.4,34.1,0,172.5
Fonte Boa,1301605,AM,99.9,2.1,10346.7,977.9,2.3,154.1,812.1
Chaves,1502509,PA,96.1,2.7,2310.3,1714.3,0.3,5238.2,3754.8
Urucurituba,1304401,AM,94.9,1,129.1,0.4,0.1,1689.8,1000.7
Itaubal,1600253,AP,92.5,3.8,299.6,110.5,0.2,779.5,422.7
Bacabeira,2101251,MA,91,6.3,192.2,17.2,0.2,227.5,95.9
Colares,1502608,PA,90.6,0.1,479.8,25.6,0.1,15.9,0
Rosário,2109601,MA,88.9,3.5,510.3,0.7,0.2,0,93.9
Ananindeua,1500800,PA,87.5,0.1,75.8,21.7,0,0,0
Cajapió,2102408,MA,85,0,247.7,81.8,0,116,386.5
Sampaio,1718808,TO,83.7,0,9.8,0,0.4,98,8.1
Presidente Juscelino,2109205,MA,82.6,5.5,318,0,2.7,44.5,2.2
Tonantins,1304237,AM,82.4,0.9,6150.3,1.6,1.9,67.4,314.4
Quatipuru,1506112,PA,80.9,0.4,133.2,34.7,0,24.9,52.3
Anori,1300102,AM,79.3,0.5,3351.3,1346.5,0.6,639.2,433.1
Pracuúba,1600550,AP,78.4,3.9,2465.4,1179,2.4,1172,68.8
Poconé,5106505,MT,78,0.2,999.3,113.4,42.1,15558.9,489.3
Santa Rosa do Purus,1200435,AC,76.6,3.3,6077,5.7,30.6,0.1,35
Palmeirante,1715705,TO,76.4,0,11.1,0,0,2343.8,15.7
Pacaraima,1400456,RR,76,6.7,1319.9,282.2,125.8,6263.4,15.7
Santana,1600600,AP,74.1,0.1,254.9,266.3,0.1,937.6,45
Paço do Lumiar,2107506,MA,73.8,0.3,41,10.3,0,0,9.9
Cachoeira do Arari,1502004,PA,72.8,0.8,517.4,0,0,2266,257.8
Santa Terezinha do Tocantins,1720002,TO,72.7,0,24.3,0,0.5,173.5,0
Serra do Navio,1600055,AP,71.5,0.2,4409.1,3270.6,0.1,0,9.7
Marituba,1504422,PA,65.6,0,10,27.4,0,0,0
Rosário Oeste,5107701,MT,65.3,0,23.5,0,0,8707.1,9.1
Dois Irmãos do Tocantins,1707207,TO,65.2,0.3,81.3,0,1.8,3623.7,0
Limoeiro do Ajuru,1504000,PA,61.7,2.7,875.7,0.1,0,51.5,506
Cajari,2102507,MA,59.6,0.3,20.1,8.3,0,352.5,111.5
Sítio Novo,2111805,MA,58.5,0.1,15.2,0,4.7,3061.6,0
Palmeiras do Tocantins,1713809,TO,58.1,0.1,22,0,0.1,669.4,1.4
Japurá,1302108,AM,56.4,3.6,38816.2,17054.8,103,2.6,1528
Santa Filomena do Maranhão,2109759,MA,55.8,0.5,13.8,0,0,339.4,0
Araguacema,1701903,TO,53.1,3.2,419.5,0,0,2237.9,76.5
Ponta de Pedras,1505700,PA,52.1,0.1,614.3,0.3,0,2250.6,462.7
Presidente Vargas,2109304,MA,51.1,2.6,97.4,0,311,15.3,0.2
Buriti Bravo,2102309,MA,50.4,1.5,47.4,0.9,1506.3,0,0
Darcinópolis,1706506,TO,47.1,0,7.1,0,0,1497.6,6.2
Uiramutã,1400704,RR,45.6,11.8,1417,705.9,53.4,5886.3,7.8
Vargem Grande,2112704,MA,43.9,2.7,53.9,92.7,1797.5,0,0
Recursolândia,1718501,TO,37.1,0,89.8,0,1.4,2100.7,0
Água Boa,5100201,MT,37,0,121.7,0,3.9,7323.4,0
Fernando Falcão,2104081,MA,36.3,1.1,82.4,0,0.1,3427.2,0
Soure,1507904,PA,34.7,0.8,647.9,37.5,0.8,2506.3,300.8
Dueré,1707306,TO,34.6,0.1,248.2,0,0,3147.2,4
Pium,1717503,TO,34.3,0.1,1667.1,0,0.9,8084.1,249.6
Formosa da Serra Negra,2104099,MA,32.6,0.4,25.5,0,0,3917.9,0
Luciára,5105309,MT,31.2,0.7,397.4,0,0,3679.6,43.8
Axixá,2101103,MA,29.9,0.9,117.4,0,0.1,0,57.6
Cachoeira Grande,2102374,MA,29.1,0.9,70.1,0,548.8,64.5,3.5
Salinópolis,1506203,PA,29,2.1,114.3,48.8,0,10.3,16.6
Afuá,1500305,PA,28.4,1.8,2862.2,2464.6,0.1,286,2740.7
São José do Povo,5107297,MT,25.9,0,0,0,0,417.9,0
Santa Rita do Tocantins,1718899,TO,21.2,0,17.3,0,0.1,3249.3,0.1
Boa Vista,1400100,RR,21,0.5,204,24.1,0,5384.2,92.7
Pedro Afonso,1716505,TO,20.7,0.2,32.1,0,0.1,1951.4,16.7
Pedra Preta,5106372,MT,20.6,0.1,1,0,0,4169.4,0
Normandia,1400407,RR,19.6,0,427.5,76,7.1,6450.8,22
Morros,2107100,MA,19.3,0.4,53.1,0,1660.3,10.1,2.2
Divinópolis do Tocantins,1707108,TO,18.3,0,58.2,0,0.1,2278.4,0
Timbiras,2112100,MA,17.9,0,0,67.1,1424.5,0,0
Rio dos Bois,1718709,TO,17.5,0,0,0,0,828.8,3.7
Bacurituba,2101350,MA,16.4,0,23.5,7,0,359.3,278.8
Icatu,2105104,MA,15.1,1.3,93.2,0,1277.2,0.3,82.2
Raposa,2109452,MA,14.2,0,36.9,4.6,0.1,0.8,8.4
Estreito,2104057,MA,10.3,0.1,6.1,0,0,2700.5,19.1
Abreulândia,1700251,TO,7.4,0,46.1,0,0.3,1845.2,0
Bom Jesus do Tocantins,1703305,TO,6.6,0,9.8,0,0,1315,7.6
Sandolândia,1718840,TO,4.2,0,73.8,0,1.6,3445,14.4
Babaçulândia,1703008,TO,3.2,0,0,0,0,1778.6,15.7
Tupiratins,1721307,TO,2.2,0,6.7,0,0,881.3,9.8
Santo Antônio do Leste,5107792,MT,2,0,66.9,0,0,3528.1,0
Chapada de Areia,1704600,TO,1.6,0,9.4,0,0.5,648.5,0
Novo São Joaquim,5106281,MT,1,0,119,0,0.5,4900.9,1.6
São João do Soter,2111078,MA,0.9,0,0,0,1461.5,0,0
Monte Santo do Tocantins,1713700,TO,0.7,0,11.4,0,0.6,1083.3,0
Primavera do Leste,5107040,MT,0.7,0,15.6,0,0,5457.7,0
Campinápolis,5102603,MT,0.5,0,8.5,0,3.7,5954.3,0
Campos Lindos,1703842,TO,0.1,0,0.7,0,1.1,3264.1,0
Araguaçu,1702000,TO,0,0,4.5,0,80.7,5093.2,2.6
Santa Cruz do Arari,1506401,PA,0,0,4.2,0.1,0,1044.7,29
Aliança do Tocantins,1700350,TO,0,0,0,0,0,1587.1,0
Almas,1700400,TO,0,0,0,0,0,4049,0
Alvorada,1700707,TO,0,0,0,0,0,1216.6,0
Aparecida do Rio Negro,1701101,TO,0,0,0,0,0,1166.6,0
Arraias,1702406,TO,0,0,0,0,16.6,5811.3,0
Aurora do Tocantins,1702703,TO,0,0,0,0,2.6,753.8,0
Barra do Ouro,1703073,TO,0,0,0,0,0,1092.9,19.6
Barrolândia,1703107,TO,0,0,0,0,0.2,714.1,0
Brejinho de Nazaré,1703701,TO,0,0,0,0,0,1728.9,2.3
Cariri do Tocantins,1703867,TO,0,0,0,0,0,1129.9,0
Centenário,1704105,TO,0,0,0,0,0,1968.5,0
Chapada da Natividade,1705102,TO,0,0,0,0,0,1679.7,0
Combinado,1705557,TO,0,0,0,0,17.2,193.9,0
Conceição do Tocantins,1705607,TO,0,0,0,0,0,2520.4,0
Cristalândia,1706100,TO,0,0,0,0,1.7,1853,0
Acorizal,5100102,MT,0,0,0,0,0.9,841.9,0
Crixás do Tocantins,1706258,TO,0,0,0,0,0,988.3,0
Dianópolis,1707009,TO,0,0,0,0,4.8,3235.5,0
