Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
Capitão Poço,1502301,PA,2557.4,1.6,227.2,136.3,1.1,2,0
Santa Terezinha,5107776,MT,2546.7,4.6,2623.4,0,0.1,1244.1,48.7
São Geraldo do Araguaia,1507458,PA,2540.5,3.6,396.1,0,0.4,314.1,31.9
Brasil Novo,1501725,PA,2531,50.2,3307.7,524,1.1,0.1,6.1
Tabaporã,5107941,MT,2509.8,9.6,3483.1,0,0.7,2232.9,6.5
Castanheira,5102850,MT,2508,8.8,1388.2,33.7,1,3.4,28.7
Colíder,5103205,MT,2503,0.7,529,0,0,2.3,3.7
Cacoal,1100049,RO,2491.2,1.7,1294.3,2.7,0,25.9,5.9
Novo Mundo,5106265,MT,2470.7,13.2,2778.3,0,0.3,533.5,18.2
Guarantã do Norte,5104104,MT,2392.8,4.9,1599.9,0,0,724.1,0.2
Pimenta Bueno,1100189,RO,2374.7,4.3,2853.6,0,0,1050.2,5.5
Acará,1500206,PA,2306.5,30.9,1560.5,443.1,0.3,43.4,9.2
Centro Novo do Maranhão,2103174,MA,2298.5,18.9,4957.2,1106.5,1,0,2.8
Tucumã,1508084,PA,2273.1,2.6,231.2,0,1,0,7.7
Amarante do Maranhão,2100600,MA,2259.7,13.3,3777.2,7.6,6.7,1685.8,0
Alta Floresta d'Oeste,1100015,RO,2237.5,1.8,3159.4,1.7,8.8,1707.1,23.5
Paranaíta,5106299,MT,2231.1,9.7,2400.6,112,1.6,31.4,56.3
Buritis,1100452,RO,2205.2,34.3,1099.2,5.7,0,4.8,0.1
Cáceres,5102504,MT,2167.3,1.1,1659.4,0,38.8,19484.9,1095.6
Tailândia,1507953,PA,2166.1,49.6,1903.8,380,1.1,0,0
Bom Jesus das Selvas,2102036,MA,2163.5,21.2,490.9,45.2,0.4,0,0
Tangará da Serra,5107958,MT,2159.9,1.7,646.8,0,0,8788.3,1
Costa Marques,1100080,RO,2156.1,23.5,7243.9,16,58.4,3372.6,43
