Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	13787.4	65725.4
Paragominas	1505502	19452	8164.6	11244.8
Marabá	1504208	15127	7239	7627.9
Juara	5105101	21430	7089.5	12721.3
Porto Velho	1100205	34636	6545.9	26880.8
Santana do Araguaia	1506708	11607	6452.2	4280.5
Cumaru do Norte	1502764	17106	6300.2	9363
Santa Luzia	2110005	6193	5537.2	608.2
Santa Maria das Barreiras	1506583	10350	5411.1	2373.6
Tapurah	5108006	11610	5342.5	4860.3
Altamira	1500602	159701	5230.4	148753.4
Rondon do Pará	1506187	8286	5148.5	3137.5
Açailândia	2100055	5844	5106.4	642.2
Novo Repartimento	1505064	15433	5015.7	9220.5
Água Azul do Norte	1500347	7586	4864.8	2592.1
Querência	5107065	17856	4820.7	10686.5
Alta Floresta	5100250	8955	4716.4	3940.1
Monte Alegre	1504802	21701	4606.5	13967
Vila Bela da Santíssima Trindade	5105507	13698	4578.4	2437.9
Santarém	1506807	22876	4352.7	13771
Vila Rica	5108600	7450	4334.8	2916
Itaituba	1503606	62096	4156.8	56650.9
Juína	5105150	26358	4145.7	19525.9
São José do Xingu	5107354	7467	4131.1	2974
Novo Progresso	1505031	38183	4108.8	30525.8
São Félix do Araguaia	5107859	16857	4081.6	6526.5
Brasnorte	5101902	16001	4035.3	8167.1
Sorriso	5107925	9350	3963.9	1269.9
Pacajá	1505486	11852	3959.3	7600.2
Nova Ubiratã	5106240	12690	3930.6	5962.3
Itupiranga	1503705	7899	3790.4	3976.3
Pontes e Lacerda	5106752	8465	3656.1	1480.5
Moju	1504703	9131	3653.6	3953.9
Aripuanã	5101407	25181	3551.8	21288.1
Barra do Bugres	5101704	7244	3534.9	2441.3
Goianésia do Pará	1503093	7048	3493.4	3069.8
Confresa	5103353	5799	3480.2	1996.2
Bom Jardim	2102002	6647	3347.4	3232.1
Viseu	1508308	4943	3342.3	1476.8
Xinguara	1508407	3794	3329.1	446
Rio Maria	1506161	4123	3300	684.5
Gaúcha do Norte	5103858	16900	3156.5	9098.3
Ariquemes	1100023	4480	3105.4	1284.7
Dom Eliseu	1502939	5296	3098.9	2195
Ulianópolis	1508126	5115	3092.7	2015.6
Marcelândia	5105580	12294	3089.7	8965.7
Peixoto de Azevedo	5106422	14402	3023.7	10127.1
Nova Maringá	5108907	11528	2966.7	7861.4
Conceição do Araguaia	1502707	5848	2958	899.5
Nova Canaã do Norte	5106216	5975	2876.2	2001
Comodoro	5103304	21849	2875.8	9168.4
Rio Branco	1200401	9509	2856.2	6652.7
Colniza	5103254	28134	2847.5	24878
Porto dos Gaúchos	5106802	7016	2844.1	4100.4
Piçarra	1505635	3324	2832.6	423.9
Tomé-Açu	1508001	5168	2804.8	2210.4
Barra do Corda	2101608	8054	2792.3	2754.8
Nova Mutum	5106224	9546	2779	3391.2
Lábrea	1302405	69669	2685.9	64734.9
Araguaína	1702109	4019	2668.6	426.5
Bom Jesus do Araguaia	5101852	4282	2663.3	1239.5
Redenção	1506138	3830	2639.2	485.1
Eldorado dos Carajás	1502954	2967	2606.5	360.5
Jaru	1100114	2976	2601.7	329.4
Ji-Paraná	1100122	6955	2588.2	4264.6
Chupinguaia	1100924	5163	2586.3	2246.9
Nova Bandeirantes	5106158	9561	2565.9	6775.7
Uruará	1508159	10794	2531	7614.6
Machadinho d'Oeste	1100130	8589	2517.7	5633.6
São Geraldo do Araguaia	1507458	3283	2509	428.2
Ipixuna do Pará	1503457	5245	2508.4	2688.2
Capitão Poço	1502301	2924	2488.2	0
Breu Branco	1501782	3950	2487.4	1184.6
Colíder	5103205	3038	2484.4	547.5
Nova Monte Verde	5108956	6512	2469.6	3884.2
Cacoal	1100049	3820	2466.9	1320.8
Nova Mamoré	1100338	10244	2460.3	6380.9
Itinga do Maranhão	2105427	3612	2428.4	1183.1
Castanheira	5102850	3963	2407.9	1522.1
Santa Terezinha	5107776	6463	2400.8	2767.4
Tabaporã	5107941	8233	2337.8	3648.4
Novo Mundo	5106265	5801	2315.1	2931.4
Brasil Novo	1501725	6370	2276.4	3932.7
Pimenta Bueno	1100189	6284	2247.4	2980.6
Tucumã	1508084	2513	2234.4	270.4
Guarantã do Norte	5104104	4717	2210.6	1781.6
Alta Floresta d'Oeste	1100015	7138	2166.6	3235.4
Tangará da Serra	5107958	11596	2143.5	661.4
Acará	1500206	4363	2141.4	0
Centro Novo do Maranhão	2103174	8366	2139.8	6222.1
Corumbiara	1100072	3082	2134.1	850.5
Cáceres	5102504	24446	2106.7	1720.3
Amarante do Maranhão	2100600	7737	2082.6	3942.2
Paranaíta	5106299	4833	2055.4	2688.1
Espigão d'Oeste	1100098	4549	2050.6	2202
Bom Jesus das Selvas	2102036	2700	2041.4	658.6
Curionópolis	1502772	2375	2037.9	330.7
São Miguel do Guaporé	1100320	8102	2033.4	4268.8
Sinop	5107909	3193	2012.2	1136.8
Bannach	1501253	2963	1975.6	925.2
Paranatinga	5106307	24185	1961.2	5550.4
Buritis	1100452	3315	1952.9	1357.2
