Municipio,CodIbge,Estado,AreaKm2,Desmatado2007,Incremento20062007,Floresta2007,Nuvem2007,NaoObservado2007,NaoFloresta2007,Hidrografia2007
São Félix do Xingu,1507300,PA,84249,15426.9,877.6,63090.8,995,6.6,3790,939.7
Paragominas,1505502,PA,19452,8346.5,88.8,10637.2,422.6,5,7,33.7
Marabá,1504208,PA,15127,7661.7,166.3,6692.7,649.2,1.7,35.9,85.8
Juara,5105101,MT,21430,7399.9,109.9,12439.8,0,0.4,1463.3,126.6
Porto Velho,1100205,RO,34636,7343.3,431.7,26052.1,33,21.7,433.1,752.8
Santana do Araguaia,1506708,PA,11607,6810.8,220.8,3921.9,0,0.3,807.1,66.9
Cumaru do Norte,1502764,PA,17106,6767.7,292,8684.3,39.5,172,1442.5,0
Altamira,1500602,PA,159701,5887.2,370.3,147749.6,605.2,25.2,3765.5,1668.3
Novo Repartimento,1505064,PA,15433,5762.6,361.8,7729.9,771.5,0.2,1,1167.8
Santa Maria das Barreiras,1506583,PA,10350,5611.5,120.8,2128.3,17.5,27.4,2509.8,55.5
Santa Luzia,2110005,MA,6193,5572.8,27.1,619.8,0,0.4,0,0
Tapurah,5108006,MT,11610,5439.7,48.4,4763.1,0,0,1389.6,17.6
Rondon do Pará,1506187,PA,8286,5276.5,85.7,3004.7,4.8,0,0,0
Açailândia,2100055,MA,5844,5183.3,34.2,627.3,32.2,1.2,0,0
Querência,5107065,MT,17856,4945.3,39.9,10562.4,0,0.8,2268,79.5
Água Azul do Norte,1500347,PA,7586,4921.9,34.9,2534.7,0.3,0,129.1,0
Alta Floresta,5100250,MT,8955,4874.5,61.4,3781.9,0,1.7,261,35.9
Novo Progresso,1505031,PA,38183,4710.2,348.6,29673,251.9,11.1,3462,74.8
Monte Alegre,1504802,PA,21701,4667.2,26.7,11326.9,2669.1,6.1,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4619.1,18.6,2394.4,0,22.4,6589.2,72.9
Vila Rica,5108600,MT,7450,4501.7,101.5,2749.1,0,0,188.9,10.3
Santarém,1506807,PA,22876,4448.6,38.7,12458.4,1406.2,11.8,667.5,3883.5
Itaituba,1503606,PA,62096,4383.6,121.3,54853.6,1584.1,4.3,462.5,807.9
Pacajá,1505486,PA,11852,4340.7,168.3,5074,2429.3,8,0,0
Juína,5105150,MT,26358,4230,44.8,19441.5,0,3.1,2643.1,40.3
São José do Xingu,5107354,MT,7467,4187.1,25.5,2917.7,0,4.9,301.9,55.4
São Félix do Araguaia,5107859,MT,16857,4175.1,41.5,6433,0,0.7,6189.4,58.8
Itupiranga,1503705,PA,7899,4159.2,131.3,2655,966.5,1.1,5.7,111.5
Brasnorte,5101902,MT,16001,4151.4,50.8,8051,0,0,3765.4,33.2
Nova Ubiratã,5106240,MT,12690,4023.9,19.8,5869,0,0.1,2796.5,0.5
Sorriso,5107925,MT,9350,3971.6,2.5,1262.2,0,0.7,4115.5,0
Moju,1504703,PA,9131,3842.3,78.5,2542.1,1392.5,1145.5,181.8,26.8
Aripuanã,5101407,MT,25181,3686.8,83.3,21153.1,0,4.8,283,53.3
