Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	16636.1	60987.3
Paragominas	1505502	19452	8533.5	10696.2
Marabá	1504208	15127	8123.7	6734.9
Porto Velho	1100205	34636	7664.1	25645.4
Juara	5105101	21430	7551.4	12136.6
Santana do Araguaia	1506708	11607	7028.9	3679.3
Cumaru do Norte	1502764	17106	6990.8	8673.5
Altamira	1500602	159701	6621.4	138915.1
Novo Repartimento	1505064	15433	6449.6	7372.9
Santa Maria das Barreiras	1506583	10350	5743.7	2046.5
Santa Luzia	2110005	6193	5642.3	548
Tapurah	5108006	11610	5614.4	4206.6
Rondon do Pará	1506187	8286	5361.7	2920.8
Açailândia	2100055	5844	5264	547
Novo Progresso	1505031	38183	5263.8	28780.3
Querência	5107065	17856	5024.2	10482.3
Água Azul do Norte	1500347	7586	4960.6	2496.9
Alta Floresta	5100250	8955	4897.3	3757.7
Monte Alegre	1504802	21701	4751.8	12996.5
Itaituba	1503606	62096	4703	55358.3
Pacajá	1505486	11852	4702.5	3819.2
Vila Bela da Santíssima Trindade	5105507	13698	4681.2	2325.4
Vila Rica	5108600	7450	4587.9	2664.4
Santarém	1506807	22876	4554.2	12009.6
Itupiranga	1503705	7899	4476.6	3235.9
São Félix do Araguaia	5107859	16857	4402.4	6196.7
Juína	5105150	26358	4304.9	19313.8
São José do Xingu	5107354	7467	4287.8	2791.9
Brasnorte	5101902	16001	4284.7	7915.4
Nova Ubiratã	5106240	12690	4196.3	5698.4
Moju	1504703	9131	4026.1	4852.8
Sorriso	5107925	9350	3976	1225.6
Aripuanã	5101407	25181	3809.8	21027.1
Pontes e Lacerda	5106752	8465	3726.4	1404.1
Confresa	5103353	5799	3688.2	1786.8
Goianésia do Pará	1503093	7048	3666.3	2836.9
Barra do Bugres	5101704	7244	3596.4	2379
Colniza	5103254	28134	3520.8	24237.5
Bom Jardim	2102002	6647	3501.1	2081.7
Gaúcha do Norte	5103858	16900	3491.7	8768.4
Viseu	1508308	4943	3426.9	923.2
Marcelândia	5105580	12294	3412.9	8617.8
Ulianópolis	1508126	5115	3390.8	1535
Xinguara	1508407	3794	3368.5	406.6
Rio Maria	1506161	4123	3362.8	623.2
Dom Eliseu	1502939	5296	3357.2	1807.7
Peixoto de Azevedo	5106422	14402	3294.6	9762.4
Ariquemes	1100023	4480	3171.8	1219
Lábrea	1302405	69669	3151.9	64086.4
Barra do Corda	2101608	8054	3076.6	2473.8
Nova Maringá	5108907	11528	3054.7	7675.7
Conceição do Araguaia	1502707	5848	3036.6	810.4
Nova Bandeirantes	5106158	9561	3013.1	6324.6
