Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	12380.5	67132.3
Paragominas	1505502	19452	7831	11578.9
Marabá	1504208	15127	7110.9	7892.7
Juara	5105101	21430	6688	13122.8
Santana do Araguaia	1506708	11607	5968.1	4764.6
Porto Velho	1100205	34636	5884.3	27542.4
Cumaru do Norte	1502764	17106	5719.9	9943.3
Santa Luzia	2110005	6193	5532.8	650.7
Santa Maria das Barreiras	1506583	10350	5129	2655.7
Açailândia	2100055	5844	5051.5	789
Tapurah	5108006	11610	5021.8	5181
Rondon do Pará	1506187	8286	4967.7	3318.3
Novo Repartimento	1505064	15433	4819	9445.1
Água Azul do Norte	1500347	7586	4779.1	2677.8
Altamira	1500602	159701	4686.9	149495.5
Querência	5107065	17856	4675	10832.7
Alta Floresta	5100250	8955	4592.3	4064.2
Monte Alegre	1504802	21701	4539	14117.3
Vila Bela da Santíssima Trindade	5105507	13698	4506	2510.3
Santarém	1506807	22876	4317	13931.5
Vila Rica	5108600	7450	4079.1	3171.7
São José do Xingu	5107354	7467	4062.7	3042.4
Itaituba	1503606	62096	4045.5	56776.5
Juína	5105150	26358	3969.9	19701.7
São Félix do Araguaia	5107859	16857	3918.9	6689.2
Sorriso	5107925	9350	3918.6	1315.2
Novo Progresso	1505031	38183	3879.8	30755.4
Brasnorte	5101902	16001	3794.8	8407.6
Itupiranga	1503705	7899	3768.8	4012
Pacajá	1505486	11852	3680.7	8171.2
Nova Ubiratã	5106240	12690	3675.8	6217.1
Pontes e Lacerda	5106752	8465	3611.1	1525.5
Moju	1504703	9131	3572.9	4209.3
Barra do Bugres	5101704	7244	3504.6	2471.6
Goianésia do Pará	1503093	7048	3428.2	3138.2
Confresa	5103353	5799	3338.7	2137.7
Viseu	1508308	4943	3312.5	1505.2
Bom Jardim	2102002	6647	3271.3	3310.7
Xinguara	1508407	3794	3257.3	517.8
Aripuanã	5101407	25181	3219.3	21620.6
Rio Maria	1506161	4123	3218	766.5
Ariquemes	1100023	4480	3020.6	1369.5
Gaúcha do Norte	5103858	16900	2988.5	9266.3
Ulianópolis	1508126	5115	2986.8	2128
Dom Eliseu	1502939	5296	2948.9	2346
Marcelândia	5105580	12294	2943.8	9111.6
Conceição do Araguaia	1502707	5848	2877.5	980
Nova Canaã do Norte	5106216	5975	2803.7	2073.5
Peixoto de Azevedo	5106422	14402	2778	10372.8
Comodoro	5103304	21849	2776.9	9267.3
Rio Branco	1200401	9509	2760.4	6748.5
Barra do Corda	2101608	8054	2752.6	2795.4
Tomé-Açu	1508001	5168	2741.6	2273.7
Piçarra	1505635	3324	2715.2	541.3
Nova Mutum	5106224	9546	2702.7	3467.5
Araguaína	1702109	4019	2640.8	454.3
Redenção	1506138	3830	2623.5	500.8
Porto dos Gaúchos	5106802	7016	2612.3	4332.2
Jaru	1100114	2976	2587.3	343.8
Nova Maringá	5108907	11528	2581.2	8246.9
Bom Jesus do Araguaia	5101852	4282	2580.4	1322.4
Ji-Paraná	1100122	6955	2575	4277.8
Eldorado dos Carajás	1502954	2967	2535.2	431.8
Chupinguaia	1100924	5163	2500.3	2332.9
São Geraldo do Araguaia	1507458	3283	2485.8	451.4
Lábrea	1302405	69669	2479.7	64941.1
Colíder	5103205	3038	2469.6	562.3
Capitão Poço	1502301	2924	2467.5	0
Breu Branco	1501782	3950	2440.6	1248.7
Cacoal	1100049	3820	2427.8	1359.9
Ipixuna do Pará	1503457	5245	2424.3	2784.9
Uruará	1508159	10794	2414.5	8371.8
Nova Monte Verde	5108956	6512	2361.8	3992
Itinga do Maranhão	2105427	3612	2355.3	1256.6
Colniza	5103254	28134	2329.6	25427
Castanheira	5102850	3963	2319.3	1610.7
Machadinho d'Oeste	1100130	8589	2274.8	5876.5
Nova Bandeirantes	5106158	9561	2272.6	7069
Santa Terezinha	5107776	6463	2268.8	2899.4
Tucumã	1508084	2513	2214.5	290.3
Novo Mundo	5106265	5801	2181.4	3065.1
Guarantã do Norte	5104104	4717	2157.1	1835.1
Nova Mamoré	1100338	10244	2149.8	6691.4
Tangará da Serra	5107958	11596	2143.3	661.6
Pimenta Bueno	1100189	6284	2141	3087
Tabaporã	5107941	8233	2135	3851.2
Brasil Novo	1501725	6370	2128.8	4190.1
Corumbiara	1100072	3082	2095.1	889.5
Acará	1500206	4363	2087.3	0
Alta Floresta d'Oeste	1100015	7138	2085.4	3316.6
Cáceres	5102504	24446	2040.8	1786.2
Curionópolis	1502772	2375	2034	334.6
Centro Novo do Maranhão	2103174	8366	2027.7	6335.3
Bom Jesus das Selvas	2102036	2700	1990.7	709.3
Espigão d'Oeste	1100098	4549	1982.8	2269.8
Sinop	5107909	3193	1981.5	1167.5
Amarante do Maranhão	2100600	7737	1977	4060.7
São Miguel do Guaporé	1100320	8102	1960.8	4341.4
Zé Doca	2114007	2435	1904.1	526.3
Paranaíta	5106299	4833	1902.2	2841.3
Turiaçu	2112407	2601	1887.3	559
Terra Nova do Norte	5108055	2303	1869.9	429.6
Bannach	1501253	2963	1867	1033.9
Alto Alegre do Pindaré	2100477	1951	1856.3	41.6
Poxoréo	5107008	6923	1844.7	108.7
Paranatinga	5106307	24185	1844.2	5667.4
Vera	5108501	2951	1837.6	1094.2
Canarana	5102702	10839	1812.2	2234.8
Tailândia	1507953	4451	1800	2651
Buritis	1100452	3315	1778	1532.1
Buriticupu	2102325	2567	1773.7	791.7
Araguatins	1702208	2640	1759.2	274.3
São Francisco do Guaporé	1101492	4805	1756.8	2193.4
Rondolândia	5107578	12742	1739.4	10923.9
Ouro Preto do Oeste	1100155	1991	1731	241.8
Apiacás	5100805	20402	1719.4	17375.4
Canaã dos Carajás	1502152	3157	1704.8	1347
Bragança	1501709	2108	1702.7	307.2
Boca do Acre	1300706	23013	1702.6	21119.1
Costa Marques	1100080	12890	1693.9	7724.1
Floresta do Araguaia	1503044	3454	1689.2	543.7
Carlinda	5102793	2414	1685.5	695.7
Theobroma	1101609	2219	1683.3	535.2
Pedro do Rosário	2108256	1770	1661.7	34.8
Bom Jesus do Tocantins	1501576	2824	1659.8	1050.1
Arame	2100956	3075	1655.5	1077.9
Lago da Pedra	2105708	1655	1655	0
Nova Lacerda	5106182	4756	1654.3	1605.8
Itacoatiara	1301902	8926	1631	4801
Vitória do Xingu	1508357	2969	1624.7	1189.8
Bandeirantes do Tocantins	1703057	1678	1623.4	54.3
Matupá	5105606	5153	1623.2	3311.3
Medicilândia	1504455	8271	1621.1	6623.2
Óbidos	1505106	28043	1598.7	20487
Presidente Médici	1100254	1774	1588.5	158
São José do Rio Claro	5107305	5060	1571.6	2081.8
Vilhena	1100304	11583	1560.6	8329.4
Campo Novo de Rondônia	1100700	3491	1543.9	1671.1
Almeirim	1500503	72969	1542.4	67379.2
Rurópolis	1506195	7025	1533.4	5440.7
Feliz Natal	5103700	11448	1510.3	9206.7
Ribeirão Cascalheira	5107180	11364	1496.8	1913.9
Anapu	1500859	11909	1485	10245.9
CanaBrava do Norte	5102694	3450	1481.2	766.2
Itaúba	5104559	4543	1475.7	2613.1
Baião	1501204	3766	1470.6	1574.7
Arapoema	1702307	1558	1460.6	74.5
Cláudia	5103056	3819	1443.4	2367.1
Aurora do Pará	1500958	1824	1434.8	0
Alto Paraíso	1100403	2681	1424.8	1238.3
Nova Santa Helena	5106190	2625	1413.5	1209.2
Placas	1505650	7174	1398.9	5774.9
Jacundá	1503804	2014	1395.3	353.4
Candeias do Jamari	1100809	6933	1387	5164.2
Santa Helena	2109809	2336	1383.7	194.5
Plácido de Castro	1200385	2099	1379.1	716.6
Cacaulândia	1100601	1986	1364.8	580.1
Garrafão do Norte	1503077	1616	1351.4	263.8
Sena Madureira	1200500	26182	1340	24823.3
Nova Esperança do Piriá	1504950	2830	1334.5	1495
Oriximiná	1505304	107778	1328.3	100901
Guajará-Mirim	1100106	25257	1321.6	19897.9
Alvorada d'Oeste	1100346	3060	1318.8	919.8
Itaipava do Grajaú	2105351	1558	1317	239.7
Brasiléia	1200104	4484	1312.1	3160.6
Rolim de Moura	1100288	1471	1297.6	173.4
Santa Carmem	5107248	3921	1282.4	2638.6
Mucajaí	1400308	12878	1273.7	11367.6
Xambioá	1722107	1641	1273.5	327.8
Parauapebas	1505536	7019	1269.5	5663.3
Governador Jorge Teixeira	1101005	5128	1261.2	3675.7
Barra do Garças	5101803	9147	1257.3	244.2
Porto Acre	1200807	3071	1253.5	1814.7
São Domingos do Capim	1507201	1687	1252	0
Cidelândia	2103257	1473	1230.6	213.3
Apuí	1300144	54481	1227.7	52405.5
Santa Fé do Araguaia	1718865	1682	1227.2	398.7
Cantá	1400175	7714	1227.1	5517.6
Alenquer	1500404	22275	1223.6	17978.4
Araputanga	5101258	1608	1223.1	349.6
Manaus	1302603	11474	1220.3	8702.3
Monte Negro	1101401	1956	1219.7	691.9
São Domingos do Araguaia	1507151	1396	1218.7	177.3
Maués	1302900	40079	1218.3	36692.7
Santa Cruz do Xingu	5107743	5625	1213.3	2725.3
Cotriguaçu	5103379	9149	1210.1	7784.5
Santa Luzia do Pará	1506559	1361	1209.6	124.4
Manicoré	1302702	48687	1207.7	42489.6
Senador Guiomard	1200450	1887	1207	680
Bacabal	2101202	1707	1199.2	0
Bujari	1200138	3572	1189.5	2382
Pimenteiras do Oeste	1101468	6067	1181.4	2399.1
São José dos Quatro Marcos	5107107	1284	1173.1	73.1
Governador Newton Bello	2104651	1177	1168.2	8.7
Alto Alegre dos Parecis	1100379	3993	1168.1	1889.1
Colorado do Oeste	1100064	1459	1166.3	239.5
São Gabriel da Cachoeira	1303809	112501	1162.1	108370.1
Nova Brasilândia	5106208	3269	1156.1	202.3
Irituia	1503507	1387	1148.5	0
Ananás	1701002	1596	1147.9	202.6
Nova Olinda do Maranhão	2107357	2487	1147.1	1334.7
Ourilândia do Norte	1505437	13840	1146.7	9523.6
Sapucaia	1507755	1302	1145.5	156.5
Turilândia	2112456	1529	1133.8	170.8
Denise	5103452	1304	1132.7	166.2
Salto do Céu	5107750	1316	1120.4	163.4
Serrano do Maranhão	2111789	1222	1101.7	82
Cachoeira do Piriá	1501956	2439	1100.9	1329.6
Tarauacá	1200609	16278	1100.3	15170.1
Autazes	1300300	7634	1099.9	5056.7
Juruti	1503903	8307	1099.6	5370
Tuntum	2112308	3619	1099.6	542.2
Portel	1505809	25425	1099.4	23052.6
Jacareacanga	1503754	53409	1095.4	46375.6
Imperatriz	2105302	1376	1094.8	104
Nova Ipixuna	1504976	1605	1088.5	297.2
Vitorino Freire	2113009	1130	1087.6	0
Cametá	1502103	3090	1086.5	880.3
Xapuri	1200708	5416	1083.3	4331.8
Vale do Anari	1101757	3166	1070.9	2064.7
Careiro	1301100	6126	1069.6	4648.9
Alto Boa Vista	5100359	2242	1057.3	607.1
Cujubim	1100940	3901	1053.8	2844.7
Pau d'Arco	1716307	1304	1036.6	150.7
Feijó	1200302	25248	1035.4	24148.7
João Lisboa	2105500	1134	1027.8	105.4
Guaraí	1709302	2279	1007.7	185.5
Governador Nunes Freire	2104677	1047	1004.7	42
Seringueiras	1101500	2280	1004.4	1108.6
Nova Olímpia	5106232	1570	999.8	253.7
Juruena	5105176	3200	999.6	2010.8
Jauru	5105002	1221	997.2	109.7
Santo Antônio do Leverger	5107800	12270	996.7	1151.4
Aveiro	1501006	17094	989.2	15352.1
Rio Crespo	1100262	1744	988.3	732.5
Parecis	1101450	2567	985.4	1099.2
Rorainópolis	1400472	33850	974.8	24638.1
Brejo Grande do Araguaia	1501758	1191	974.4	160.5
Coroatá	2103604	2298	965.6	0.5
Vila Nova dos Martírios	2112852	1197	945.7	106.3
Santa Luzia d'Oeste	1100296	1207	943.9	263.1
Muricilândia	1713957	1194	941.9	226.4
Cabixi	1100031	1322	940.7	364.9
Paulo Ramos	2108108	937	937.8	0
Parintins	1303403	5961	931.4	1614.2
Grajaú	2104800	7480	925.3	1802.6
Lambari d'Oeste	5105234	1338	916.2	247.7
Juscimeira	5105200	2206	914	46.9
Mirassol d'Oeste	5105622	1077	912.6	130.2
Monção	2106904	1359	909.2	129.7
Nortelândia	5106000	1353	906.7	295.7
Nova Guarita	5108808	1089	905.4	183
Alcântara	2100204	1502	905.1	177.2
Santo Afonso	5107263	1172	905	262.3
Aragominas	1701309	1179	901.2	250.9
Nova Marilândia	5108857	1943	893.4	480
Pau d'Arco	1505551	1675	892.9	367.9
Cândido Mendes	2102606	1748	892.8	649.5
Bernardo Sayão	1703206	930	889.8	27.1
