Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	8716.1	70796.7
Paragominas	1505502	19452	7321.1	12088.8
Marabá	1504208	15127	6144.3	8859.3
Juara	5105101	21430	5650.1	14160.7
Santa Luzia	2110005	6193	5355.9	836.7
Santana do Araguaia	1506708	11607	4971	5761.7
Açailândia	2100055	5844	4898.4	944.3
Cumaru do Norte	1502764	17106	4601.1	11062.1
Água Azul do Norte	1500347	7586	4550.8	2906.1
Santa Maria das Barreiras	1506583	10350	4446	3338.7
Monte Alegre	1504802	21701	4440.1	14225.4
Rondon do Pará	1506187	8286	4224.6	4061.4
Porto Velho	1100205	34636	4218.4	29208.3
Vila Bela da Santíssima Trindade	5105507	13698	4113	2903.3
Alta Floresta	5100250	8955	4102	4554.5
Santarém	1506807	22876	3971.2	14353.4
São José do Xingu	5107354	7467	3883.2	3221.9
Novo Repartimento	1505064	15433	3692.6	10571.5
Sorriso	5107925	9350	3508.8	1725
São Félix do Araguaia	5107859	16857	3496.9	7111.2
Pontes e Lacerda	5106752	8465	3436.3	1700.3
Juína	5105150	26358	3375.6	20296
Tapurah	5108006	11610	3362.5	6840.3
Querência	5107065	17856	3339.7	12168
Itupiranga	1503705	7899	3334.4	4446.4
Itaituba	1503606	62096	3333.1	57488.9
Barra do Bugres	5101704	7244	3296.5	2679.7
Moju	1504703	9131	3250.9	4533.7
Vila Rica	5108600	7450	3238.1	4012.7
Viseu	1508308	4943	3226.7	1599.3
Xinguara	1508407	3794	3172.6	602.5
Pacajá	1505486	11852	3160.8	8691.1
Rio Maria	1506161	4123	3097	887.5
Bom Jardim	2102002	6647	3068.5	3513.8
Goianésia do Pará	1503093	7048	3006	3560.4
Brasnorte	5101902	16001	2751.9	9450.5
Ariquemes	1100023	4480	2742.8	1647.3
Confresa	5103353	5799	2736.8	2739.6
Conceição do Araguaia	1502707	5848	2689.6	1167.9
Altamira	1500602	159701	2682.8	151561.9
Araguaína	1702109	4019	2619.2	475.9
Nova Ubiratã	5106240	12690	2602.2	7290.7
Tomé-Açu	1508001	5168	2579.5	2435.8
Redenção	1506138	3830	2566.3	558
Piçarra	1505635	3324	2566.1	690.4
Nova Canaã do Norte	5106216	5975	2562	2315.2
Dom Eliseu	1502939	5296	2549	2745.9
Barra do Corda	2101608	8054	2544.7	3003.3
Jaru	1100114	2976	2509.4	421.7
Ji-Paraná	1100122	6955	2498.2	4354.6
Ulianópolis	1508126	5115	2469.2	2645.6
Rio Branco	1200401	9509	2434.7	7074.2
Comodoro	5103304	21849	2432.9	9611.3
Colíder	5103205	3038	2414	617.9
São Geraldo do Araguaia	1507458	3283	2399.7	537.5
Capitão Poço	1502301	2924	2378	1
Eldorado dos Carajás	1502954	2967	2362.2	604.8
Marcelândia	5105580	12294	2339.5	9715.9
Cacoal	1100049	3820	2331.5	1456.2
Bom Jesus do Araguaia	5101852	4282	2312.8	1590
Nova Mutum	5106224	9546	2251.2	3919
Peixoto de Azevedo	5106422	14402	2215.5	10935.3
Breu Branco	1501782	3950	2194.3	1495.1
Chupinguaia	1100924	5163	2175.1	2658.1
Gaúcha do Norte	5103858	16900	2153.6	10101.2
Itinga do Maranhão	2105427	3612	2150.8	1461.1
Novo Progresso	1505031	38183	2110	32525.2
Tucumã	1508084	2513	2102.8	402
Aripuanã	5101407	25181	2082.3	22757.6
Ipixuna do Pará	1503457	5245	2064.6	3144.6
Tangará da Serra	5107958	11596	2031.5	773.4
Corumbiara	1100072	3082	2008.1	976.5
Curionópolis	1502772	2375	2002.8	365.8
Castanheira	5102850	3963	1997.6	1932.4
Acará	1500206	4363	1944.7	0
Pimenta Bueno	1100189	6284	1892.3	3335.7
Amarante do Maranhão	2100600	7737	1864.5	4181.4
Turiaçu	2112407	2601	1852.3	633.1
Zé Doca	2114007	2435	1851.2	580.7
Centro Novo do Maranhão	2103174	8366	1850.3	6508.5
Alto Alegre do Pindaré	2100477	1951	1850.1	47.8
Espigão d'Oeste	1100098	4549	1849.8	2402.8
Cáceres	5102504	24446	1843.9	1983.1
Guarantã do Norte	5104104	4717	1839.4	2152.8
Alta Floresta d'Oeste	1100015	7138	1827	3575
Poxoréo	5107008	6923	1826.2	127.2
Santa Terezinha	5107776	6463	1825.2	3343
Bom Jesus das Selvas	2102036	2700	1816.6	883.4
Nova Monte Verde	5108956	6512	1814.8	4539
Porto dos Gaúchos	5106802	7016	1721.6	5222.9
Sinop	5107909	3193	1720.6	1428.4
Machadinho d'Oeste	1100130	8589	1717.8	6433.5
Araguatins	1702208	2640	1716.2	317.3
Nova Maringá	5108907	11528	1711	9117.1
Terra Nova do Norte	5108055	2303	1707.3	592.2
Ouro Preto do Oeste	1100155	1991	1698.4	274.4
Bragança	1501709	2108	1677.8	337.3
Canaã dos Carajás	1502152	3157	1662.2	1389.6
