Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	11297.7	68215.1
Paragominas	1505502	19452	7565.5	11844.4
Marabá	1504208	15127	6864.8	8138.8
Juara	5105101	21430	6372.1	13438.7
Santana do Araguaia	1506708	11607	5683.3	5049.4
Santa Luzia	2110005	6193	5505.2	686.1
Cumaru do Norte	1502764	17106	5315.9	10347.3
Porto Velho	1100205	34636	5122.4	28304.3
Açailândia	2100055	5844	4988.1	854.6
Santa Maria das Barreiras	1506583	10350	4893.3	2891.4
Rondon do Pará	1506187	8286	4749.2	3536.8
Água Azul do Norte	1500347	7586	4745.6	2711.3
Monte Alegre	1504802	21701	4511.4	14140.3
Tapurah	5108006	11610	4478.2	5724.6
Vila Bela da Santíssima Trindade	5105507	13698	4432.3	2584
Novo Repartimento	1505064	15433	4382.5	9881.6
Alta Floresta	5100250	8955	4361.7	4294.8
Querência	5107065	17856	4256.5	11251.2
Santarém	1506807	22876	4233.1	14087.8
São José do Xingu	5107354	7467	4019.6	3085.5
Altamira	1500602	159701	4008.3	150236.4
Vila Rica	5108600	7450	3871.7	3379.1
Sorriso	5107925	9350	3824.2	1409.6
Itaituba	1503606	62096	3768.3	57053.7
Juína	5105150	26358	3757.9	19913.7
São Félix do Araguaia	5107859	16857	3729.4	6878.7
Itupiranga	1503705	7899	3615.1	4165.7
Pontes e Lacerda	5106752	8465	3586.1	1550.5
Barra do Bugres	5101704	7244	3462.9	2513.3
Brasnorte	5101902	16001	3460	8742.4
Moju	1504703	9131	3444	4340.6
Pacajá	1505486	11852	3418.6	8433.3
Viseu	1508308	4943	3306.6	1517.4
Goianésia do Pará	1503093	7048	3302.4	3264
Nova Ubiratã	5106240	12690	3293.6	6599.3
Xinguara	1508407	3794	3218.8	556.3
Confresa	5103353	5799	3217.4	2259
Rio Maria	1506161	4123	3175.9	808.6
Novo Progresso	1505031	38183	3140.2	31495
Bom Jardim	2102002	6647	3131.2	3450.7
Ariquemes	1100023	4480	2934.7	1455.4
Dom Eliseu	1502939	5296	2857.8	2437.1
Aripuanã	5101407	25181	2836.1	22003.8
Conceição do Araguaia	1502707	5848	2814.8	1042.7
Ulianópolis	1508126	5115	2761	2353.8
Gaúcha do Norte	5103858	16900	2728.9	9525.9
Nova Canaã do Norte	5106216	5975	2708.2	2169
Barra do Corda	2101608	8054	2704.5	2843.5
Tomé-Açu	1508001	5168	2690.9	2324.4
Marcelândia	5105580	12294	2661.3	9394.1
Comodoro	5103304	21849	2645.5	9398.7
Araguaína	1702109	4019	2632.2	462.9
Piçarra	1505635	3324	2631.5	625
Peixoto de Azevedo	5106422	14402	2631	10519.8
Rio Branco	1200401	9509	2627.9	6881
Redenção	1506138	3830	2611.6	512.7
Jaru	1100114	2976	2570.5	360.6
Ji-Paraná	1100122	6955	2559.1	4293.7
Bom Jesus do Araguaia	5101852	4282	2513.8	1389
Nova Mutum	5106224	9546	2511.3	3658.9
Colíder	5103205	3038	2458.7	573.2
Eldorado dos Carajás	1502954	2967	2458.3	508.7
São Geraldo do Araguaia	1507458	3283	2451.3	485.9
Capitão Poço	1502301	2924	2430.2	0
Chupinguaia	1100924	5163	2414.2	2419
Cacoal	1100049	3820	2383.5	1404.2
Ipixuna do Pará	1503457	5245	2345.9	2863.3
Breu Branco	1501782	3950	2342.9	1346.5
Porto dos Gaúchos	5106802	7016	2325.3	4619.2
Uruará	1508159	10794	2294.8	8495.2
Itinga do Maranhão	2105427	3612	2232.2	1379.7
Castanheira	5102850	3963	2225.2	1704.8
Tucumã	1508084	2513	2204.1	300.7
Santa Terezinha	5107776	6463	2170.4	2997.8
Nova Monte Verde	5108956	6512	2166.7	4187.1
Tangará da Serra	5107958	11596	2139	665.9
Nova Maringá	5108907	11528	2133.8	8694.3
Lábrea	1302405	69669	2120.1	65300.7
Novo Mundo	5106265	5801	2092.3	3154.2
Machadinho d'Oeste	1100130	8589	2090	6061.3
Corumbiara	1100072	3082	2085.8	898.8
Guarantã do Norte	5104104	4717	2084.8	1907.4
Brasil Novo	1501725	6370	2069.5	4294.3
Pimenta Bueno	1100189	6284	2032.9	3195.1
Curionópolis	1502772	2375	2027.5	341.1
Acará	1500206	4363	2014.8	0
Alta Floresta d'Oeste	1100015	7138	2008.1	3393.9
Cáceres	5102504	24446	2001.6	1825.4
Amarante do Maranhão	2100600	7737	1939.1	4106.5
Espigão d'Oeste	1100098	4549	1930	2322.6
Tabaporã	5107941	8233	1926.7	4059.5
Centro Novo do Maranhão	2103174	8366	1914.8	6448
Nova Bandeirantes	5106158	9561	1896.3	7445.3
Turiaçu	2112407	2601	1884.7	592.3
Bom Jesus das Selvas	2102036	2700	1883.3	816.7
Zé Doca	2114007	2435	1877.6	555.4
São Miguel do Guaporé	1100320	8102	1869.5	4432.7
Sinop	5107909	3193	1865.1	1283.9
Alto Alegre do Pindaré	2100477	1951	1852.3	45.6
Terra Nova do Norte	5108055	2303	1847.3	452.2
Poxoréo	5107008	6923	1843.3	110.1
Nova Mamoré	1100338	10244	1817.2	7024
Bannach	1501253	2963	1813	1087.9
Colniza	5103254	28134	1762.2	25994.4
Paranatinga	5106307	24185	1748	5763.6
Araguatins	1702208	2640	1741.6	291.9
Ouro Preto do Oeste	1100155	1991	1728.3	244.5
Tailândia	1507953	4451	1707.6	2743.4
Vera	5108501	2951	1706.9	1224.9
Bragança	1501709	2108	1700.1	315
Canaã dos Carajás	1502152	3157	1695.3	1356.5
Paranaíta	5106299	4833	1693.4	3050.1
Canarana	5102702	10839	1693.3	2353.7
Theobroma	1101609	2219	1666.1	552.4
Rondolândia	5107578	12742	1665.3	10998
Pedro do Rosário	2108256	1770	1658.5	41.5
Lago da Pedra	2105708	1655	1655	0
Arame	2100956	3075	1650.5	1084.8
Buriticupu	2102325	2567	1648.3	917.1
Carlinda	5102793	2414	1644.7	736.5
Floresta do Araguaia	1503044	3454	1637.1	595.8
Bandeirantes do Tocantins	1703057	1678	1620	57.7
Bom Jesus do Tocantins	1501576	2824	1617.9	1092
Nova Lacerda	5106182	4756	1613.6	1646.5
Itacoatiara	1301902	8926	1601	4831
São Francisco do Guaporé	1101492	4805	1595.8	2354.4
Presidente Médici	1100254	1774	1579.4	167.1
Boca do Acre	1300706	23013	1578.1	21243.6
Vitória do Xingu	1508357	2969	1569.8	1246
Matupá	5105606	5153	1559.7	3374.8
Óbidos	1505106	28043	1544.5	20546.1
Buritis	1100452	3315	1540.3	1769.8
Medicilândia	1504455	8271	1537.3	6731.7
Almeirim	1500503	72969	1515.4	67601.4
Apiacás	5100805	20402	1488.7	17606.1
Vilhena	1100304	11583	1478.4	8411.6
Costa Marques	1100080	12890	1467.6	7950.4
Rurópolis	1506195	7025	1464.1	5511
CanaBrava do Norte	5102694	3450	1463.5	783.9
Arapoema	1702307	1558	1460.1	75
Baião	1501204	3766	1446.5	1607.4
Ribeirão Cascalheira	5107180	11364	1425.8	1984.9
Campo Novo de Rondônia	1100700	3491	1415.8	1799.2
Aurora do Pará	1500958	1824	1401.2	0
São José do Rio Claro	5107305	5060	1400.3	2253.1
Nova Santa Helena	5106190	2625	1386.4	1236.3
Santa Helena	2109809	2336	1380.4	216.7
Itaúba	5104559	4543	1355.2	2733.6
Jacundá	1503804	2014	1352.9	395.8
Alto Paraíso	1100403	2681	1336.9	1326.2
Cláudia	5103056	3819	1333.8	2476.7
Cacaulândia	1100601	1986	1327.5	617.4
Placas	1505650	7174	1326	5847.8
Plácido de Castro	1200385	2099	1323.3	772.4
Anapu	1500859	11909	1312.7	10418.2
Itaipava do Grajaú	2105351	1558	1311.2	245.5
Garrafão do Norte	1503077	1616	1305.8	309.4
Alvorada d'Oeste	1100346	3060	1303.5	935.1
Oriximiná	1505304	107778	1302.1	100838.9
Feliz Natal	5103700	11448	1286.8	9430.2
Rolim de Moura	1100288	1471	1286.4	184.6
Sena Madureira	1200500	26182	1274.2	24889.1
Brasiléia	1200104	4484	1273.6	3199.1
Xambioá	1722107	1641	1265.8	335.5
Candeias do Jamari	1100809	6933	1264.3	5286.9
Parauapebas	1505536	7019	1253.9	5678.9
Barra do Garças	5101803	9147	1253.7	247.8
Guajará-Mirim	1100106	25257	1244.5	19975
Governador Jorge Teixeira	1101005	5128	1239.2	3697.7
Nova Esperança do Piriá	1504950	2830	1225.8	1602.4
Araputanga	5101258	1608	1220	352.7
Santa Fé do Araguaia	1718865	1682	1219.9	406
Cidelândia	2103257	1473	1213.7	230.2
Manaus	1302603	11474	1208	8714.6
Santa Luzia do Pará	1506559	1361	1207.6	126.8
Maués	1302900	40079	1202.6	36708.4
Bacabal	2101202	1707	1199.2	0
Mucajaí	1400308	12878	1194.4	11447.4
Cantá	1400175	7714	1193.6	5599.7
São Domingos do Capim	1507201	1687	1193.5	0
Alenquer	1500404	22275	1190.4	18014.7
São Domingos do Araguaia	1507151	1396	1189.4	206.6
Porto Acre	1200807	3071	1185	1883.2
Senador Guiomard	1200450	1887	1171.6	715.4
São José dos Quatro Marcos	5107107	1284	1171.3	74.9
Monte Negro	1101401	1956	1170.6	741
Governador Newton Bello	2104651	1177	1167.4	9.5
São Gabriel da Cachoeira	1303809	112501	1157.6	108715.8
Colorado do Oeste	1100064	1459	1155.2	250.6
Nova Brasilândia	5106208	3269	1152.3	206.1
Manicoré	1302702	48687	1147.5	42549.8
Ananás	1701002	1596	1146.2	204.3
Nova Olinda do Maranhão	2107357	2487	1145.2	1334.1
Santa Cruz do Xingu	5107743	5625	1143.9	2794.7
Sapucaia	1507755	1302	1143.1	158.9
Bujari	1200138	3572	1134.4	2437.1
Denise	5103452	1304	1131.2	167.7
Ourilândia do Norte	1505437	13840	1129.8	9540.5
Turilândia	2112456	1529	1129.5	200.6
Salto do Céu	5107750	1316	1116.8	167
Pimenteiras do Oeste	1101468	6067	1114.6	2465.9
Serrano do Maranhão	2111789	1222	1101.7	104.2
Irituia	1503507	1387	1096.4	0
Juruti	1503903	8307	1095.6	5463.1
Apuí	1300144	54481	1095.2	52538
Alto Alegre dos Parecis	1100379	3993	1093.8	1963.4
Imperatriz	2105302	1376	1093.2	105.6
Cachoeira do Piriá	1501956	2439	1092	1339.1
Vitorino Freire	2113009	1130	1087.6	0
Cametá	1502103	3090	1085.3	892.1
Tarauacá	1200609	16278	1082.2	15188.2
Autazes	1300300	7634	1074.8	5081.8
Tuntum	2112308	3619	1070.2	571.6
Careiro	1301100	6126	1058.7	4659.8
Santa Carmem	5107248	3921	1052.4	2868.6
Nova Ipixuna	1504976	1605	1043.2	342.5
Pau d'Arco	1716307	1304	1032.8	154.5
Portel	1505809	25425	1026.7	23165.1
João Lisboa	2105500	1134	1023.8	109.4
Feijó	1200302	25248	1022.3	24161.8
Cotriguaçu	5103379	9149	1020	7974.6
Xapuri	1200708	5416	1019.7	4395.4
Vale do Anari	1101757	3166	1018.1	2117.5
Alto Boa Vista	5100359	2242	1009.3	655.1
Guaraí	1709302	2279	1005.8	187.4
Governador Nunes Freire	2104677	1047	1004.7	42
Nova Olímpia	5106232	1570	998.2	255.3
Jauru	5105002	1221	995.1	111.8
Santo Antônio do Leverger	5107800	12270	984.8	1163.3
Jacareacanga	1503754	53409	978.1	46492.9
Coroatá	2103604	2298	965.6	0.5
Brejo Grande do Araguaia	1501758	1191	960.7	174.2
Rio Crespo	1100262	1744	958.9	761.9
Aveiro	1501006	17094	947.1	15408.2
Vila Nova dos Martírios	2112852	1197	942.2	109.8
Rorainópolis	1400472	33850	941	24682.3
Paulo Ramos	2108108	937	937.8	0
Santa Luzia d'Oeste	1100296	1207	935.8	271.2
Muricilândia	1713957	1194	935.1	233.2
Seringueiras	1101500	2280	932.7	1180.3
Parintins	1303403	5961	928.6	1618.1
Parecis	1101450	2567	920.7	1163.9
Cabixi	1100031	1322	919.1	386.5
Lambari d'Oeste	5105234	1338	912.6	251.3
Cujubim	1100940	3901	912.5	2986
Juscimeira	5105200	2206	911.7	49.2
Alcântara	2100204	1502	905	177.7
Juruena	5105176	3200	904.9	2105.5
Mirassol d'Oeste	5105622	1077	903.3	139.5
Nortelândia	5106000	1353	901.7	300.7
Monção	2106904	1359	896.5	148.4
Santo Afonso	5107263	1172	895.5	271.8
Grajaú	2104800	7480	893.7	1834.2
Cândido Mendes	2102606	1748	892.4	651.1
Nova Guarita	5108808	1089	891.6	196.8
Bernardo Sayão	1703206	930	887.7	29.2
Aragominas	1701309	1179	883.7	268.4
Pau d'Arco	1505551	1675	880.1	380.7
Itaporã do Tocantins	1711100	924	869.7	53.8
Nova Marilândia	5108857	1943	866.6	506.8
Castanhal	1502400	1035	864.8	0
Santa Luzia do Paruá	2110039	914	864.5	19
Pinheiro	2108603	1483	856.9	104.9
Vale do Paraíso	1101807	973	856.7	112.3
Nova Brasilândia d'Oeste	1100148	1166	842.9	258.4
Caracaraí	1400209	47820	832.4	31902.4
Pequizeiro	1716653	1212	831.9	77.9
Centro do Guilherme	2103158	1084	830.7	253.3
Nova Olinda	1714880	1780	821.9	18.6
Rondonópolis	5107602	4166	816.6	280.6
Araguaiana	5101001	6421	808.8	547.1
São Miguel do Guamá	1507607	1117	799.1	1.3
Dom Aquino	5103601	2207	799.1	48.6
Epitaciolândia	1200252	1710	792.4	909.4
Porto Alegre do Norte	5106778	3982	784.2	746.7
São João do Araguaia	1507508	1291	783.3	325.4
Prainha	1506005	12600	766.7	7401.1
Nova Xavantina	5106257	5527	764.5	290.3
Capixaba	1200179	1765	753.6	1005
Piraquê	1717206	926	751.8	100.8
Cerejeiras	1100056	2804	750.9	811.2
Pio XII	2108702	827	749	0
Maranhãozinho	2106375	964	748.1	215.9
Palestina do Pará	1505494	986	747.9	208.1
Araguanã	2100873	810	746.3	62.3
Colméia	1716703	995	745.8	28.9
Coari	1301209	58834	744.7	54503.5
Belterra	1501451	4404	740.9	3059.9
Manacapuru	1302504	7381	738	4417.9
Trairão	1508050	11996	735.3	11159.1
Barreirinha	1300508	5759	733.3	3659.5
Figueirópolis d'Oeste	5103809	893	731.9	50.7
Acrelândia	1200013	1610	727.6	880.2
Augusto Corrêa	1500909	1101	722.3	297.4
Araguanã	1702158	837	720.3	89.9
Novo Horizonte do Oeste	1100502	852	716.6	130.7
Novo Horizonte do Norte	5106273	940	707.8	224.6
Caroebe	1400233	12122	704.7	11308.6
Lagoa Grande do Maranhão	2105963	742	702.9	39.1
Itapuã do Oeste	1101104	4131	699.1	3223
Guajará	1301654	9389	699	8409.1
São Francisco do Brejão	2110856	751	696.9	54.1
Castanheiras	1100908	901	696.4	201.8
Ministro Andreazza	1101203	805	693	112
Marajá do Sena	2106359	833	690.2	142.8
São Domingos do Maranhão	2110708	1321	685.1	518.2
Presidente Dutra	2109106	805	683.2	121.8
Jaciara	5104807	1657	682.9	16.4
Mirinzal	2106805	697	682.5	13.8
União do Sul	5108303	4583	679.6	3877.5
Vale de São Domingos	5108352	2007	679.4	517.1
Altamira do Maranhão	2100402	677	677.5	0
Nova União	1101435	815	672.1	139
Oeiras do Pará	1505205	3863	668.9	2466.7
Urupá	1101708	840	664.5	76.7
Colinas do Tocantins	1705508	848	660.1	6.5
Abaetetuba	1500107	1617	658.4	306.3
Igarapé-Açu	1503200	789	657.5	0
Alto Alegre	1400050	25870	646.5	22320.1
Carutapera	2102903	1267	644.5	413.1
São Luís Gonzaga do Maranhão	2111409	981	643	1
Jenipapo dos Vieiras	2105476	1522	634.5	715.6
Senador La Rocque	2111763	751	633.3	117.7
Presidente Figueiredo	1303536	25567	629.5	21511.4
Conceição do Lago-Açu	2103554	836	625.3	0
Tucuruí	1508100	2094	620.5	985.2
Santa Rita do Trivelato	5107768	3347	617.9	729.7
Canutama	1300904	30283	607.3	28386.4
