"NOM_MUNICI" "COD_MUNICI" "count"
"145" "ABEL FIGUEIREDO" "1500131" 14
"146" "ACARA" "1500206" 11
"147" "AFUA" "1500305" 11
"148" "AGUA AZUL DO NORTE" "1500347" 17
"149" "ALENQUER" "1500404" 5
"150" "ALMEIRIM" "1500503" 30
"151" "ALTAMIRA" "1500602" 430
"152" "ANAJAS" "1500701" 2
"153" "ANANINDEUA" "1500800" 29
"154" "ANAPU" "1500859" 141
"155" "AUGUSTO CORREA" "1500909" 1
"156" "AURORA DO PARA" "1500958" 3
"157" "AVEIRO" "1501006" 21
"158" "BAGRE" "1501105" 10
"159" "BAIAO" "1501204" 29
"160" "BANNACH" "1501253" 12
"161" "BARCARENA" "1501303" 18
"162" "BELEM" "1501402" 136
"163" "BELTERRA" "1501451" 10
"164" "BENEVIDES" "1501501" 15
"165" "BOM JESUS DO TOCANTINS" "1501576" 37
"166" "BRAGANCA" "1501709" 14
"167" "BRASIL NOVO" "1501725" 45
"168" "BREJO GRANDE DO ARAGUAIA" "1501758" 1
"169" "BREU BRANCO" "1501782" 52
"170" "BREVES" "1501808" 34
"171" "BUJARU" "1501907" 5
"172" "CACHOEIRA DO PIRIA" "1501956" 11
"173" "CACHOEIRA DO ARARI" "1502004" 8
"174" "CAMETA" "1502103" 11
"175" "CANAA DOS CARAJAS" "1502152" 2
"176" "CAPANEMA" "1502202" 4
"177" "CAPITAO POCO" "1502301" 4
"178" "CASTANHAL" "1502400" 4
"179" "CHAVES" "1502509" 1
"180" "CONCEICAO DO ARAGUAIA" "1502707" 67
"181" "CONCORDIA DO PARA" "1502756" 6
"182" "CUMARU DO NORTE" "1502764" 123
"183" "CURIONOPOLIS" "1502772" 4
"184" "CURRALINHO" "1502806" 24
"185" "CURUA" "1502855" 1
"186" "CURUCA" "1502905" 4
"187" "DOM ELISEU" "1502939" 189
"188" "ELDORADO DOS CARAJAS" "1502954" 30
"189" "FLORESTA DO ARAGUAIA" "1503044" 5
"190" "GARRAFAO DO NORTE" "1503077" 4
"191" "GOIANESIA DO PARA" "1503093" 106
"192" "GURUPA" "1503101" 25
"193" "IGARAPE-ACU" "1503200" 2
"194" "IGARAPE-MIRI" "1503309" 16
"195" "INHANGAPI" "1503408" 1
