"NOM_MUNICI" "COD_MUNICI" "count"
"606" "TANGARA DA SERRA" "5107958" 1
"607" "TAPURAH" "5108006" 54
"608" "TERRA NOVA DO NORTE" "5108055" 9
"609" "TESOURO" "5108105" 8
"610" "TORIXOREU" "5108204" 14
"611" "UNIAO DO SUL" "5108303" 101
"612" "VALE DE SAO DOMINGOS" "5108352" 7
"613" "VARZEA GRANDE" "5108402" 10
"614" "VERA" "5108501" 64
"615" "VILA RICA" "5108600" 128
"616" "NOVA GUARITA" "5108808" 4
"617" "NOVA MARINGA" "5108907" 95
"618" "NOVA MONTE VERDE" "5108956" 64
