Municipio	AreaKm2	CodIbge	Desmatado	Floresta
Caseara	1698	1703909	269.6	319.2
Castanhal	1035	1502400	900	62.1
Castanheira	3963	5102850	2508	1388.2
Castanheiras	901	1100908	718.8	154
Cedral	263	2103109	201.3	18.6
Centenário	1968	1704105	0	0
Central do Maranhão	370	2103125	257.3	5.8
Centro do Guilherme	1084	2103158	907.8	118.7
Centro Novo do Maranhão	8366	2103174	2298.5	4957.2
Cerejeiras	2804	1100056	798.7	760.3
Chapada da Natividade	1679	1705102	0	0
Chapada de Areia	660	1704600	1.6	9.4
Chapada dos Guimarães	6204	5103007	382.5	135.2
Chapadinha	3305	2103208	0	0
Chaves	13114	1502509	96.1	2310.3
Chupinguaia	5163	1100924	2635	2199.2
Cidelândia	1473	2103257	1296.4	146.9
Cláudia	3819	5103056	1556.3	2254.2
Coari	58834	1301209	765.5	49345
Cocalinho	16562	5103106	234.5	1735.8
Codajás	18940	1301308	260.9	10509.2
Codó	4434	2103307	443	0
Colares	612	1502608	90.6	479.8
Colíder	3038	5103205	2503	529
Colinas	2065	2103505	199.2	139.7
Colinas do Tocantins	848	1705508	662.8	4.2
Colméia	995	1716703	753	20.6
Colniza	28134	5103254	3599	24160.9
Colorado do Oeste	1459	1100064	1188.3	217.1
Combinado	210	1705557	0	0
Comodoro	21849	5103304	3012.9	9035.8
Conceição do Araguaia	5848	1502707	3054.6	794.1
Conceição do Lago-Açu	836	2103554	625.3	0
Conceição do Tocantins	2520	1705607	0	0
Concórdia do Pará	694	1502756	606.8	32.6
Confresa	5799	5103353	3701.4	1765.6
Conquista D'oeste	2708	5103361	583.2	808.6
Coroatá	2298	2103604	1052.9	0
Corumbiara	3082	1100072	2147.5	837.2
Costa Marques	12890	1100080	2156.1	7243.9
Cotriguaçu	9149	5103379	1801.5	7192.4
Couto de Magalhães	1591	1706001	231.5	93.1
Cristalândia	1854	1706100	0	0
Crixás do Tocantins	988	1706258	0	0
Cruzeiro do Sul	8352	1200203	708	7417.9
Cuiabá	3539	5103403	174.4	172.2
Cujubim	3901	1100940	1428.5	2470.1
Cumaru do Norte	17106	1502764	7034	8488.5
Curionópolis	2375	1502772	2057.3	310.2
Curralinho	3626	1502806	199.2	2632.3
Curuá	1430	1502855	322.8	364.2
Curuçá	674	1502905	269.1	280
Cururupu	940	2103703	570.6	98.3
Curvelândia	749	5103437	314.4	108.6
Cutias	2118	1600212	183.8	233.5
Darcinópolis	1558	1706506	47.1	7.1
Davinópolis	340	2103752	287.1	52.9
Denise	1304	5103452	1140	158.1
Diamantino	7640	5103502	583	1628.4
Dianópolis	3240	1707009	0	0
Divinópolis do Tocantins	2355	1707108	18.3	58.2
Dois Irmãos do Tocantins	3772	1707207	65.2	81.3
Dom Aquino	2207	5103601	801.7	48
Dom Eliseu	5296	1502939	3394.7	1899.5
Dom Pedro	374	2103802	225	45.9
Dueré	3434	1707306	34.6	248.2
Eirunepé	16471	1301407	377.4	15550.6
Eldorado dos Carajás	2967	1502954	2717.7	248.8
Envira	13904	1301506	684.5	13077.4
Epitaciolândia	1710	1200252	863	838.5
Esperantina	504	1707405	218.1	11.6
Esperantinópolis	486	2104008	449.7	0
Espigão d'Oeste	4549	1100098	2088.1	2164
Estreito	2736	2104057	10.3	6.1
Faro	11794	1503002	234.7	10935.2
Fátima	384	1707553	0	0
Feijó	25248	1200302	1145.7	24016.5
Feira Nova do Maranhão	1486	2104073	0	0
Feliz Natal	11448	5103700	2000.1	8717
Fernando Falcão	3546	2104081	36.3	82.4
Ferreira Gomes	5048	1600238	136.9	2274.1
Figueirópolis	1933	1707652	0	0
Figueirópolis d'Oeste	893	5103809	736.6	45.4
Filadélfia	1997	1707702	0	0
Floresta do Araguaia	3454	1503044	1893.5	336.1
Fonte Boa	12393	1301605	99.9	10346.7
Formosa da Serra Negra	3976	2104099	32.6	25.5
Formoso do Araguaia	13459	1708205	186.3	844.5
Fortaleza do Tabocão	622	1708254	401.1	1.6
Fortaleza dos Nogueiras	1680	2104107	0	0
Fortuna	705	2104206	273.3	150
Garrafão do Norte	1616	1503077	1424.3	179.1
Gaúcha do Norte	16900	5103858	3495	8761.5
General Carneiro	3724	5103908	0	0
Glória d'Oeste	848	5103957	292.1	46.1
Godofredo Viana	648	2104305	332.1	116.8
Goianésia do Pará	7048	1503093	3716.2	2846.2
Goianorte	1806	1708304	102.5	50.6
Goiatins	6451	1709005	0	0
Gonçalves Dias	888	2104404	530.5	247.1
Governador Archer	442	2104503	183.5	35.7
Governador Edison Lobão	618	2104552	283.7	20.1
Governador Eugênio Barros	829	2104602	308	232.9
Governador Jorge Teixeira	5128	1101005	1345.7	3589.3
Governador Luiz Rocha	377	2104628	167.5	152.4
Governador Newton Bello	1177	2104651	1169.7	6.6
Governador Nunes Freire	1047	2104677	1012.4	28.9
Graça Aranha	274	2104701	205.2	68.5
Grajaú	7480	2104800	1262.5	1461.8
Guajará	9389	1301654	786.5	8294.2
Guajará-Mirim	25257	1100106	1423	19064.6
Guaraí	2279	1709302	1020.7	173.7
Guarantã do Norte	4717	5104104	2392.8	1599.9
Guimarães	609	2104909	369	55.9
Guiratinga	5361	5104203	167.6	0.2
Gurupá	8550	1503101	104.8	3807.8
Gurupi	1844	1709500	0	0
Humaitá	33431	1301704	675	28565.8
Humberto de Campos	2166	2105005	0	0
Icatu	1468	2105104	15.1	93.2
Igarapé do Meio	397	2105153	214.8	5.9
Igarapé Grande	380	2105203	379.9	0.1
Igarapé-Açu	789	1503200	686.9	54.5
Igarapé-Miri	2003	1503309	474.7	1005.5
Imperatriz	1376	2105302	1115.2	84
Indiavaí	601	5104500	563.5	37.4
Inhangapi	475	1503408	326.5	29
Ipixuna	14195	1301803	226.7	13831
Ipixuna do Pará	5245	1503457	2688.9	2267
Ipueiras	817	1709807	0	0
Iracema	14271	1400282	725.9	5750.9
Iranduba	2228	1301852	477.6	1306
Irituia	1387	1503507	1206.9	20.4
Itacajá	3072	1710508	0	0
Itacoatiara	8926	1301902	1717.5	2767.8
Itaguatins	745	1710706	359.5	63.4
Itaipava do Grajaú	1558	2105351	1364	192.5
Itaituba	62096	1503606	4794.4	53335.8
Itamarati	26048	1301951	124.2	25485.1
Itapecuru Mirim	1182	2105401	385.3	505.4
Itapiranga	4245	1302009	134.8	2877.6
Itapiratins	1251	1710904	0	0.9
Itaporã do Tocantins	924	1711100	877.2	46.3
Itapuã do Oeste	4131	1101104	865.5	3056.6
Itaúba	4543	5104559	1641.5	2445.2
Itaubal	1705	1600253	92.5	299.6
Itinga do Maranhão	3612	2105427	2600	996
Itiquira	8638	5104609	159.8	225.2
Itupiranga	7899	1503705	4528.6	3217.1
Jacareacanga	53409	1503754	1337	44918.2
Jaciara	1657	5104807	686.6	11.3
Jacundá	2014	1503804	1458.6	264.6
Jangada	1022	5104906	0	0
Japurá	57561	1302108	56.4	38816.2
Jaru	2976	1100114	2614.4	316.5
Jatobá	393	2105450	146.5	102.7
Jaú do Tocantins	2186	1711506	0	0
Jauru	1221	5105002	1005.7	100.6
Jenipapo dos Vieiras	1522	2105476	662.5	687.4
Ji-Paraná	6955	1100122	2608.1	4244.3
João Lisboa	1134	2105500	1057.6	75.5
Jordão	5692	1200328	131.1	5547.3
Joselândia	692	2105609	495	100.6
Juara	21430	5105101	7566.2	10368.3
Juarina	482	1711803	210.3	13.4
Juína	26358	5105150	4314.9	19356.6
Junco do Maranhão	543	2105658	531.3	10.9
Juruá	19848	1302207	148.6	18197.9
Juruena	3200	5105176	1300	1709.6
Juruti	8307	1503903	1155.8	5386.6
Juscimeira	2206	5105200	920.4	37.6
Jutaí	71771	1302306	235.4	62995.9
Lábrea	69669	1302405	3192.6	64186.7
Lago da Pedra	1655	2105708	1655.1	0
Lago do Junco	312	2105807	312.9	0
Lago dos Rodrigues	197	2105948	197	0
Lago Verde	466	2105906	376.4	0
Lagoa da Confusão	10578	1711902	237.6	2002.6
Lagoa do Mato	1310	2105922	0	0
Lagoa do Tocantins	918	1711951	0	0
Lagoa Grande do Maranhão	742	2105963	711.8	30.1
Lajeado	324	1712009	0	1.2
Lajeado Novo	1055	2105989	255	19.1
Lambari d'Oeste	1338	5105234	929.5	236.5
Laranjal do Jari	30971	1600279	185	24123.5
Lavandeira	525	1712157	0	0
Lima Campos	326	2106003	120.8	0
Limoeiro do Ajuru	1495	1504000	61.7	875.7
Lizarda	5768	1712405	0	2.7
Lucas do Rio Verde	3663	5105259	525.4	645.2
Luciára	4152	5105309	31.2	397.4
Luís Domingues	468	2106201	313.1	58.9
Luzinópolis	281	1712454	156	21.5
Macapá	6420	1600303	398.5	1228.1
Machadinho d'Oeste	8589	1100130	2813.1	5338.3
Mãe do Rio	471	1504059	449.5	2.5
Magalhães Barata	326	1504109	162.2	74.6
Manacapuru	7381	1302504	782.7	4184.1
Manaquiri	4003	1302553	493.5	3115.5
Manaus	11474	1302603	1242.8	8222.8
Mâncio Lima	4947	1200336	349.1	4223.6
Manicoré	48687	1302702	1562.7	42127.8
Manoel Urbano	9741	1200344	245.3	9441.1
Maraã	17221	1302801	114.2	12255.8
Marabá	15127	1504208	8203.2	6766.4
Maracaçumé	635	2106326	542.1	87.3
Maracanã	786	1504307	324	239.7
Marajá do Sena	833	2106359	719.5	113.5
Maranhãozinho	964	2106375	755	115.1
Marapanim	796	1504406	400.3	222.9
Marcelândia	12294	5105580	3418.9	8634.4
Marechal Thaumaturgo	8145	1200351	227.1	7826.2
Marianópolis do Tocantins	2096	1712504	142.9	196.7
Marituba	103	1504422	65.6	10
Mata Roma	556	2106409	0	0
Mateiros	9675	1712702	0	0
Matinha	414	2106508	289.7	2.1
Matões do Norte	793	2106631	420.1	20.2
Matupá	5153	5105606	1889.8	3045.2
Maués	40079	1302900	1302.1	36553
Maurilândia do Tocantins	741	1712801	143.6	62.3
Mazagão	13141	1600402	109.2	6287.8
Medicilândia	8271	1504455	1942.2	5750.9
Melgaço	6782	1504505	155.9	1928.1
Ministro Andreazza	805	1101203	711.5	93.5
Miracema do Tocantins	2664	1713205	0	0
Mirador	8716	2106706	0	0.4
Miranda do Norte	356	2106755	249.5	60.6
Miranorte	1037	1713304	318.9	9.8
Mirante da Serra	1206	1101302	629.7	360.7
Mirassol d'Oeste	1077	5105622	937.2	105.5
Mirinzal	697	2106805	682.5	4.3
Mocajuba	874	1504604	493	137.2
Moju	9131	1504703	4142.5	4560
Monção	1359	2106904	960.1	59.8
Monte Alegre	21701	1504802	4802.7	8583.9
Monte do Carmo	3634	1713601	0	0
Monte Negro	1956	1101401	1357.9	553
Monte Santo do Tocantins	1096	1713700	0.7	11.4
Montes Altos	1348	2107001	132.1	52.5
Morros	1745	2107100	19.3	53.1
Muaná	3776	1504901	101.4	1825
Mucajaí	12878	1400308	1686.2	4354.4
Muricilândia	1194	1713957	954.4	213.9
Natividade	3236	1714203	0	0
Nazaré	398	1714302	282.4	32.1
Nhamundá	14135	1303007	476.6	11688.5
Nina Rodrigues	579	2107209	0	0
Nobres	3857	5105903	334.2	250.8
Normandia	7003	1400407	19.6	427.5
Nortelândia	1353	5106000	918.7	284.5
Nossa Senhora do Livramento	5200	5106109	109.6	80.1
Nova Bandeirantes	9561	5106158	3030.6	5343.2
Nova Brasilândia	3269	5106208	1165.9	193.1
Nova Brasilândia d'Oeste	1166	1100148	892.7	208
Nova Canaã do Norte	5975	5106216	2970.5	1903.4
Nova Colinas	749	2107258	0	0
Nova Esperança do Piriá	2830	1504950	1492.3	962.2
Nova Guarita	1089	5108808	923.8	164.6
Nova Ipixuna	1605	1504976	1161	204.1
Nova Lacerda	4756	5106182	1781.3	1477.7
Nova Mamoré	10244	1100338	2836.8	6004.4
Nova Marilândia	1943	5108857	961.6	412.3
Nova Maringá	11528	5108907	3060.4	6933.5
Nova Monte Verde	6512	5108956	2587	3584.3
Nova Mutum	9546	5106224	2848.4	3319.6
Nova Nazaré	4039	5106174	199.8	1059.7
Nova Olímpia	1570	5106232	1010.6	242.4
Nova Olinda	1780	1714880	823.1	17.5
Nova Olinda do Maranhão	2487	2107357	1175.4	1010.7
Nova Olinda do Norte	5624	1303106	415	2657
Nova Rosalândia	490	1715002	0	0
Nova Santa Helena	2625	5106190	1520.2	1102.4
Nova Timboteua	492	1505007	374.5	46.7
Nova Ubiratã	12690	5106240	4218.8	5674
Nova União	815	1101435	694.9	116
Nova Xavantina	5527	5106257	786.2	267.2
Novo Acordo	2685	1715101	0	0
Novo Airão	38112	1303205	116.4	20344.3
Novo Alegre	201	1715150	0	0
Novo Aripuanã	41459	1303304	899.7	35889.5
Novo Horizonte do Norte	940	5106273	734.4	197.9
Novo Horizonte do Oeste	852	1100502	742.3	96.6
Novo Jardim	1321	1715259	0	0
Novo Mundo	5801	5106265	2470.7	2778.3
Novo Progresso	38183	1505031	5314.1	29016.8
Novo Repartimento	15433	1505064	6673.7	7586.4
Novo Santo Antônio	4375	5106315	198.6	483.5
Novo São Joaquim	5023	5106281	1	119
Óbidos	28043	1505106	1811.6	17710.8
Oeiras do Pará	3863	1505205	752.4	2439.2
Oiapoque	22643	1600501	199	8913.4
Olho d'Água das Cunhãs	562	2107407	562	0
Olinda Nova do Maranhão	200	2107456	183.7	0.7
Oliveira de Fátima	207	1715507	0	0
Oriximiná	107778	1505304	1474.7	82670.2
Ourém	566	1505403	495	25.2
Ourilândia do Norte	13840	1505437	1240.2	9358.8
Ouro Preto do Oeste	1991	1100155	1740.9	232.1
Pacajá	11852	1505486	4977.2	5936.9
Pacaraima	8083	1400456	76	1319.9
Paço do Lumiar	135	2107506	73.8	41
Palestina do Pará	986	1505494	812.1	143.8
Palmas	2227	1721000	0	1.4
Palmeirândia	534	2107605	441.4	6.7
Palmeirante	2447	1715705	76.4	11.1
Palmeiras do Tocantins	751	1713809	58.1	22
Palmeirópolis	1710	1715754	0	0
Paragominas	19452	1505502	8601.8	10029.3
Paraibano	539	2107704	0	2.6
Paraíso do Tocantins	1304	1716109	0	0
Paranã	11321	1716208	0	0
Paranaíta	4833	5106299	2231.1	2400.6
Paranatinga	24185	5106307	2093.4	5422.4
Parauapebas	7019	1505536	1348	5574.9
Parecis	2567	1101450	1124.1	959.6
Parintins	5961	1303403	960.9	1583.7
Passagem Franca	1378	2107902	0	0
Pastos Bons	1643	2108009	0	3.2
Pau d'Arco	1304	1716307	1054.4	133.8
Pau d'Arco	1675	1505551	931.1	331.8
Pauini	44594	1303502	221.5	44046.4
Paulino Neves	998	2108058	0	0
Paulo Ramos	937	2108108	937.8	0
Pedra Branca do Amaparí	9496	1600154	230.1	6165.1
Pedra Preta	4191	5106372	20.6	1
Pedreiras	291	2108207	180	0
Pedro Afonso	2021	1716505	20.7	32.1
Pedro do Rosário	1770	2108256	1673.2	17.8
Peixe	5314	1716604	0	0
Peixe-Boi	454	1505601	358.8	45.8
Peixoto de Azevedo	14402	5106422	3317.1	9831.9
Penalva	794	2108306	485.9	19.3
Pequizeiro	1212	1716653	842.3	66.7
Peri Mirim	409	2108405	245.4	20.7
Peritoró	757	2108454	235.2	0
Piçarra	3324	1505635	2899.6	356.4
Pimenta Bueno	6284	1100189	2374.7	2853.6
Pimenteiras do Oeste	6067	1101468	1254.7	2323.9
Pindaré-Mirim	240	2108504	168.7	0
Pindorama do Tocantins	1567	1717008	0	0
Pinheiro	1483	2108603	873.5	52.8
Pio XII	827	2108702	749	0
Pirapemas	696	2108801	285.4	0
Piraquê	926	1717206	764.6	88
Pium	10036	1717503	34.3	1667.1
Placas	7174	1505650	1742.8	5049.6
Plácido de Castro	2099	1200385	1496.7	597.9
Planalto da Serra	2451	5106455	554.6	44.5
Poção de Pedras	663	2108900	589.9	0
Poconé	17281	5106505	78	999.3
Ponta de Pedras	3380	1505700	52.1	614.3
Pontal do Araguaia	2755	5106653	0	0
Ponte Alta do Bom Jesus	1819	1717800	0	0
Ponte Alta do Tocantins	6535	1717909	0	0.4
Ponte Branca	688	5106703	0	0
Pontes e Lacerda	8465	5106752	3730	1407.4
Portel	25425	1505809	1464.8	10825.2
Porto Acre	3071	1200807	1382.1	1686.1
Porto Alegre do Norte	3982	5106778	866.1	665
Porto Alegre do Tocantins	505	1718006	0	0.1
Porto de Moz	17429	1505908	942.1	5844.6
Porto dos Gaúchos	7016	5106802	2948.8	3968.7
Porto Esperidião	5834	5106828	375.7	210.7
Porto Estrela	2066	5106851	380.3	230
Porto Franco	1427	2109007	561.6	89.6
Porto Grande	4405	1600535	350.4	2072.8
Porto Nacional	4473	1718204	0	0
Porto Rico do Maranhão	227	2109056	146.3	22.4
Porto Velho	34636	1100205	7799.6	25574.8
Porto Walter	6461	1200393	176	6280.2
Poxoréo	6923	5107008	1858.6	94.7
Pracuúba	4966	1600550	78.4	2465.4
Praia Norte	290	1718303	223.5	28.4
Prainha	12600	1506005	980	5957.8
Presidente Dutra	805	2109106	725.2	79.6
Presidente Figueiredo	25567	1303536	717.6	15626.9
Presidente Juscelino	450	2109205	82.6	318
Presidente Kennedy	774	1718402	339.5	102.4
Presidente Médici	1774	1100254	1603.8	142.7
Presidente Médici	441	2109239	439.5	0.5
Presidente Sarney	732	2109270	561.9	54.5
Presidente Vargas	475	2109304	51.1	97.4
Primavera	261	1506104	177.2	51
Primavera de Rondônia	610	1101476	423.1	94.6
Primavera do Leste	5474	5107040	0.7	15.6
Primeira Cruz	1394	2109403	0	0
Pugmil	403	1718451	0	0
Quatipuru	326	1506112	80.9	133.2
Querência	17856	5107065	5046.9	10459
Raposa	65	2109452	14.2	36.9
Recursolândia	2229	1718501	37.1	89.8
Redenção	3830	1506138	2658.7	468.9
Reserva do Cabaçal	371	5107156	273.2	97.8
Riachão	6422	2109502	0	0
Riachinho	615	1718550	503.7	76.3
Ribamar Fiquene	907	2109551	480.1	71.8
Ribeirão Cascalheira	11364	5107180	1619.7	1790.1
Ribeirãozinho	622	5107198	0	0
Rio Branco	9509	1200401	2988.4	6515.2
Rio Branco	501	5107206	417.9	10
Rio Crespo	1744	1100262	1063.6	657.2
Rio da Conceição	777	1718659	0	0
Rio dos Bois	849	1718709	17.5	0
Rio Maria	4123	1506161	3366.8	614.4
Rio Preto da Eva	5839	1303569	564.9	3983.4
Rio Sono	6395	1718758	0	0.1
Rodrigues Alves	3491	1200427	462.7	2713.7
Rolim de Moura	1471	1100288	1320.2	139.9
Rondolândia	12742	5107578	1878.4	10761.3
Rondon do Pará	8286	1506187	5415	2864
Rondonópolis	4166	5107602	825	272.4
Rorainópolis	33850	1400472	1082.2	19525.3
Rosário	694	2109601	88.9	510.3
Rosário Oeste	8805	5107701	65.3	23.5
Rurópolis	7025	1506195	1762.5	4488.1
Salinópolis	219	1506203	29	114.3
Salto do Céu	1316	5107750	1133.5	150.4
Salvaterra	1048	1506302	111.1	484.1
Sampaio	200	1718808	83.7	9.8
Sandolândia	3539	1718840	4.2	73.8
Santa Bárbara do Pará	279	1506351	160.1	100
Santa Carmem	3921	5107248	1472.3	2448.7
Santa Cruz do Arari	1078	1506401	0	4.2
Santa Cruz do Xingu	5625	5107743	1347.6	2589.7
Santa Fé do Araguaia	1682	1718865	1265.4	360.4
Santa Filomena do Maranhão	409	2109759	55.8	13.8
Santa Helena	2336	2109809	1413	139.7
Santa Inês	411	2109908	407.8	0
Santa Isabel do Pará	719	1506500	531.9	47.6
Santa Isabel do Rio Negro	64132	1303601	213.6	35257.2
Santa Luzia	6193	2110005	5649.8	541.3
Santa Luzia d'Oeste	1207	1100296	973.6	215.6
