Municipio,CodIbge,Estado,AreaKm2,Desmatado2005,Incremento20042005,Floresta2005,Nuvem2005,NaoObservado2005,NaoFloresta2005,Hidrografia2005
São Félix do Xingu,1507300,PA,84249,13787.4,1405.3,65725.4,0,6.5,3790,939.7
Paragominas,1505502,PA,19452,8164.6,330.5,11244.8,0.5,1.4,7,33.7
Marabá,1504208,PA,15127,7239,127,7627.9,136.7,1.7,35.9,85.8
Juara,5105101,MT,21430,7089.5,402.3,12721.3,0,29.3,1463.3,126.6
Porto Velho,1100205,RO,34636,6545.9,660.9,26880.8,0,23.4,433.1,752.8
Santana do Araguaia,1506708,PA,11607,6452.2,487.9,4280.5,0,0.3,807.1,66.9
Cumaru do Norte,1502764,PA,17106,6300.2,578.5,9363,0,0.3,1442.5,0
Santa Luzia,2110005,MA,6193,5537.2,4.4,608.2,47.2,0.4,0,0
Santa Maria das Barreiras,1506583,PA,10350,5411.1,281.7,2373.6,0,0,2509.8,55.5
Tapurah,5108006,MT,11610,5342.5,321.9,4860.3,0,0,1389.6,17.6
Altamira,1500602,PA,159701,5230.4,542.5,148753.4,260.9,22.5,3765.5,1668.3
Rondon do Pará,1506187,PA,8286,5148.5,180.8,3137.5,0,0,0,0
Açailândia,2100055,MA,5844,5106.4,54.6,642.2,94.1,1.3,0,0
Novo Repartimento,1505064,PA,15433,5015.7,212.2,9220.5,27.9,0.1,1,1167.8
Água Azul do Norte,1500347,PA,7586,4864.8,84.2,2592.1,0,0,129.1,0
Querência,5107065,MT,17856,4820.7,145.1,10686.5,0.5,0.8,2268,79.5
Alta Floresta,5100250,MT,8955,4716.4,124.9,3940.1,0,1.6,261,35.9
Monte Alegre,1504802,PA,21701,4606.5,66.9,13967,92,3.8,1888.2,1143.5
Vila Bela da Santíssima Trindade,5105507,MT,13698,4578.4,71.8,2437.9,0,19.6,6589.2,72.9
Santarém,1506807,PA,22876,4352.7,35.7,13771,200.9,0.4,667.5,3883.5
Vila Rica,5108600,MT,7450,4334.8,255.7,2916,0,0,188.9,10.3
Itaituba,1503606,PA,62096,4156.8,112.3,56650.9,14.3,3.6,462.5,807.9
Juína,5105150,MT,26358,4145.7,175.2,19525.9,0,3,2643.1,40.3
São José do Xingu,5107354,MT,7467,4131.1,68.7,2974,0,4.6,301.9,55.4
Novo Progresso,1505031,PA,38183,4108.8,227.6,30525.8,0.6,11,3462,74.8
São Félix do Araguaia,5107859,MT,16857,4081.6,162.5,6526.5,0,0.7,6189.4,58.8
