Municipio	CodIbge	AreaKm2	Desmatado	Floresta
São Félix do Xingu	1507300	84249	15426.9	63090.8
Paragominas	1505502	19452	8346.5	10637.2
Marabá	1504208	15127	7661.7	6692.7
Juara	5105101	21430	7399.9	12439.8
Porto Velho	1100205	34636	7343.3	26052.1
Santana do Araguaia	1506708	11607	6810.8	3921.9
Cumaru do Norte	1502764	17106	6767.7	8684.3
Altamira	1500602	159701	5887.2	147749.6
Novo Repartimento	1505064	15433	5762.6	7729.9
Santa Maria das Barreiras	1506583	10350	5611.5	2128.3
Santa Luzia	2110005	6193	5572.8	619.8
Tapurah	5108006	11610	5439.7	4763.1
Rondon do Pará	1506187	8286	5276.5	3004.7
Açailândia	2100055	5844	5183.3	627.3
Querência	5107065	17856	4945.3	10562.4
Água Azul do Norte	1500347	7586	4921.9	2534.7
Alta Floresta	5100250	8955	4874.5	3781.9
Novo Progresso	1505031	38183	4710.2	29673
Monte Alegre	1504802	21701	4667.2	11326.9
Vila Bela da Santíssima Trindade	5105507	13698	4619.1	2394.4
Vila Rica	5108600	7450	4501.7	2749.1
Santarém	1506807	22876	4448.6	12458.4
Itaituba	1503606	62096	4383.6	54853.6
Pacajá	1505486	11852	4340.7	5074
Juína	5105150	26358	4230	19441.5
São José do Xingu	5107354	7467	4187.1	2917.7
São Félix do Araguaia	5107859	16857	4175.1	6433
Itupiranga	1503705	7899	4159.2	2655
Brasnorte	5101902	16001	4151.4	8051
Nova Ubiratã	5106240	12690	4023.9	5869
Sorriso	5107925	9350	3971.6	1262.2
Moju	1504703	9131	3842.3	2542.1
Aripuanã	5101407	25181	3686.8	21153.1
Pontes e Lacerda	5106752	8465	3685.4	1451.2
Confresa	5103353	5799	3615.2	1861.2
Goianésia do Pará	1503093	7048	3604.1	2940.1
Barra do Bugres	5101704	7244	3573.8	2402.4
Bom Jardim	2102002	6647	3379.9	2135.5
Viseu	1508308	4943	3374.7	1441.6
Xinguara	1508407	3794	3359.3	415.8
Rio Maria	1506161	4123	3340.6	643.9
Colniza	5103254	28134	3320.4	24388.9
Gaúcha do Norte	5103858	16900	3285.2	8969.6
Dom Eliseu	1502939	5296	3261.8	1977.3
Marcelândia	5105580	12294	3231	8824.5
Ulianópolis	1508126	5115	3209.6	1566.2
Peixoto de Azevedo	5106422	14402	3199	9951.8
Ariquemes	1100023	4480	3154.7	1235.4
Lábrea	1302405	69669	3039.2	62738.9
Nova Maringá	5108907	11528	3025.6	7802.6
Conceição do Araguaia	1502707	5848	2981.8	875.7
Barra do Corda	2101608	8054	2950.2	2597.9
Nova Canaã do Norte	5106216	5975	2941.1	1936.1
Comodoro	5103304	21849	2934.3	9108.7
Rio Branco	1200401	9509	2914.2	6572.9
Porto dos Gaúchos	5106802	7016	2888	4056.6
Piçarra	1505635	3324	2857.9	398.6
Tomé-Açu	1508001	5168	2851.9	2159.8
Nova Bandeirantes	5106158	9561	2834.4	6507.3
Nova Mutum	5106224	9546	2821.4	3348.8
Uruará	1508159	10794	2777.6	6229.3
Machadinho d'Oeste	1100130	8589	2712.9	5438.4
Nova Mamoré	1100338	10244	2680	6101.8
Araguaína	1702109	4019	2673	422
Bom Jesus do Araguaia	5101852	4282	2672.5	1231.5
Redenção	1506138	3830	2646.3	478
Eldorado dos Carajás	1502954	2967	2640.5	326.5
Jaru	1100114	2976	2610	321.2
Chupinguaia	1100924	5163	2607.9	2225.3
Ji-Paraná	1100122	6955	2596	4257.1
Breu Branco	1501782	3950	2594.4	842.5
Ipixuna do Pará	1503457	5245	2563.3	2642.1
Nova Monte Verde	5108956	6512	2550.1	3803.7
Capitão Poço	1502301	2924	2536.4	0
São Geraldo do Araguaia	1507458	3283	2525.4	411.8
Santa Terezinha	5107776	6463	2491.7	2676.5
Colíder	5103205	3038	2491.4	540.5
Cacoal	1100049	3820	2481.9	1305.8
Itinga do Maranhão	2105427	3612	2475.3	965.9
Castanheira	5102850	3963	2454.1	1475.9
Tabaporã	5107941	8233	2424.9	3561.3
Brasil Novo	1501725	6370	2404.9	3200.8
Novo Mundo	5106265	5801	2402.1	2844.5
Guarantã do Norte	5104104	4717	2337.7	1654.5
Pimenta Bueno	1100189	6284	2312.4	2915.6
Tucumã	1508084	2513	2258	246.9
Acará	1500206	4363	2215.3	0
Alta Floresta d'Oeste	1100015	7138	2203.7	3198
Centro Novo do Maranhão	2103174	8366	2191.8	5842.1
Paranaíta	5106299	4833	2172.4	2571.1
Tangará da Serra	5107958	11596	2152.6	652.3
Cáceres	5102504	24446	2149.7	1680.2
Corumbiara	1100072	3082	2140.7	843.9
Buritis	1100452	3315	2133.4	1176.7
Amarante do Maranhão	2100600	7737	2125	3868.9
São Miguel do Guaporé	1100320	8102	2072.6	4229.6
Espigão d'Oeste	1100098	4549	2069.6	2183
Bom Jesus das Selvas	2102036	2700	2066.7	603.7
Bannach	1501253	2963	2061.3	839.6
Curionópolis	1502772	2375	2047.9	310
Tailândia	1507953	4451	2026.9	2416.8
Sinop	5107909	3193	2023.5	1125.5
Paranatinga	5106307	24185	1996.6	5515
Costa Marques	1100080	12890	1991.7	7424
Apiacás	5100805	20402	1991.7	17103.2
São Francisco do Guaporé	1101492	4805	1972.8	1896.3
Zé Doca	2114007	2435	1949.2	458.9
Terra Nova do Norte	5108055	2303	1930.5	369
Vera	5108501	2951	1914.4	1017.4
Turiaçu	2112407	2601	1902.3	421.2
Canarana	5102702	10839	1869.3	2177.7
Boca do Acre	1300706	23013	1862.4	20880.6
Alto Alegre do Pindaré	2100477	1951	1859.9	28.2
